%
%
% Run:1     Table:curve             SWAN version:41.20A
%
%       Xp            Yp            Hsig          TPsmoo        RTpeak        Tm_10         Dir           Dspr          Depth         Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [m]           [m]      
%
           0.            0.       2.24944       13.7578       13.8874       12.5449         0.000       31.5307        3.3600      0.000000 
           1.            0.       2.24284       13.7668       13.8874       12.1397         0.000       31.3508        3.3512      0.001177 
           2.            0.       2.23559       13.7748       13.8874       11.8025         0.000       31.1348        3.3322      0.002234 
           3.            0.       2.22671       13.7814       13.8874       11.5305         0.000       30.9205        3.3133      0.003350 
           4.            0.       2.21639       13.7865       13.8874       11.3141         0.000       30.7165        3.2945      0.004516 
           5.            0.       2.20496       13.7905       13.8874       11.1406         0.000       30.5178        3.2757      0.005717 
           6.            0.       2.19268       13.7935       13.8874       10.9997         0.000       30.3184        3.2569      0.006940 
           7.            0.       2.17978       13.7959       13.8874       10.8836         0.000       30.1204        3.2382      0.008179 
           8.            0.       2.16779       13.7976       13.8874       10.7605         0.000       29.9115        3.2194      0.009442 
           9.            0.       2.15634       13.7987       13.8874       10.6457         0.000       29.6535        3.1906      0.010581 
          10.            0.       2.14531       13.7991       13.8874       10.5422         0.000       29.3796        3.1516      0.011611 
          11.            0.       2.13234       13.7990       13.8874       10.4484         0.000       29.1243        3.1229      0.012857 
          12.            0.       2.11855       13.7986       13.8874       10.3647         0.000       28.8568        3.0941      0.014140 
          13.            0.       2.10539       13.7978       13.8874       10.2903         0.000       28.5884        3.0553      0.015302 
          14.            0.       2.09034       13.7967       13.8874       10.2223         0.000       28.3273        3.0267      0.016676 
          15.            0.       2.07611       13.7954       13.8874       10.1618         0.000       28.0774        2.9879      0.017923 
          16.            0.       2.06350       13.7943       13.8874       10.0595         0.000       27.8801        2.9594      0.019417 
          17.            0.       2.05071       13.7934       13.8874        9.9542         0.000       27.7071        2.9310      0.020979 
          18.            0.       2.03684       13.7929       13.8874        9.8571         0.000       27.5481        2.9026      0.022605 
          19.            0.       2.02462       13.7926       13.8874        9.7702         0.000       27.7001        2.8743      0.024300 
          20.            0.       2.00144       13.7923       13.8874        9.6767         0.000       28.4655        2.9881      0.028103 
          21.            0.       1.97868       13.7921       13.8874        9.5934         0.000       29.2179        3.1317      0.031697 
          22.            0.       1.96481       13.7922       13.8874        9.5217         0.000       29.5676        3.1938      0.033767 
          23.            0.       1.95331       13.7923       13.8874        9.4595         0.000       29.6979        3.2253      0.035266 
          24.            0.       1.94191       13.7926       13.8874        9.4057         0.000       29.5769        3.2364      0.036428 
          25.            0.       1.93401       13.7930       13.8874        9.3651         0.000       29.3193        3.1970      0.036964 
          26.            0.       1.92255       13.7934       13.8874        9.3242         0.000       28.9364        3.1778      0.037767 
          27.            0.       1.91269       13.7939       13.8874        9.2951         0.000       28.2481        3.1080      0.037990 
          28.            0.       1.90682       13.7946       13.8874        9.2795         0.000       27.3826        2.9674      0.037409 
          29.            0.       1.89973       13.7954       13.8874        9.2637         0.000       26.4639        2.8168      0.036817 
          30.            0.       1.89054       13.7964       13.8874        9.2454         0.000       25.5783        2.6664      0.036444 
          31.            0.       1.87700       13.7974       13.8874        9.2205         0.000       24.8291        2.5368      0.036753 
          32.            0.       1.85741       13.7986       13.8874        9.1883         0.000       24.1417        2.4380      0.037987 
          33.            0.       1.83661       13.7998       13.8874        9.1576         0.000       23.4876        2.3294      0.039400 
          34.            0.       1.81097       13.8011       13.8874        9.1228         0.000       22.9336        2.2417      0.041671 
          35.            0.       1.78086       13.8025       13.8874        9.0853         0.000       22.4521        2.1747      0.044743 
          36.            0.       1.74970       13.8038       13.8874        9.0519         0.000       21.8505        2.0978      0.047841 
          37.            0.       1.72432       13.8053       13.8874        9.0322         0.000       21.0757        1.9497      0.049728 
          38.            0.       1.69428       13.8069       13.8874        8.9989         0.000       20.3449        1.8026      0.052597 
          39.            0.       1.64897       13.8085       13.8874        8.9473         0.000       19.7526        1.7286      0.058574 
          40.            0.       1.60140       13.8101       13.8874        8.8990         0.000       19.1699        1.6550      0.065031 
          41.            0.       1.55562       13.8117       13.8874        8.8599         0.000       18.5050        1.5511      0.071121 
          42.            0.       1.51240       13.8133       13.8874        8.8240         0.000       17.7368        1.4169      0.076860 
          43.            0.       1.46959       13.8150       13.8874        8.7790         0.000       17.0833        1.2832      0.083153 
          44.            0.       1.40610       13.8164       13.8874        8.7168         0.000       16.6198        1.2445      0.094523 
          45.            0.       1.34600       13.8177       13.8874        8.6675         0.000       16.1472        1.1951      0.105105 
          46.            0.       1.29367       13.8187       13.8874        8.6310         0.000       15.4350        1.1140      0.113996 
          47.            0.       1.26363       13.8198       13.8874        8.6022       360.000       14.5405        0.9483      0.118311 
          48.            0.       1.18235       13.8223       13.8874        8.8750       359.951       13.9854        0.8054      0.135427 
          49.            0.       1.00424       13.8243       13.8874        9.7485       359.747       13.8052        0.6786      0.178593 
          50.            0.       0.86754       13.8252       13.8874       10.1033       359.678       13.4503        0.5831      0.213145 
          51.            0.       0.76146       13.8225       13.8874       10.2024       359.657       13.0287        0.5105      0.240487 
          52.            0.       0.65627       13.8163       13.8874       10.3750       359.648       12.9909        0.4381      0.268099 
          53.            0.       0.57831       13.8097       13.8874       10.1332       359.943       13.4277        0.4771      0.287149 
          54.            0.       0.52134       13.8042       13.8874        9.8526       359.951       13.4454        0.5185      0.298480 
