header
IE0.0    -15.556       1       1 8.9963  6.9956  6.9601    56.14   56.14
OF1.0    -15.645    0.00 8.9964     0.00    0.00    0.00    0.00    0.00
OF2.0    -15.734    0.00 8.9964     0.00    0.00    0.00    0.00    0.00
OF3.0    -15.823    0.00 8.9964     0.00    0.00    0.00    0.00    0.00
OF4.0    -15.913    0.00 8.9965     0.00    0.00    0.00    0.00    0.00
OF5.0    -16.002    0.00 8.9965     0.00    0.00    0.00    0.00    0.00
OF6.0    -16.091    0.00 8.9966     0.00    0.00    0.00    0.00    0.00
OF7.0    -16.180    0.00 8.9966     0.00    0.00    0.00    0.00    0.00
OF8.0    -16.269    0.00 8.9966     0.00    0.00    0.00    0.00    0.00
OF9.0    -16.357    0.00 8.9967     0.00    0.00    0.00    0.00    0.00
OF10.0   -16.447    0.00 8.9967     0.00    0.00    0.00    0.00    0.00
OF11.0   -16.536    0.00 8.9968     0.00    0.00    0.00    0.00    0.00
OF12.0   -16.625    0.00 8.9968     0.00    0.00    0.00    0.00    0.00
OF13.0   -16.714    0.00 8.9968     0.00    0.00    0.00    0.00    0.00
OF14.0   -16.773    0.00 8.9969     0.00    0.00    0.00    0.00    0.00
OF15.0   -16.773    0.00 8.9969     0.00    0.00    0.00    0.00    0.00
OF16.0   -16.773    0.00 8.9969     0.00    0.00    0.00    0.00    0.00
OF17.0   -16.773    0.00 8.9969     0.00    0.00    0.00    0.00    0.00
OF18.0   -16.773    0.00 8.9969     0.00    0.00    0.00    0.00    0.00
OF19.0   -16.773    0.00 8.9969     0.00    0.00    0.00    0.00    0.00
OF20.0   -16.773    0.00 8.997      0.00    0.00    0.00    0.00    0.00
OF21.0   -16.773    0.00 8.997      0.00    0.00    0.00    0.00    0.00
OF22.0   -16.773    0.00 8.997      0.00    0.00    0.00    0.00    0.00
OF23.0   -16.773    0.00 8.997      0.00    0.00    0.00    0.00    0.00
OF24.0   -16.773    0.00 8.997      0.00    0.00    0.00    0.00    0.00
OF25.0   -16.773    0.00 8.997      0.00    0.00    0.00    0.00    0.00
OF26.0   -16.773    0.00 8.9971     0.00    0.00    0.00    0.00    0.00
