X,Y,Z,STA,Zadcirc,HSadcirc,TWLadcirc,PERadcirc,TransHeading,PerHeading
-70.34046852,43.45799716,-2.268369774,-5589,-2.268369774,-328079.7192,8.871201187,-99999,206.2839616,225
-70.34047164,43.45799562,-2.240942488,-5588,-2.240942488,-328079.7192,8.871858622,-99999,206.2839616,225
-70.34047475,43.45799408,-2.213563019,-5587,-2.213563018,-328079.7192,8.872516105,-99999,206.2839616,225
-70.34047787,43.45799254,-2.186135732,-5586,-2.186135732,-328079.7192,8.87317354,-99999,206.2839616,225
-70.34048099,43.45799101,-2.158789671,-5585,-2.158789671,-328079.7192,8.87382661,-99999,206.2839616,225
-70.34048411,43.45798947,-2.131362385,-5584,-2.131362385,-328079.7192,8.874484045,-99999,206.2839616,225
-70.34048723,43.45798793,-2.103935099,-5583,-2.103935098,-328079.7192,8.87514148,-99999,206.2839616,225
-70.34049034,43.45798639,-2.076555629,-5582,-2.076555629,-328079.7192,8.875798963,-99999,206.2839616,225
-70.34049346,43.45798485,-2.049128343,-5581,-2.049128343,-328079.7192,8.876456398,-99999,206.2839616,225
-70.34049658,43.45798331,-2.021701057,-5580,-2.021701057,-328079.7192,8.877113833,-99999,206.2839616,225
-70.3404997,43.45798177,-1.994273771,-5579,-1.994273771,-328079.7192,8.877771268,-99999,206.2839616,225
-70.34050281,43.45798023,-1.966894301,-5578,-1.966894301,-328079.7192,8.878428751,-99999,206.2839616,225
-70.34050593,43.4579787,-1.939548239,-5577,-1.939548239,-328079.7192,8.879081821,-99999,206.2839616,225
-70.34050905,43.45797716,-1.912120953,-5576,-1.912120953,-328079.7192,8.879739256,-99999,206.2839616,225
-70.34051217,43.45797562,-1.884693667,-5575,-1.884693667,-328079.7192,8.880396691,-99999,206.2839616,225
-70.34051529,43.45797408,-1.857266381,-5574,-1.857266381,-328079.7192,8.881054126,-99999,206.2839616,225
-70.3405184,43.45797254,-1.829886911,-5573,-1.829886911,-328079.7192,8.881711609,-99999,206.2839616,225
-70.34052152,43.457971,-1.802459625,-5572,-1.802459625,-328079.7192,8.882369044,-99999,206.2839616,225
-70.34052464,43.45796946,-1.775032339,-5571,-1.775032339,-328079.7192,8.883026479,-99999,206.2839616,225
