X,Y,Z,STA,source
-70.3626912300,43.4332649300,-38.0949470863,-1686.00,Maine ADCIRC model
-70.3626943500,43.4332664600,-38.0787832713,-1685.00,Maine ADCIRC model
-70.3626974800,43.4332679900,-38.0625931760,-1684.00,Maine ADCIRC model
-70.3627006000,43.4332695200,-38.0464293609,-1683.00,Maine ADCIRC model
-70.3627037300,43.4332710400,-38.0302913203,-1682.00,Maine ADCIRC model
-70.3627068600,43.4332725700,-38.0141012251,-1681.00,Maine ADCIRC model
-70.3627099800,43.4332741000,-37.9979374100,-1680.00,Maine ADCIRC model
-70.3627131100,43.4332756300,-37.9817473147,-1679.00,Maine ADCIRC model
-70.3627162300,43.4332771600,-37.9655834997,-1678.00,Maine ADCIRC model
-70.3627193600,43.4332786900,-37.9493934044,-1677.00,Maine ADCIRC model
-70.3627224900,43.4332802200,-37.9332033091,-1676.00,Maine ADCIRC model
-70.3627256100,43.4332817500,-37.9170394940,-1675.00,Maine ADCIRC model
-70.3627287400,43.4332832700,-37.9009014535,-1674.00,Maine ADCIRC model
-70.3627318600,43.4332848000,-37.8847376384,-1673.00,Maine ADCIRC model
-70.3627349900,43.4332863300,-37.8685475431,-1672.00,Maine ADCIRC model
-70.3627381200,43.4332878600,-37.8523574478,-1671.00,Maine ADCIRC model
-70.3627412400,43.4332893900,-37.8361936328,-1670.00,Maine ADCIRC model
-70.3627443700,43.4332909200,-37.8200035375,-1669.00,Maine ADCIRC model
-70.3627475000,43.4332924500,-37.8038134422,-1668.00,Maine ADCIRC model
-70.3627506200,43.4332939800,-37.7876496271,-1667.00,Maine ADCIRC model
-70.3627537500,43.4332955100,-37.7714595318,-1666.00,Maine ADCIRC model
-70.3627568700,43.4332970300,-37.7553477715,-1665.00,Maine ADCIRC model
-70.3627600000,43.4332985600,-37.7391576762,-1664.00,Maine ADCIRC model
-70.3627631300,43.4333000900,-37.7229675809,-1663.00,Maine ADCIRC model
-70.3627662500,43.4333016200,-37.7070538774,-1662.00,Maine ADCIRC model
-70.3627693800,43.4333031500,-37.6915691109,-1661.00,Maine ADCIRC model
-70.3627725000,43.4333046800,-37.6761066859,-1660.00,Maine ADCIRC model
-70.3627756300,43.4333062100,-37.6606219195,-1659.00,Maine ADCIRC model
-70.3627787600,43.4333077400,-37.6451371530,-1658.00,Maine ADCIRC model
-70.3627818800,43.4333092700,-37.6296747280,-1657.00,Maine ADCIRC model
-70.3627850100,43.4333107900,-37.6142454641,-1656.00,Maine ADCIRC model
-70.3627881300,43.4333123200,-37.5987830391,-1655.00,Maine ADCIRC model
-70.3627912600,43.4333138500,-37.5832982727,-1654.00,Maine ADCIRC model
-70.3627943900,43.4333153800,-37.5678135062,-1653.00,Maine ADCIRC model
-70.3627975100,43.4333169100,-37.5523510812,-1652.00,Maine ADCIRC model
-70.3628006400,43.4333184400,-37.5368663147,-1651.00,Maine ADCIRC model
-70.3628037600,43.4333199700,-37.5215516256,-1650.00,Maine ADCIRC model
-70.3628068900,43.4333215000,-37.5064786296,-1649.00,Maine ADCIRC model
-70.3628100200,43.4333230200,-37.4914601064,-1648.00,Maine ADCIRC model
-70.3628131400,43.4333245500,-37.4764086395,-1647.00,Maine ADCIRC model
-70.3628162700,43.4333260800,-37.4613356434,-1646.00,Maine ADCIRC model
-70.3628193900,43.4333276100,-37.4462841764,-1645.00,Maine ADCIRC model
-70.3628225200,43.4333291400,-37.4312111803,-1644.00,Maine ADCIRC model
-70.3628256500,43.4333306700,-37.4161381842,-1643.00,Maine ADCIRC model
-70.3628287700,43.4333322000,-37.4021090654,-1642.00,Maine ADCIRC model
-70.3628319000,43.4333337300,-37.3885056874,-1641.00,Maine ADCIRC model
-70.3628350200,43.4333352600,-37.3749243340,-1640.00,Maine ADCIRC model
-70.3628381500,43.4333367800,-37.3613648103,-1639.00,Maine ADCIRC model
-70.3628412800,43.4333383100,-37.3477614323,-1638.00,Maine ADCIRC model
-70.3628444000,43.4333398400,-37.3341800789,-1637.00,Maine ADCIRC model
-70.3628475300,43.4333413700,-37.3205767009,-1636.00,Maine ADCIRC model
-70.3628506600,43.4333429000,-37.3069733229,-1635.00,Maine ADCIRC model
-70.3628537800,43.4333444300,-37.2933919695,-1634.00,Maine ADCIRC model
-70.3628569100,43.4333459600,-37.2797885915,-1633.00,Maine ADCIRC model
-70.3628600300,43.4333474900,-37.2662072381,-1632.00,Maine ADCIRC model
-70.3628631600,43.4333490100,-37.2526477143,-1631.00,Maine ADCIRC model
-70.3628662900,43.4333505400,-37.2390443364,-1630.00,Maine ADCIRC model
-70.3628694100,43.4333520700,-37.2254629829,-1629.00,Maine ADCIRC model
-70.3628725400,43.4333536000,-37.2118596050,-1628.00,Maine ADCIRC model
-70.3628756600,43.4333551300,-37.1982782515,-1627.00,Maine ADCIRC model
