X,Y,Z,STA
-70.3517604300,43.4342617900,-35.2300570389,-2353.00
-70.3517616700,43.4342643800,-35.1551595103,-2352.00
-70.3517629000,43.4342669800,-35.0804095229,-2351.00
-70.3517641300,43.4342695700,-35.0058073220,-2350.00
-70.3517653700,43.4342721600,-34.9309097938,-2349.00
-70.3517666000,43.4342747500,-34.8563075929,-2348.00
-70.3517678300,43.4342773400,-34.7817053925,-2347.00
-70.3517690700,43.4342799300,-34.7068078638,-2346.00
-70.3517703000,43.4342825300,-34.6320578764,-2345.00
-70.3517715300,43.4342851200,-34.5574556760,-2344.00
-70.3517727700,43.4342877100,-34.4825581473,-2343.00
-70.3517740000,43.4342903000,-34.4079559465,-2342.00
-70.3517752300,43.4342928900,-34.3333537460,-2341.00
-70.3517764700,43.4342954900,-34.2583084304,-2340.00
-70.3517777000,43.4342980800,-34.1837062300,-2339.00
-70.3517789300,43.4343006700,-34.1091040295,-2338.00
-70.3517801700,43.4343032600,-34.0342065009,-2337.00
-70.3517814000,43.4343058500,-33.9596043004,-2336.00
-70.3517826300,43.4343084400,-33.8850020996,-2335.00
-70.3517838700,43.4343110400,-33.8099567839,-2334.00
-70.3517851000,43.4343136300,-33.7353545835,-2333.00
-70.3517863300,43.4343162200,-33.6607523831,-2332.00
-70.3517875700,43.4343188100,-33.5858548544,-2331.00
-70.3517888000,43.4343214000,-33.5112526540,-2330.00
-70.3517900300,43.4343240000,-33.4365026662,-2329.00
-70.3517912700,43.4343265900,-33.3616051375,-2328.00
-70.3517925000,43.4343291800,-33.2870029371,-2327.00
-70.3517937300,43.4343317700,-33.2124007366,-2326.00
-70.3517949700,43.4343343600,-33.1375032080,-2325.00
-70.3517962000,43.4343369500,-33.0629010075,-2324.00
-70.3517974300,43.4343395500,-32.9881510197,-2323.00
-70.3517986700,43.4343421400,-32.9132534915,-2322.00
-70.3517999000,43.4343447300,-32.8386512906,-2321.00
-70.3518011300,43.4343473200,-32.7640490902,-2320.00
-70.3518023700,43.4343499100,-32.6891515615,-2319.00
-70.3518036000,43.4343525100,-32.6144015741,-2318.00
-70.3518048300,43.4343551000,-32.5397993733,-2317.00
-70.3518060700,43.4343576900,-32.4649018450,-2316.00
-70.3518073000,43.4343602800,-32.3902996442,-2315.00
-70.3518085300,43.4343628700,-32.3156974437,-2314.00
-70.3518097700,43.4343654600,-32.2407999151,-2313.00
-70.3518110000,43.4343680600,-32.1660499277,-2312.00
