X,Y,Zadcirc,STA,source
-70.21457858,43.63675027,-64.7965218150709,2,interpolated ADCIRC
-70.21458209,43.63675129,-64.7825722034742,3,interpolated ADCIRC
-70.2145856,43.63675231,-64.7686225918796,4,interpolated ADCIRC
-70.2145891,43.63675333,-64.7546714552224,5,interpolated ADCIRC
-70.21459261,43.63675436,-64.7405798347175,6,interpolated ADCIRC
-70.21459612,43.63675538,-64.7266302231208,7,interpolated ADCIRC
-70.21459962,43.6367564,-64.7126790863648,8,interpolated ADCIRC
-70.21460313,43.63675742,-64.6987294747681,9,interpolated ADCIRC
-70.21460664,43.63675844,-64.6847798631713,10,interpolated ADCIRC
-70.21461014,43.63675946,-64.6708287265162,11,interpolated ADCIRC
-70.21461365,43.63676049,-64.6567371060114,12,interpolated ADCIRC
-70.21461716,43.63676151,-64.6427874944147,13,interpolated ADCIRC
-70.21462066,43.63676253,-64.6288363577574,14,interpolated ADCIRC
-70.21462417,43.63676355,-64.6148867461607,15,interpolated ADCIRC
-70.21462768,43.63676457,-64.6009371345661,16,interpolated ADCIRC
-70.21463118,43.63676559,-64.5869859978079,17,interpolated ADCIRC
-70.21463469,43.63676662,-64.5770618726868,18,interpolated ADCIRC
-70.2146382,43.63676764,-64.5774146835889,19,interpolated ADCIRC
-70.2146417,43.63676866,-64.5777314925318,20,interpolated ADCIRC
-70.21464521,43.63676968,-64.5780843034339,21,interpolated ADCIRC
-70.21464872,43.6367707,-64.578437114336,22,interpolated ADCIRC
-70.21465222,43.63677172,-64.578753923279,23,interpolated ADCIRC
-70.21465573,43.63677275,-64.578986303929,24,interpolated ADCIRC
-70.21465924,43.63677377,-64.5793391148311,25,interpolated ADCIRC
-70.21466274,43.63677479,-64.5796559237229,26,interpolated ADCIRC
-70.21466625,43.63677581,-64.5800087345394,27,interpolated ADCIRC
-70.21466976,43.63677683,-64.5803615454927,28,interpolated ADCIRC
-70.21467326,43.63677785,-64.5806783543845,29,interpolated ADCIRC
-70.21467677,43.63677888,-64.5809107350345,30,interpolated ADCIRC
-70.21468028,43.6367799,-64.5812635459366,31,interpolated ADCIRC
-70.21468379,43.63678092,-64.5816163568387,32,interpolated ADCIRC
-70.21468729,43.63678194,-64.5819331657817,33,interpolated ADCIRC
-70.2146908,43.63678296,-64.5822859766838,34,interpolated ADCIRC
-70.21469431,43.63678398,-64.5826387875859,35,interpolated ADCIRC
-70.21469781,43.63678501,-64.5828351662767,36,interpolated ADCIRC
-70.21470132,43.63678603,-64.5831879770933,37,interpolated ADCIRC
-70.21470483,43.63678705,-64.5835407879954,38,interpolated ADCIRC
-70.21470833,43.63678807,-64.5838575968872,39,interpolated ADCIRC
-70.21471184,43.63678909,-64.5842104078405,40,interpolated ADCIRC
-70.21471535,43.63679011,-64.5845632187426,41,interpolated ADCIRC
