X,Y,Zlidar,STA,SOURCE
-70.20671081,43.64875885,-5.40354348,2,2006FEMA
-70.20671381,43.64875718,-5.40354348,3,2006FEMA
-70.20671681,43.64875551,-5.40354348,4,2006FEMA
-70.2067198,43.64875384,-5.40354348,5,2006FEMA
-70.2067228,43.64875217,-5.40354348,6,2006FEMA
-70.2067258,43.6487505,-5.40354348,7,2006FEMA
-70.2067288,43.64874883,-5.40354348,8,2006FEMA
-70.2067318,43.64874716,-5.40354348,9,2006FEMA
-70.20673479,43.64874549,-5.40354348,10,2006FEMA
-70.20673779,43.64874381,-5.40354348,11,2006FEMA
-70.20674079,43.64874214,-5.40354348,12,2006FEMA
-70.20674379,43.64874047,-5.40354348,13,2006FEMA
-70.20674679,43.6487388,-5.40354348,14,2006FEMA
-70.20674978,43.64873713,-5.40354348,15,2006FEMA
-70.20675278,43.64873546,-5.40354348,16,2006FEMA
-70.20675578,43.64873379,-5.40354348,17,2006FEMA
-70.20675878,43.64873212,-5.40354348,18,2006FEMA
-70.20676177,43.64873045,-5.53477708,19,2006FEMA
-70.20676477,43.64872878,-5.53477708,20,2006FEMA
-70.20676777,43.64872711,-5.53477708,21,2006FEMA
-70.20677077,43.64872544,-5.53477708,22,2006FEMA
-70.20677377,43.64872377,-5.53477708,23,2006FEMA
-70.20677676,43.6487221,-5.53477708,24,2006FEMA
-70.20677976,43.64872042,-5.53477708,25,2006FEMA
-70.20678276,43.64871875,-5.53477708,26,2006FEMA
-70.20678576,43.64871708,-5.53477708,27,2006FEMA
-70.20678876,43.64871541,-5.53477708,28,2006FEMA
-70.20679175,43.64871374,-5.53477708,29,2006FEMA
-70.20679475,43.64871207,-5.53477708,30,2006FEMA
-70.20679775,43.6487104,-5.53477708,31,2006FEMA
-70.20680075,43.64870873,-5.53477708,32,2006FEMA
-70.20680375,43.64870706,-5.53477708,33,2006FEMA
-70.20680674,43.64870539,-5.53477708,34,2006FEMA
-70.20680974,43.64870372,-5.53477708,35,2006FEMA
-70.20681274,43.64870205,-5.53477708,36,2006FEMA
-70.20681574,43.64870038,-5.53477708,37,2006FEMA
-70.20681874,43.64869871,-5.53477708,38,2006FEMA
-70.20682173,43.64869703,-5.66929152,39,2006FEMA
-70.20682473,43.64869536,-5.66929152,40,2006FEMA
-70.20682773,43.64869369,-5.66929152,41,2006FEMA
-70.20683073,43.64869202,-5.66929152,42,2006FEMA
-70.20683373,43.64869035,-5.66929152,43,2006FEMA
-70.20683672,43.64868868,-5.66929152,44,2006FEMA
-70.20683972,43.64868701,-5.66929152,45,2006FEMA
-70.20684272,43.64868534,-5.66929152,46,2006FEMA
-70.20684572,43.64868367,-5.66929152,47,2006FEMA
-70.20684871,43.648682,-5.66929152,48,2006FEMA
-70.20685171,43.64868033,-5.66929152,49,2006FEMA
-70.20685471,43.64867866,-5.66929152,50,2006FEMA
-70.20685771,43.64867699,-5.66929152,51,2006FEMA
-70.20686071,43.64867532,-5.66929152,52,2006FEMA
-70.2068637,43.64867364,-5.66929152,53,2006FEMA
-70.2068667,43.64867197,-5.66929152,54,2006FEMA
-70.2068697,43.6486703,-5.66929152,55,2006FEMA
-70.2068727,43.64866863,-5.66929152,56,2006FEMA
-70.2068757,43.64866696,-5.83005268,57,2006FEMA
-70.20687869,43.64866529,-5.83005268,58,2006FEMA
-70.20688169,43.64866362,-5.83005268,59,2006FEMA
-70.20688469,43.64866195,-5.83005268,60,2006FEMA
-70.20688769,43.64866028,-5.83005268,61,2006FEMA
-70.20689069,43.64865861,-5.83005268,62,2006FEMA
