%
%
% Run:1     Table:curve             SWAN version:41.20A
%
%       Xp            Yp            Hsig          TPsmoo        RTpeak        Tm_10         Dir           Dspr          Depth         Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [m]           [m]      
%
           0.            0.       3.16315       13.6255       13.8874       12.3047         0.001       31.5080       14.0600      0.000000 
           1.            0.       3.16357       13.6257       13.8874       12.2972         0.001       31.4381       14.0300     -0.000043 
           2.            0.       3.16431       13.6259       13.8874       12.2898         0.001       31.3686       13.9899     -0.000102 
           3.            0.       3.16488       13.6260       13.8874       12.2823         0.001       31.3063       13.9599     -0.000146 
           4.            0.       3.16551       13.6262       13.8874       12.2747         0.001       31.2469       13.9298     -0.000191 
           5.            0.       3.16616       13.6264       13.8874       12.2671         0.001       31.1886       13.8998     -0.000236 
           6.            0.       3.16684       13.6265       13.8874       12.2596         0.001       31.1312       13.8697     -0.000281 
           7.            0.       3.16754       13.6267       13.8874       12.2520         0.001       31.0776       13.8397     -0.000326 
           8.            0.       3.16836       13.6269       13.8874       12.2444         0.001       31.0376       13.8096     -0.000369 
           9.            0.       3.16903       13.6270       13.8874       12.2366         0.001       31.0057       13.7896     -0.000396 
          10.            0.       3.16987       13.6272       13.8874       12.2288         0.001       30.9814       13.7696     -0.000425 
          11.            0.       3.17056       13.6273       13.8874       12.2208         0.001       30.9648       13.7596     -0.000438 
          12.            0.       3.17120       13.6275       13.8874       12.2128         0.001       30.9456       13.7495     -0.000451 
          13.            0.       3.17213       13.6276       13.8874       12.2051         0.001       30.9255       13.7295     -0.000481 
          14.            0.       3.17274       13.6278       13.8874       12.1972         0.001       30.9052       13.7195     -0.000494 
          15.            0.       3.17366       13.6279       13.8874       12.1896         0.001       30.8846       13.6995     -0.000524 
          16.            0.       3.17439       13.6281       13.8874       12.1817         0.001       30.8693       13.6895     -0.000538 
          17.            0.       3.17503       13.6282       13.8874       12.1738         0.001       30.8506       13.6794     -0.000552 
          18.            0.       3.17597       13.6284       13.8874       12.1663         0.001       30.8307       13.6594     -0.000582 
          19.            0.       3.17658       13.6285       13.8874       12.1584         0.001       30.8105       13.6494     -0.000596 
          20.            0.       3.17750       13.6287       13.8874       12.1509         0.001       30.7902       13.6294     -0.000626 
          21.            0.       3.17822       13.6288       13.8874       12.1431         0.001       30.7749       13.6194     -0.000641 
          22.            0.       3.17887       13.6290       13.8874       12.1354         0.001       30.7563       13.6093     -0.000655 
          23.            0.       3.17980       13.6291       13.8874       12.1280         0.001       30.7365       13.5893     -0.000686 
          24.            0.       3.18042       13.6293       13.8874       12.1202         0.001       30.7164       13.5793     -0.000700 
          25.            0.       3.18135       13.6294       13.8874       12.1128         0.001       30.6961       13.5593     -0.000731 
          26.            0.       3.18207       13.6296       13.8874       12.1052         0.001       30.6807       13.5493     -0.000746 
          27.            0.       3.18271       13.6297       13.8874       12.0975         0.001       30.6621       13.5392     -0.000760 
          28.            0.       3.18365       13.6299       13.8874       12.0902         0.001       30.6422       13.5192     -0.000792 
          29.            0.       3.18426       13.6300       13.8874       12.0825         0.001       30.6221       13.5092     -0.000807 
          30.            0.       3.18519       13.6302       13.8874       12.0752         0.001       30.6018       13.4892     -0.000838 
          31.            0.       3.18591       13.6303       13.8874       12.0677         0.001       30.5864       13.4791     -0.000854 
          32.            0.       3.18656       13.6305       13.8874       12.0601         0.001       30.5678       13.4691     -0.000869 
          33.            0.       3.18750       13.6306       13.8874       12.0529         0.001       30.5479       13.4491     -0.000901 
          34.            0.       3.18812       13.6308       13.8874       12.0453         0.001       30.5277       13.4391     -0.000916 
          35.            0.       3.18905       13.6309       13.8874       12.0381         0.001       30.5074       13.4191     -0.000949 
          36.            0.       3.18977       13.6311       13.8874       12.0306         0.001       30.4919       13.4090     -0.000964 
          37.            0.       3.19044       13.6312       13.8874       12.0230         0.001       30.4729       13.3990     -0.000980 
          38.            0.       3.19142       13.6314       13.8874       12.0156         0.001       30.4527       13.3790     -0.001013 
          39.            0.       3.19208       13.6315       13.8874       12.0079         0.001       30.4322       13.3690     -0.001028 
          40.            0.       3.19295       13.6317       13.8874       12.0005         0.001       30.4065       13.3489     -0.001061 
          41.            0.       3.19390       13.6318       13.8874       11.9931         0.002       30.3841       13.3289     -0.001095 
          42.            0.       3.19455       13.6320       13.8874       11.9853         0.002       30.3628       13.3189     -0.001111 
          43.            0.       3.19543       13.6321       13.8874       11.9779         0.002       30.3370       13.2989     -0.001144 
          44.            0.       3.19628       13.6323       13.8874       11.9705         0.002       30.3096       13.2788     -0.001177 
          45.            0.       3.19721       13.6324       13.8874       11.9632         0.002       30.2866       13.2588     -0.001211 
          46.            0.       3.19787       13.6326       13.8874       11.9556         0.002       30.2653       13.2488     -0.001228 
          47.            0.       3.19876       13.6327       13.8874       11.9482         0.002       30.2395       13.2287     -0.001262 
          48.            0.       3.19961       13.6329       13.8874       11.9409         0.002       30.2123       13.2087     -0.001296 
          49.            0.       3.20056       13.6330       13.8874       11.9336         0.003       30.1894       13.1887     -0.001331 
          50.            0.       3.20122       13.6332       13.8874       11.9259         0.003       30.1680       13.1787     -0.001347 
          51.            0.       3.20211       13.6333       13.8874       11.9187         0.003       30.1422       13.1586     -0.001382 
          52.            0.       3.20308       13.6335       13.8874       11.9114         0.003       30.1198       13.1386     -0.001418 
          53.            0.       3.20385       13.6337       13.8874       11.9038         0.003       30.1034       13.1286     -0.001435 
          54.            0.       3.20476       13.6338       13.8874       11.8962         0.003       30.0940       13.1185     -0.001454 
          55.            0.       3.20540       13.6339       13.8874       11.8883         0.003       30.0869       13.1185     -0.001454 
          56.            0.       3.20629       13.6341       13.8874       11.8807         0.003       30.0757       13.1085     -0.001472 
          57.            0.       3.20724       13.6342       13.8874       11.8732         0.003       30.0678       13.0985     -0.001491 
          58.            0.       3.20790       13.6343       13.8874       11.8653         0.004       30.0612       13.0985     -0.001491 
          59.            0.       3.20878       13.6345       13.8874       11.8578         0.004       30.0500       13.0885     -0.001510 
          60.            0.       3.20964       13.6346       13.8874       11.8503         0.004       30.0374       13.0785     -0.001528 
          61.            0.       3.21059       13.6348       13.8874       11.8429         0.004       30.0291       13.0685     -0.001547 
          62.            0.       3.21124       13.6349       13.8874       11.8351         0.004       30.0223       13.0685     -0.001548 
          63.            0.       3.21213       13.6350       13.8874       11.8277         0.004       30.0111       13.0584     -0.001567 
          64.            0.       3.21309       13.6352       13.8874       11.8202         0.005       30.0033       13.0484     -0.001586 
          65.            0.       3.21376       13.6353       13.8874       11.8125         0.005       29.9967       13.0484     -0.001587 
          66.            0.       3.21466       13.6354       13.8874       11.8051         0.005       29.9856       13.0384     -0.001606 
          67.            0.       3.21553       13.6355       13.8874       11.7976         0.005       29.9733       13.0284     -0.001625 
          68.            0.       3.21650       13.6357       13.8874       11.7902         0.006       29.9652       13.0184     -0.001645 
          69.            0.       3.21718       13.6358       13.8874       11.7824         0.006       29.9588       13.0184     -0.001646 
          70.            0.       3.21810       13.6359       13.8874       11.7749         0.006       29.9481       13.0083     -0.001665 
          71.            0.       3.21900       13.6361       13.8874       11.7674         0.007       29.9359       12.9983     -0.001685 
          72.            0.       3.21999       13.6362       13.8874       11.7599         0.007       29.9282       12.9883     -0.001705 
          73.            0.       3.22071       13.6363       13.8874       11.7520         0.008       29.9222       12.9883     -0.001706 
          74.            0.       3.22166       13.6364       13.8874       11.7444         0.008       29.9118       12.9783     -0.001726 
          75.            0.       3.22268       13.6366       13.8874       11.7369         0.009       29.9049       12.9683     -0.001746 
          76.            0.       3.22341       13.6367       13.8874       11.7289         0.009       29.8996       12.9683     -0.001747 
          77.            0.       3.22436       13.6368       13.8874       11.7215         0.010       29.8900       12.9582     -0.001767 
          78.            0.       3.22469       13.6369       13.8874       11.7142         0.011       29.8508       12.9482     -0.001785 
          79.            0.       3.22582       13.6371       13.8874       11.7090         0.012       29.7535       12.8781     -0.001916 
          80.            0.       3.22760       13.6374       13.8874       11.7049         0.014       29.6176       12.7679     -0.002126 
          81.            0.       3.22928       13.6377       13.8874       11.7005         0.015       29.4691       12.6577     -0.002342 
          82.            0.       3.23104       13.6380       13.8874       11.6958         0.017       29.3167       12.5474     -0.002564 
          83.            0.       3.23292       13.6383       13.8874       11.6907         0.019       29.1632       12.4372     -0.002793 
          84.            0.       3.23494       13.6386       13.8874       11.6853         0.021       29.0099       12.3270     -0.003028 
          85.            0.       3.23711       13.6389       13.8874       11.6795         0.022       28.8568       12.2167     -0.003271 
          86.            0.       3.23942       13.6392       13.8874       11.6735         0.024       28.7045       12.1065     -0.003520 
          87.            0.       3.24189       13.6396       13.8874       11.6671         0.026       28.5623       11.9962     -0.003772 
          88.            0.       3.24448       13.6399       13.8874       11.6603         0.028       28.4268       11.8860     -0.004028 
          89.            0.       3.24720       13.6403       13.8874       11.6531         0.030       28.2920       11.7757     -0.004289 
          90.            0.       3.25005       13.6407       13.8874       11.6456         0.032       28.1582       11.6654     -0.004558 
          91.            0.       3.25301       13.6410       13.8874       11.6377         0.033       28.0247       11.5552     -0.004833 
          92.            0.       3.25609       13.6415       13.8874       11.6294         0.034       27.8899       11.4449     -0.005116 
          93.            0.       3.25930       13.6419       13.8874       11.6208         0.034       27.7551       11.3346     -0.005407 
          94.            0.       3.26263       13.6423       13.8874       11.6117         0.034       27.6196       11.2243     -0.005705 
          95.            0.       3.26608       13.6428       13.8874       11.6023         0.034       27.4828       11.1140     -0.006013 
          96.            0.       3.26965       13.6432       13.8874       11.5925         0.033       27.3457       11.0037     -0.006328 
          97.            0.       3.27363       13.6437       13.8874       11.5823         0.032       27.2264       10.8933     -0.006652 
          98.            0.       3.27710       13.6441       13.8874       11.5701         0.031       27.1716       10.8231     -0.006864 
          99.            0.       3.27773       13.6444       13.8874       11.5536         0.031       27.2071       10.8532     -0.006777 
         100.            0.       3.27818       13.6446       13.8874       11.5368         0.030       27.2857       10.9034     -0.006632 
         101.            0.       3.27885       13.6448       13.8874       11.5205         0.029       27.3795       10.9535     -0.006489 
         102.            0.       3.27959       13.6450       13.8874       11.5048         0.029       27.4787       11.0037     -0.006347 
         103.            0.       3.28035       13.6452       13.8874       11.4897         0.028       27.5798       11.0538     -0.006208 
         104.            0.       3.28100       13.6454       13.8874       11.4751         0.028       27.6746       11.1039     -0.006070 
         105.            0.       3.28200       13.6455       13.8874       11.4615         0.027       27.7673       11.1440     -0.005961 
         106.            0.       3.28270       13.6457       13.8874       11.4478         0.027       27.8668       11.1942     -0.005827 
         107.            0.       3.28206       13.6458       13.8874       11.4345         0.026       27.8819       11.2443     -0.005692 
         108.            0.       3.28357       13.6461       13.8874       11.4268         0.025       27.7085       11.1641     -0.005918 
         109.            0.       3.29014       13.6468       13.8874       11.4267         0.025       27.3810       10.9033     -0.006672 
         110.            0.       3.29667       13.6474       13.8874       11.4254         0.024       27.0097       10.6425     -0.007477 
         111.            0.       3.30374       13.6481       13.8874       11.4227         0.023       26.6332       10.3817     -0.008334 
         112.            0.       3.31149       13.6489       13.8874       11.4184         0.022       26.2597       10.1208     -0.009246 
         113.            0.       3.32050       13.6497       13.8874       11.4127         0.021       25.9010        9.8497     -0.010250 
