%
%
% Run:1     Table:curve             SWAN version:41.20A
%
%       Xp            Yp            Hsig          TPsmoo        RTpeak        Tm_10         Dir           Dspr          Depth         Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [m]           [m]      
%
           0.            0.       0.80005        8.6288        8.9638        7.7647         0.014       31.6791        7.4700      0.000000 
           1.            0.       0.80000        8.6289        8.9638        7.7645         0.014       31.6066        7.4500     -0.000007 
           2.            0.       0.79996        8.6290        8.9638        7.7642         0.014       31.5345        7.4300     -0.000013 
           3.            0.       0.79998        8.6290        8.9638        7.7640         0.014       31.4747        7.4100     -0.000020 
           4.            0.       0.79990        8.6290        8.9638        7.7635         0.014       31.4194        7.4000     -0.000024 
           5.            0.       0.79989        8.6291        8.9638        7.7633         0.015       31.3542        7.3800     -0.000030 
           6.            0.       0.79988        8.6292        8.9638        7.7631         0.015       31.2862        7.3600     -0.000037 
           7.            0.       0.79986        8.6292        8.9638        7.7628         0.015       31.2236        7.3400     -0.000044 
           8.            0.       0.79990        8.6293        8.9638        7.7627         0.015       31.1779        7.3199     -0.000051 
           9.            0.       0.79984        8.6293        8.9638        7.7621         0.015       31.1363        7.3099     -0.000054 
          10.            0.       0.79986        8.6294        8.9638        7.7619         0.015       31.0871        7.2899     -0.000060 
          11.            0.       0.79986        8.6294        8.9638        7.7617         0.015       31.0357        7.2699     -0.000067 
          12.            0.       0.79986        8.6295        8.9638        7.7614         0.015       30.9833        7.2499     -0.000074 
          13.            0.       0.79992        8.6296        8.9638        7.7612         0.015       30.9397        7.2299     -0.000080 
          14.            0.       0.79987        8.6296        8.9638        7.7607         0.015       30.8990        7.2199     -0.000084 
          15.            0.       0.79990        8.6296        8.9638        7.7605         0.015       30.8504        7.1999     -0.000090 
          16.            0.       0.79993        8.6297        8.9638        7.7602         0.015       30.7992        7.1799     -0.000097 
          17.            0.       0.79995        8.6298        8.9638        7.7600         0.015       30.7471        7.1599     -0.000104 
          18.            0.       0.80002        8.6298        8.9638        7.7597         0.015       30.7035        7.1399     -0.000111 
          19.            0.       0.79998        8.6299        8.9638        7.7592         0.015       30.6629        7.1299     -0.000115 
          20.            0.       0.80003        8.6299        8.9638        7.7590         0.015       30.6143        7.1099     -0.000122 
          21.            0.       0.80007        8.6300        8.9638        7.7587         0.015       30.5632        7.0899     -0.000129 
          22.            0.       0.80016        8.6301        8.9638        7.7585         0.015       30.5199        7.0699     -0.000137 
          23.            0.       0.80018        8.6301        8.9638        7.7579         0.015       30.4880        7.0599     -0.000141 
          24.            0.       0.80022        8.6301        8.9638        7.7574         0.015       30.4600        7.0499     -0.000144 
          25.            0.       0.80027        8.6302        8.9638        7.7569         0.015       30.4332        7.0399     -0.000148 
          26.            0.       0.80028        8.6302        8.9638        7.7563         0.016       30.3981        7.0298     -0.000152 
          27.            0.       0.80041        8.6303        8.9638        7.7561         0.016       30.3602        7.0098     -0.000160 
          28.            0.       0.80045        8.6303        8.9638        7.7555         0.016       30.3301        6.9998     -0.000164 
          29.            0.       0.80050        8.6303        8.9638        7.7549         0.016       30.3026        6.9898     -0.000168 
          30.            0.       0.80052        8.6303        8.9638        7.7543         0.016       30.2673        6.9798     -0.000172 
          31.            0.       0.80066        8.6304        8.9638        7.7539         0.016       30.2291        6.9598     -0.000180 
          32.            0.       0.80075        8.6304        8.9638        7.7526         0.016       30.1975        6.9498     -0.000184 
          33.            0.       0.80088        8.6305        8.9638        7.7508         0.016       30.1677        6.9398     -0.000188 
          34.            0.       0.80106        8.6305        8.9638        7.7484         0.016       30.1378        6.9298     -0.000193 
          35.            0.       0.80119        8.6305        8.9638        7.7458         0.016       30.0994        6.9198     -0.000197 
          36.            0.       0.80146        8.6306        8.9638        7.7434         0.016       30.0578        6.8998     -0.000205 
          37.            0.       0.80168        8.6306        8.9638        7.7400         0.016       30.0235        6.8898     -0.000210 
