header
IE0.0    -18.610       1       1 9.023   5.6271  5.0206    56.14   56.14
OF1.0    -18.576    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF2.0    -18.542    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF3.0    -18.508    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF4.0    -18.474    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF5.0    -18.441    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF6.0    -18.407    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF7.0    -18.373    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF8.0    -18.339    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF9.0    -18.305    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF10.0   -18.271    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF11.0   -18.237    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF12.0   -18.203    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF13.0   -18.169    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF14.0   -18.135    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF15.0   -18.101    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF16.0   -18.068    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF17.0   -18.034    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF18.0   -18.000    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF19.0   -17.966    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF20.0   -17.932    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF21.0   -17.898    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF22.0   -17.864    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF23.0   -17.830    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF24.0   -17.796    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF25.0   -17.762    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF26.0   -17.728    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF27.0   -17.694    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF28.0   -17.661    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF29.0   -17.627    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF30.0   -17.593    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF31.0   -17.559    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF32.0   -17.525    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF33.0   -17.491    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF34.0   -17.457    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF35.0   -17.423    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF36.0   -17.389    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF37.0   -17.355    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF38.0   -17.321    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF39.0   -17.287    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF40.0   -17.254    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF41.0   -17.220    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF42.0   -17.186    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF43.0   -17.152    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF44.0   -17.118    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF45.0   -17.084    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF46.0   -17.050    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF47.0   -17.016    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF48.0   -16.982    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF49.0   -16.948    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF50.0   -16.914    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF51.0   -16.881    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF52.0   -16.847    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF53.0   -16.813    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF54.0   -16.779    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF55.0   -16.745    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF56.0   -16.711    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF57.0   -16.677    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF58.0   -16.643    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF59.0   -16.609    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF60.0   -16.575    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF61.0   -16.541    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF62.0   -16.507    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF63.0   -16.474    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF64.0   -16.44     0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF65.0   -16.406    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF66.0   -16.372    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF67.0   -16.338    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF68.0   -16.304    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF69.0   -16.270    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF70.0   -16.236    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF71.0   -16.202    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF72.0   -16.168    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF73.0   -16.134    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF74.0   -16.100    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF75.0   -16.067    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF76.0   -16.033    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF77.0   -15.999    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF78.0   -15.965    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF79.0   -15.931    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF80.0   -15.897    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF81.0   -15.863    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF82.0   -15.829    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF83.0   -15.795    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF84.0   -15.761    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF85.0   -15.727    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF86.0   -15.694    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF87.0   -15.66     0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF88.0   -15.626    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF89.0   -15.592    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF90.0   -15.558    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF91.0   -15.524    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
