header
IE0.0    -34.913       1       1 8.9775  4.1063  3.481     56.14   56.14
OF1.0    -34.855    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF2.0    -34.798    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF3.0    -34.740    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF4.0    -34.665    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF5.0    -34.586    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF6.0    -34.507    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF7.0    -34.427    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF8.0    -34.348    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF9.0    -34.269    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF10.0   -34.19     0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF11.0   -34.110    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF12.0   -34.031    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF13.0   -33.952    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF14.0   -33.873    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF15.0   -33.793    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF16.0   -33.714    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF17.0   -33.635    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF18.0   -33.556    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF19.0   -33.476    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF20.0   -33.397    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF21.0   -33.318    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF22.0   -33.239    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF23.0   -33.159    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF24.0   -33.080    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF25.0   -33.001    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF26.0   -32.918    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
