header
IE0.0    -19.593       1       1 9.0068  6.2314  5         56.14   56.14
OF2.0    -19.556    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF4.0    -19.518    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF6.0    -19.481    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF8.0    -19.441    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF10.0   -19.399    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF12.0   -19.357    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF14.0   -19.314    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF16.0   -19.272    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF18.0   -19.230    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF20.0   -19.188    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF22.0   -19.145    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF24.0   -19.103    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF26.0   -19.061    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF28.0   -19.018    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF30.0   -18.976    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF32.0   -18.934    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF34.0   -18.891    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF36.0   -18.849    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF38.0   -18.807    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF40.0   -18.764    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF42.0   -18.722    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF44.0   -18.680    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF46.0   -18.638    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF48.0   -18.595    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF50.0   -18.553    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF52.0   -18.511    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF54.0   -18.468    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF56.0   -18.426    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF58.0   -18.384    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF60.0   -18.341    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF62.0   -18.299    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF64.0   -18.257    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF66.0   -18.214    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF68.0   -18.172    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF70.0   -18.130    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF72.0   -18.087    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF74.0   -18.045    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF76.0   -18.003    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
OF78.0   -17.961    0.00 9.0068     0.00    0.00    0.00    0.00    0.00
