header
IE0.0    -19.940       1       1 8.8742  8.1081  7.9511    56.14   56.14
OF2.0    -19.915    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF4.0    -19.891    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF6.0    -19.866    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF8.0    -19.842    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF10.0   -19.818    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF12.0   -19.793    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF14.0   -19.769    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF16.0   -19.744    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF18.0   -19.720    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF20.0   -19.696    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF22.0   -19.671    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF24.0   -19.647    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF26.0   -19.622    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF28.0   -19.598    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF30.0   -19.573    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF32.0   -19.549    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF34.0   -19.525    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF36.0   -19.500    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF38.0   -19.476    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF40.0   -19.451    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF42.0   -19.427    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF44.0   -19.403    0.00 8.8745     0.00    0.00    0.00    0.00    0.00
OF46.0   -19.378    0.00 8.8745     0.00    0.00    0.00    0.00    0.00
OF48.0   -19.354    0.00 8.8745     0.00    0.00    0.00    0.00    0.00
