header
IE0.0    -23.920       1       1 8.8313  3.4083  3.4768    56.14   56.14
OF1.0    -23.705    0.00 8.8313     0.00    0.00    0.00    0.00    0.00
OF2.0    -23.490    0.00 8.8313     0.00    0.00    0.00    0.00    0.00
OF3.0    -23.276    0.00 8.8312     0.00    0.00    0.00    0.00    0.00
OF4.0    -23.062    0.00 8.8312     0.00    0.00    0.00    0.00    0.00
OF5.0    -22.847    0.00 8.8312     0.00    0.00    0.00    0.00    0.00
OF6.0    -22.633    0.00 8.8312     0.00    0.00    0.00    0.00    0.00
OF7.0    -22.418    0.00 8.8312     0.00    0.00    0.00    0.00    0.00
OF8.0    -22.204    0.00 8.8312     0.00    0.00    0.00    0.00    0.00
OF9.0    -21.989    0.00 8.8311     0.00    0.00    0.00    0.00    0.00
OF10.0   -21.775    0.00 8.8311     0.00    0.00    0.00    0.00    0.00
OF11.0   -21.560    0.00 8.8311     0.00    0.00    0.00    0.00    0.00
OF12.0   -21.346    0.00 8.8311     0.00    0.00    0.00    0.00    0.00
OF13.0   -21.132    0.00 8.8311     0.00    0.00    0.00    0.00    0.00
OF14.0   -20.917    0.00 8.8311     0.00    0.00    0.00    0.00    0.00
OF15.0   -20.703    0.00 8.831      0.00    0.00    0.00    0.00    0.00
OF16.0   -20.488    0.00 8.831      0.00    0.00    0.00    0.00    0.00
OF17.0   -20.273    0.00 8.831      0.00    0.00    0.00    0.00    0.00
OF18.0   -20.059    0.00 8.831      0.00    0.00    0.00    0.00    0.00
OF19.0   -19.828    0.00 8.831      0.00    0.00    0.00    0.00    0.00
OF20.0   -19.597    0.00 8.8309     0.00    0.00    0.00    0.00    0.00
OF21.0   -19.366    0.00 8.8309     0.00    0.00    0.00    0.00    0.00
OF22.0   -19.136    0.00 8.8309     0.00    0.00    0.00    0.00    0.00
OF23.0   -18.905    0.00 8.8309     0.00    0.00    0.00    0.00    0.00
OF24.0   -18.674    0.00 8.8309     0.00    0.00    0.00    0.00    0.00
OF25.0   -18.443    0.00 8.8309     0.00    0.00    0.00    0.00    0.00
OF26.0   -18.212    0.00 8.8308     0.00    0.00    0.00    0.00    0.00
OF27.0   -17.981    0.00 8.8308     0.00    0.00    0.00    0.00    0.00
OF28.0   -17.750    0.00 8.8308     0.00    0.00    0.00    0.00    0.00
OF29.0   -17.52     0.00 8.8308     0.00    0.00    0.00    0.00    0.00
OF30.0   -17.289    0.00 8.8308     0.00    0.00    0.00    0.00    0.00
OF31.0   -17.058    0.00 8.8307     0.00    0.00    0.00    0.00    0.00
OF32.0   -16.827    0.00 8.8307     0.00    0.00    0.00    0.00    0.00
OF33.0   -16.596    0.00 8.8307     0.00    0.00    0.00    0.00    0.00
OF34.0   -16.365    0.00 8.8307     0.00    0.00    0.00    0.00    0.00
OF35.0   -16.134    0.00 8.8307     0.00    0.00    0.00    0.00    0.00
OF36.0   -15.903    0.00 8.8307     0.00    0.00    0.00    0.00    0.00
OF37.0   -15.672    0.00 8.8306     0.00    0.00    0.00    0.00    0.00
OF38.0   -15.442    0.00 8.8306     0.00    0.00    0.00    0.00    0.00
OF39.0   -15.211    0.00 8.8306     0.00    0.00    0.00    0.00    0.00
OF40.0   -14.979    0.00 8.8306     0.00    0.00    0.00    0.00    0.00
OF41.0   -14.749    0.00 8.8306     0.00    0.00    0.00    0.00    0.00
OF42.0   -14.518    0.00 8.8305     0.00    0.00    0.00    0.00    0.00
OF43.0   -14.287    0.00 8.8305     0.00    0.00    0.00    0.00    0.00
OF44.0   -14.056    0.00 8.8305     0.00    0.00    0.00    0.00    0.00
OF45.0   -13.825    0.00 8.8305     0.00    0.00    0.00    0.00    0.00
OF46.0   -13.594    0.00 8.8305     0.00    0.00    0.00    0.00    0.00
OF47.0   -13.364    0.00 8.8305     0.00    0.00    0.00    0.00    0.00
OF48.0   -13.132    0.00 8.8304     0.00    0.00    0.00    0.00    0.00
OF49.0   -12.901    0.00 8.8304     0.00    0.00    0.00    0.00    0.00
OF50.0   -12.671    0.00 8.8304     0.00    0.00    0.00    0.00    0.00
OF51.0   -12.440    0.00 8.8304     0.00    0.00    0.00    0.00    0.00
OF52.0   -12.209    0.00 8.8304     0.00    0.00    0.00    0.00    0.00
OF53.0   -11.978    0.00 8.8304     0.00    0.00    0.00    0.00    0.00
OF54.0   -11.747    0.00 8.8303     0.00    0.00    0.00    0.00    0.00
OF55.0   -11.516    0.00 8.8303     0.00    0.00    0.00    0.00    0.00
OF56.0   -11.285    0.00 8.8303     0.00    0.00    0.00    0.00    0.00
OF57.0   -11.054    0.00 8.8303     0.00    0.00    0.00    0.00    0.00
OF58.0   -10.823    0.00 8.8303     0.00    0.00    0.00    0.00    0.00
OF59.0   -10.593    0.00 8.8302     0.00    0.00    0.00    0.00    0.00
