header
IE0.0    -6.6854       1       1 8.8436  3.5577  4.2307    56.14   56.14
OF1.0    -6.6009    0.00 8.8436     0.00    0.00    0.00    0.00    0.00
OF2.0    -6.5169    0.00 8.8437     0.00    0.00    0.00    0.00    0.00
OF3.0    -6.4329    0.00 8.8437     0.00    0.00    0.00    0.00    0.00
OF4.0    -6.3488    0.00 8.8438     0.00    0.00    0.00    0.00    0.00
OF5.0    -6.2648    0.00 8.8439     0.00    0.00    0.00    0.00    0.00
OF6.0    -6.1808    0.00 8.8439     0.00    0.00    0.00    0.00    0.00
OF7.0    -6.0963    0.00 8.844      0.00    0.00    0.00    0.00    0.00
OF8.0    -6.0123    0.00 8.844      0.00    0.00    0.00    0.00    0.00
OF9.0    -5.9283    0.00 8.8441     0.00    0.00    0.00    0.00    0.00
OF10.0   -5.8443    0.00 8.8441     0.00    0.00    0.00    0.00    0.00
OF11.0   -5.7602    0.00 8.8442     0.00    0.00    0.00    0.00    0.00
OF12.0   -5.6762    0.00 8.8442     0.00    0.00    0.00    0.00    0.00
OF13.0   -5.5921    0.00 8.8443     0.00    0.00    0.00    0.00    0.00
OF14.0   -5.5077    0.00 8.8443     0.00    0.00    0.00    0.00    0.00
OF15.0   -5.4237    0.00 8.8444     0.00    0.00    0.00    0.00    0.00
OF16.0   -5.3397    0.00 8.8445     0.00    0.00    0.00    0.00    0.00
OF17.0   -5.2556    0.00 8.8445     0.00    0.00    0.00    0.00    0.00
OF18.0   -5.1716    0.00 8.8446     0.00    0.00    0.00    0.00    0.00
OF19.0   -5.0875    0.00 8.8446     0.00    0.00    0.00    0.00    0.00
OF20.0   -5.0035    0.00 8.8447     0.00    0.00    0.00    0.00    0.00
OF21.0   -4.9191    0.00 8.8447     0.00    0.00    0.00    0.00    0.00
OF22.0   -4.8351    0.00 8.8448     0.00    0.00    0.00    0.00    0.00
OF23.0   -4.7511    0.00 8.8448     0.00    0.00    0.00    0.00    0.00
OF24.0   -4.667     0.00 8.8449     0.00    0.00    0.00    0.00    0.00
OF25.0   -4.583     0.00 8.8449     0.00    0.00    0.00    0.00    0.00
OF26.0   -4.4989    0.00 8.845      0.00    0.00    0.00    0.00    0.00
OF27.0   -4.4145    0.00 8.845      0.00    0.00    0.00    0.00    0.00
OF28.0   -4.3305    0.00 8.8451     0.00    0.00    0.00    0.00    0.00
OF29.0   -4.2465    0.00 8.8452     0.00    0.00    0.00    0.00    0.00
OF30.0   -4.1624    0.00 8.8452     0.00    0.00    0.00    0.00    0.00
