header
IE0.0    -38.400       1       1 8.8077  7.4067  9.581     56.14   56.14
OF2.0    -37.823    0.00 8.8077     0.00    0.00    0.00    0.00    0.00
OF4.0    -37.245    0.00 8.8077     0.00    0.00    0.00    0.00    0.00
OF6.0    -36.668    0.00 8.8076     0.00    0.00    0.00    0.00    0.00
OF8.0    -36.090    0.00 8.8076     0.00    0.00    0.00    0.00    0.00
OF10.0   -35.513    0.00 8.8076     0.00    0.00    0.00    0.00    0.00
OF12.0   -34.935    0.00 8.8076     0.00    0.00    0.00    0.00    0.00
OF14.0   -34.357    0.00 8.8075     0.00    0.00    0.00    0.00    0.00
OF16.0   -33.832    0.00 8.8075     0.00    0.00    0.00    0.00    0.00
OF18.0   -33.521    0.00 8.8075     0.00    0.00    0.00    0.00    0.00
OF20.0   -33.209    0.00 8.8075     0.00    0.00    0.00    0.00    0.00
OF22.0   -32.898    0.00 8.8074     0.00    0.00    0.00    0.00    0.00
OF24.0   -32.587    0.00 8.8074     0.00    0.00    0.00    0.00    0.00
OF26.0   -32.276    0.00 8.8074     0.00    0.00    0.00    0.00    0.00
OF28.0   -31.964    0.00 8.8073     0.00    0.00    0.00    0.00    0.00
OF30.0   -31.653    0.00 8.8073     0.00    0.00    0.00    0.00    0.00
OF32.0   -31.342    0.00 8.8073     0.00    0.00    0.00    0.00    0.00
OF34.0   -31.031    0.00 8.8073     0.00    0.00    0.00    0.00    0.00
OF36.0   -30.720    0.00 8.8072     0.00    0.00    0.00    0.00    0.00
OF38.0   -30.408    0.00 8.8072     0.00    0.00    0.00    0.00    0.00
OF40.0   -30.097    0.00 8.8072     0.00    0.00    0.00    0.00    0.00
OF42.0   -29.786    0.00 8.8072     0.00    0.00    0.00    0.00    0.00
OF44.0   -29.475    0.00 8.8071     0.00    0.00    0.00    0.00    0.00
OF46.0   -29.164    0.00 8.8071     0.00    0.00    0.00    0.00    0.00
OF48.0   -28.767    0.00 8.8071     0.00    0.00    0.00    0.00    0.00
OF50.0   -28.362    0.00 8.8071     0.00    0.00    0.00    0.00    0.00
OF52.0   -27.957    0.00 8.807      0.00    0.00    0.00    0.00    0.00
OF54.0   -27.552    0.00 8.807      0.00    0.00    0.00    0.00    0.00
OF56.0   -27.147    0.00 8.807      0.00    0.00    0.00    0.00    0.00
OF58.0   -26.742    0.00 8.807      0.00    0.00    0.00    0.00    0.00
OF60.0   -26.338    0.00 8.8069     0.00    0.00    0.00    0.00    0.00
OF62.0   -25.933    0.00 8.8069     0.00    0.00    0.00    0.00    0.00
OF64.0   -25.528    0.00 8.8069     0.00    0.00    0.00    0.00    0.00
OF66.0   -25.123    0.00 8.8068     0.00    0.00    0.00    0.00    0.00
OF68.0   -24.718    0.00 8.8068     0.00    0.00    0.00    0.00    0.00
OF70.0   -24.313    0.00 8.8068     0.00    0.00    0.00    0.00    0.00
OF72.0   -23.908    0.00 8.8068     0.00    0.00    0.00    0.00    0.00
OF74.0   -23.503    0.00 8.8067     0.00    0.00    0.00    0.00    0.00
OF76.0   -23.098    0.00 8.8067     0.00    0.00    0.00    0.00    0.00
OF78.0   -22.693    0.00 8.8066     0.00    0.00    0.00    0.00    0.00
OF80.0   -22.288    0.00 8.8066     0.00    0.00    0.00    0.00    0.00
OF82.0   -21.883    0.00 8.8066     0.00    0.00    0.00    0.00    0.00
OF84.0   -21.478    0.00 8.8065     0.00    0.00    0.00    0.00    0.00
OF86.0   -21.073    0.00 8.8065     0.00    0.00    0.00    0.00    0.00
OF88.0   -20.661    0.00 8.8064     0.00    0.00    0.00    0.00    0.00
OF90.0   -20.249    0.00 8.8064     0.00    0.00    0.00    0.00    0.00
OF92.0   -19.837    0.00 8.8064     0.00    0.00    0.00    0.00    0.00
OF94.0   -19.425    0.00 8.8063     0.00    0.00    0.00    0.00    0.00
OF96.0   -19.013    0.00 8.8063     0.00    0.00    0.00    0.00    0.00
OF98.0   -18.601    0.00 8.8063     0.00    0.00    0.00    0.00    0.00
OF100.0  -18.189    0.00 8.8062     0.00    0.00    0.00    0.00    0.00
OF102.0  -17.777    0.00 8.8062     0.00    0.00    0.00    0.00    0.00
OF104.0  -17.365    0.00 8.8062     0.00    0.00    0.00    0.00    0.00
OF106.0  -16.953    0.00 8.8061     0.00    0.00    0.00    0.00    0.00
OF108.0  -16.541    0.00 8.8061     0.00    0.00    0.00    0.00    0.00
OF110.0  -16.129    0.00 8.8061     0.00    0.00    0.00    0.00    0.00
OF112.0  -15.717    0.00 8.806      0.00    0.00    0.00    0.00    0.00
OF114.0  -15.305    0.00 8.806      0.00    0.00    0.00    0.00    0.00
OF116.0  -14.893    0.00 8.806      0.00    0.00    0.00    0.00    0.00
OF118.0  -14.481    0.00 8.8059     0.00    0.00    0.00    0.00    0.00
OF120.0  -14.069    0.00 8.8059     0.00    0.00    0.00    0.00    0.00
OF122.0  -13.657    0.00 8.8059     0.00    0.00    0.00    0.00    0.00
OF124.0  -13.245    0.00 8.8058     0.00    0.00    0.00    0.00    0.00
OF126.0  -12.833    0.00 8.8058     0.00    0.00    0.00    0.00    0.00
OF128.0  -12.421    0.00 8.8058     0.00    0.00    0.00    0.00    0.00
OF130.0  -12.009    0.00 8.8057     0.00    0.00    0.00    0.00    0.00
OF132.0  -11.597    0.00 8.8057     0.00    0.00    0.00    0.00    0.00
OF134.0  -11.185    0.00 8.8057     0.00    0.00    0.00    0.00    0.00
OF136.0  -10.846    0.00 8.8056     0.00    0.00    0.00    0.00    0.00
OF138.0  -10.653    0.00 8.8056     0.00    0.00    0.00    0.00    0.00
OF140.0  -10.459    0.00 8.8055     0.00    0.00    0.00    0.00    0.00
OF142.0  -10.265    0.00 8.8055     0.00    0.00    0.00    0.00    0.00
OF144.0  -10.072    0.00 8.8055     0.00    0.00    0.00    0.00    0.00
OF146.0  -9.8783    0.00 8.8054     0.00    0.00    0.00    0.00    0.00
OF148.0  -9.6846    0.00 8.8054     0.00    0.00    0.00    0.00    0.00
OF150.0  -9.4909    0.00 8.8054     0.00    0.00    0.00    0.00    0.00
OF152.0  -9.2972    0.00 8.8053     0.00    0.00    0.00    0.00    0.00
OF154.0  -9.1035    0.00 8.8053     0.00    0.00    0.00    0.00    0.00
OF156.0  -8.9098    0.00 8.8053     0.00    0.00    0.00    0.00    0.00
OF158.0  -8.7161    0.00 8.8052     0.00    0.00    0.00    0.00    0.00
OF160.0  -8.8657    0.00 8.8052     0.00    0.00    0.00    0.00    0.00
OF162.0  -9.1455    0.00 8.8052     0.00    0.00    0.00    0.00    0.00
OF164.0  -9.4253    0.00 8.8051     0.00    0.00    0.00    0.00    0.00
OF166.0  -9.7052    0.00 8.8051     0.00    0.00    0.00    0.00    0.00
OF168.0  -9.985     0.00 8.8051     0.00    0.00    0.00    0.00    0.00
OF170.0  -10.264    0.00 8.805      0.00    0.00    0.00    0.00    0.00
OF172.0  -10.544    0.00 8.805      0.00    0.00    0.00    0.00    0.00
OF174.0  -10.824    0.00 8.805      0.00    0.00    0.00    0.00    0.00
OF176.0  -11.104    0.00 8.8049     0.00    0.00    0.00    0.00    0.00
OF178.0  -11.384    0.00 8.8049     0.00    0.00    0.00    0.00    0.00
OF180.0  -11.664    0.00 8.8049     0.00    0.00    0.00    0.00    0.00
OF182.0  -11.943    0.00 8.8048     0.00    0.00    0.00    0.00    0.00
OF184.0  -12.223    0.00 8.8048     0.00    0.00    0.00    0.00    0.00
OF186.0  -12.503    0.00 8.8048     0.00    0.00    0.00    0.00    0.00
OF188.0  -12.783    0.00 8.8049     0.00    0.00    0.00    0.00    0.00
OF190.0  -13.063    0.00 8.805      0.00    0.00    0.00    0.00    0.00
OF192.0  -13.342    0.00 8.8051     0.00    0.00    0.00    0.00    0.00
OF194.0  -13.622    0.00 8.8051     0.00    0.00    0.00    0.00    0.00
OF196.0  -13.902    0.00 8.8052     0.00    0.00    0.00    0.00    0.00
OF198.0  -14.182    0.00 8.8053     0.00    0.00    0.00    0.00    0.00
OF200.0  -14.462    0.00 8.8054     0.00    0.00    0.00    0.00    0.00
OF202.0  -5.0649    0.00 8.8055     0.00    0.00    0.00    0.00    0.00
OF204.0  -5.1878    0.00 8.8056     0.00    0.00    0.00    0.00    0.00
OF206.0  -5.2944    0.00 8.8057     0.00    0.00    0.00    0.00    0.00
OF208.0  -5.2493    0.00 8.8058     0.00    0.00    0.00    0.00    0.00
OF210.0  -5.2103    0.00 8.8059     0.00    0.00    0.00    0.00    0.00
OF212.0  -5.1926    0.00 8.806      0.00    0.00    0.00    0.00    0.00
OF214.0  -5.1748    0.00 8.806      0.00    0.00    0.00    0.00    0.00
OF216.0  -5.157     0.00 8.8061     0.00    0.00    0.00    0.00    0.00
OF218.0  -5.1393    0.00 8.8062     0.00    0.00    0.00    0.00    0.00
OF220.0  -5.1215    0.00 8.8063     0.00    0.00    0.00    0.00    0.00
OF222.0  -5.1037    0.00 8.8064     0.00    0.00    0.00    0.00    0.00
OF224.0  -5.086     0.00 8.8065     0.00    0.00    0.00    0.00    0.00
OF226.0  -5.0682    0.00 8.8066     0.00    0.00    0.00    0.00    0.00
OF228.0  -5.0504    0.00 8.8067     0.00    0.00    0.00    0.00    0.00
OF230.0  -5.1276    0.00 8.8068     0.00    0.00    0.00    0.00    0.00
OF232.0  -5.2184    0.00 8.8068     0.00    0.00    0.00    0.00    0.00
OF234.0  -5.2386    0.00 8.8069     0.00    0.00    0.00    0.00    0.00
OF236.0  -5.2278    0.00 8.807      0.00    0.00    0.00    0.00    0.00
OF238.0  -5.2211    0.00 8.8071     0.00    0.00    0.00    0.00    0.00
OF240.0  -5.1989    0.00 8.8072     0.00    0.00    0.00    0.00    0.00
OF242.0  -5.1548    0.00 8.8073     0.00    0.00    0.00    0.00    0.00
OF244.0  -5.1106    0.00 8.8074     0.00    0.00    0.00    0.00    0.00
OF246.0  -5.0796    0.00 8.8075     0.00    0.00    0.00    0.00    0.00
OF248.0  -4.9796    0.00 8.8076     0.00    0.00    0.00    0.00    0.00
OF250.0  -4.5142    0.00 8.8077     0.00    0.00    0.00    0.00    0.00
OF252.0  -4.0143    0.00 8.8078     0.00    0.00    0.00    0.00    0.00
OF254.0  -3.5219    0.00 8.8079     0.00    0.00    0.00    0.00    0.00
OF256.0  -3.143     0.00 8.808      0.00    0.00    0.00    0.00    0.00
OF258.0  -2.8786    0.00 8.8081     0.00    0.00    0.00    0.00    0.00
OF260.0  -2.5923    0.00 8.8082     0.00    0.00    0.00    0.00    0.00
OF262.0  -2.3589    0.00 8.8083     0.00    0.00    0.00    0.00    0.00
OF264.0  -2.1678    0.00 8.8084     0.00    0.00    0.00    0.00    0.00
OF266.0  -1.8427    0.00 8.8084     0.00    0.00    0.00    0.00    0.00
OF268.0  -1.785     0.00 8.8084     0.00    0.00    0.00    0.00    0.00
OF270.0  -1.6522    0.00 8.8084     0.00    0.00    0.00    0.00    0.00
OF272.0  -1.4687    0.00 8.8084     0.00    0.00    0.00    0.00    0.00
OF274.0  -1.2901    0.00 8.8084     0.00    0.00    0.00    0.00    0.00
OF276.0  -1.0999    0.00 8.8084     0.00    0.00    0.00    0.00    0.00
OF278.0  -0.8434    0.00 8.8085     0.00    0.00    0.00    0.00    0.00
OF280.0  -0.5752    0.00 8.8085     0.00    0.00    0.00    0.00    0.00
OF282.0  -0.1244    0.00 8.8085     0.00    0.00    0.00    0.00    0.00
IF284.0  0.5455     0.00 8.8085     0.00    0.00    0.00    0.00    0.00
IF286.0  1.1541     0.00 8.8085     0.00    0.00    0.00    0.00    0.00
IF288.0  1.4275     0.00 8.8085     0.00    0.00    0.00    0.00    0.00
IF290.0  1.6062     0.00 8.8085     0.00    0.00    0.00    0.00    0.00
IF292.0  1.6585     0.00 8.8085     0.00    0.00    0.00    0.00    0.00
IF294.0  1.6478     0.00 8.8085     0.00    0.00    0.00    0.00    0.00
IF296.0  1.637      0.00 8.8085     0.00    0.00    0.00    0.00    0.00
IF298.0  1.4425     0.00 8.8085     0.00    0.00    0.00    0.00    0.00
IF300.0  1.0761     0.00 8.8085     0.00    0.00    0.00    0.00    0.00
IF302.0  0.7639     0.00 8.8085     0.00    0.00    0.00    0.00    0.00
IF304.0  0.4799     0.00 8.8086     0.00    0.00    0.00    0.00    0.00
IF306.0  0.2002     0.00 8.8086     0.00    0.00    0.00    0.00    0.00
IF308.4  0.29041    0.00 8.8082     0.00    0.00    0.00    0.00    0.00
IF318.2  1.1447     0.00 8.8094     0.00    0.00    0.00    0.00    0.00
IF321.5  1.3169     0.00 8.8116     0.00    0.00    0.00    0.00    0.00
IF324.8  1.6728     0.00 8.8118     0.00    0.00    0.00    0.00    0.00
IF328.1  2.0233     0.00 8.8135     0.00    0.00    0.00    0.00    0.00
IF331.4  2.3424     0.00 8.8166     0.00    0.00    0.00    0.00    0.00
IF334.6  2.8702     0.00 8.817      0.00    0.00    0.00    0.00    0.00
IF337.9  3.2412     0.00 8.8248     0.00    0.00    0.00    0.00    0.00
IF341.2  3.4747     0.00 8.8382     0.00    0.00    0.00    0.00    0.00
IF344.5  3.7593     0.00 8.8517     0.00    0.00    0.00    0.00    0.00
IF347.8  4.1403     0.00 8.865      0.00    0.00    0.00    0.00    0.00
IF351.0  4.7434     0.00 8.884      0.00    0.00    0.00    0.00    0.00
IF354.3  5.2963     0.00 8.911      0.00    0.00    0.00    0.00    0.00
IF357.6  5.5973     0.00 8.9546     0.00    0.00    0.00    0.00    0.00
IF360.9  5.9739     0.00 8.9951     0.00    0.00    0.00    0.00    0.00
IF364.2  6.5222     0.00 9.0322     0.00    0.00    0.00    0.00    0.00
IF367.5  7.4993     0.00 9.2106     0.00    0.00    0.00    0.00    0.00
IF370.7  8.3062     0.00 9.4305     0.00    0.00    0.00    0.00    0.00
IF374.0  8.7524     0.00 9.5467     0.00    0.00    0.00    0.00    0.00
IF376.0  9.1305     0.00 9.5467     0.00    0.00    0.00    0.00    0.00
IF377.7  9.5467     0.00 9.5467     0.00    0.00    0.00    0.00    0.00
PS START(419489.9683,4842884.6245)
PS END(419652.4719,4842961.5243)
ET
 
 
 
