header
IE0.0    -24.08        1       1 8.804   8.9777  10.4458   56.14   56.14
OF2.0    -23.989    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF4.0    -23.898    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF6.0    -23.699    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF8.0    -23.463    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF10.0   -23.226    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF12.0   -22.990    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF14.0   -22.754    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF16.0   -22.518    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF18.0   -22.281    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF20.0   -22.045    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF22.0   -21.809    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF24.0   -21.573    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF26.0   -21.336    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF28.0   -21.100    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF30.0   -20.864    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF32.0   -20.628    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF34.0   -20.392    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF36.0   -20.155    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF38.0   -19.919    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF40.0   -19.683    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF42.0   -19.447    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF44.0   -19.210    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF46.0   -18.974    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF48.0   -18.738    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF50.0   -18.502    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF52.0   -18.265    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF54.0   -18.029    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF56.0   -17.793    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF58.0   -17.557    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF60.0   -17.320    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF62.0   -17.084    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF64.0   -16.848    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF66.0   -16.635    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF68.0   -16.44     0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF70.0   -16.244    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF72.0   -16.048    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF74.0   -15.852    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF76.0   -15.657    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF78.0   -15.568    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF80.0   -15.479    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF82.0   -15.39     0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF84.0   -15.300    0.00 8.804      0.00    0.00    0.00    0.00    0.00
OF86.0   -15.211    0.00 8.804      0.00    0.00    0.00    0.00    0.00
