header
IE0.0    -50.257       1       1 8.8764  6.8258  10.7504   56.14   56.14
OF1.0    -50.117    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF2.0    -49.978    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF3.0    -49.839    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF4.0    -49.700    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF5.0    -49.561    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF6.0    -49.422    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF7.0    -49.282    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF8.0    -49.143    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF9.0    -49.003    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF10.0   -48.864    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF11.0   -48.725    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF12.0   -48.586    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF13.0   -48.440    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF14.0   -48.295    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF15.0   -48.149    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF16.0   -48.003    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF17.0   -47.858    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF18.0   -47.712    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF19.0   -47.566    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF20.0   -47.420    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF21.0   -47.275    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF22.0   -47.129    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF23.0   -46.984    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF24.0   -46.838    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF25.0   -46.693    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF26.0   -46.547    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF27.0   -46.401    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF28.0   -46.256    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF29.0   -46.110    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF30.0   -45.964    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF31.0   -45.818    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF32.0   -45.673    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF33.0   -45.527    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF34.0   -45.381    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF35.0   -45.236    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF36.0   -45.091    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
