header
IE0.0    -9.1547       1       1 8.8664  11.6851 13.5476   56.14   56.14
OF2.0    -9.0043    0.00 8.8664     0.00    0.00    0.00    0.00    0.00
OF78.0   -10.245    0.00 8.8665     0.00    0.00    0.00    0.00    0.00
OF80.0   -10.296    0.00 8.8665     0.00    0.00    0.00    0.00    0.00
OF82.0   -10.346    0.00 8.8665     0.00    0.00    0.00    0.00    0.00
OF84.0   -10.397    0.00 8.8665     0.00    0.00    0.00    0.00    0.00
OF86.0   -10.448    0.00 8.8665     0.00    0.00    0.00    0.00    0.00
OF88.0   -10.498    0.00 8.8665     0.00    0.00    0.00    0.00    0.00
OF92.0   -10.430    0.00 8.8666     0.00    0.00    0.00    0.00    0.00
OF94.0   -10.370    0.00 8.8666     0.00    0.00    0.00    0.00    0.00
OF98.0   -10.250    0.00 8.8666     0.00    0.00    0.00    0.00    0.00
OF100.0  -10.190    0.00 8.8666     0.00    0.00    0.00    0.00    0.00
OF104.0  -10.070    0.00 8.8666     0.00    0.00    0.00    0.00    0.00
OF106.0  -10.010    0.00 8.8666     0.00    0.00    0.00    0.00    0.00
OF110.0  -9.8902    0.00 8.8666     0.00    0.00    0.00    0.00    0.00
OF184.0  -10.085    0.00 8.8667     0.00    0.00    0.00    0.00    0.00
OF186.0  -10.092    0.00 8.8667     0.00    0.00    0.00    0.00    0.00
OF190.0  -10.095    0.00 8.8667     0.00    0.00    0.00    0.00    0.00
OF192.0  -10.077    0.00 8.8667     0.00    0.00    0.00    0.00    0.00
OF196.0  -10.041    0.00 8.8667     0.00    0.00    0.00    0.00    0.00
OF198.0  -10.022    0.00 8.8668     0.00    0.00    0.00    0.00    0.00
OF202.0  -9.9867    0.00 8.8668     0.00    0.00    0.00    0.00    0.00
OF204.0  -9.9685    0.00 8.8668     0.00    0.00    0.00    0.00    0.00
OF210.0  -9.9142    0.00 8.8668     0.00    0.00    0.00    0.00    0.00
OF278.0  -10.140    0.00 8.8669     0.00    0.00    0.00    0.00    0.00
OF280.0  -10.227    0.00 8.8669     0.00    0.00    0.00    0.00    0.00
OF282.0  -10.314    0.00 8.8669     0.00    0.00    0.00    0.00    0.00
OF284.0  -10.402    0.00 8.8669     0.00    0.00    0.00    0.00    0.00
OF286.0  -10.489    0.00 8.8669     0.00    0.00    0.00    0.00    0.00
OF288.0  -10.576    0.00 8.867      0.00    0.00    0.00    0.00    0.00
OF290.0  -10.663    0.00 8.867      0.00    0.00    0.00    0.00    0.00
OF292.0  -10.751    0.00 8.867      0.00    0.00    0.00    0.00    0.00
OF294.0  -10.763    0.00 8.867      0.00    0.00    0.00    0.00    0.00
OF296.0  -10.765    0.00 8.867      0.00    0.00    0.00    0.00    0.00
OF298.0  -10.767    0.00 8.867      0.00    0.00    0.00    0.00    0.00
OF300.0  -10.769    0.00 8.867      0.00    0.00    0.00    0.00    0.00
OF302.0  -10.771    0.00 8.8671     0.00    0.00    0.00    0.00    0.00
OF304.0  -10.773    0.00 8.8671     0.00    0.00    0.00    0.00    0.00
OF306.0  -10.775    0.00 8.8671     0.00    0.00    0.00    0.00    0.00
OF308.0  -10.777    0.00 8.8671     0.00    0.00    0.00    0.00    0.00
OF310.0  -10.779    0.00 8.8671     0.00    0.00    0.00    0.00    0.00
OF312.0  -10.781    0.00 8.8671     0.00    0.00    0.00    0.00    0.00
OF314.0  -10.783    0.00 8.8671     0.00    0.00    0.00    0.00    0.00
OF316.0  -10.785    0.00 8.8672     0.00    0.00    0.00    0.00    0.00
OF318.0  -10.787    0.00 8.8672     0.00    0.00    0.00    0.00    0.00
OF320.0  -10.789    0.00 8.8672     0.00    0.00    0.00    0.00    0.00
OF322.0  -10.791    0.00 8.8672     0.00    0.00    0.00    0.00    0.00
OF324.0  -10.793    0.00 8.8672     0.00    0.00    0.00    0.00    0.00
