header
IE0.0    -14.532       1       1 8.9177  2.3138  2.3       56.14   56.14
OF1.0    -14.527    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF2.0    -14.523    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF3.0    -14.518    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF4.0    -14.514    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF5.0    -14.509    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF6.0    -14.504    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF7.0    -14.500    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF8.0    -14.495    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF9.0    -14.491    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF10.0   -14.486    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF11.0   -14.481    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF12.0   -14.477    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF13.0   -14.472    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF14.0   -14.468    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF15.0   -14.463    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF16.0   -14.458    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF17.0   -14.454    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF18.0   -14.449    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF19.0   -14.445    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF20.0   -14.440    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF21.0   -14.436    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF22.0   -14.431    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF23.0   -14.426    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF24.0   -14.422    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF25.0   -14.417    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF26.0   -14.413    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF27.0   -14.408    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF28.0   -14.403    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF29.0   -14.399    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF30.0   -14.394    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF31.0   -14.390    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF32.0   -14.385    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF33.0   -14.381    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF34.0   -14.376    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF35.0   -14.371    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF36.0   -14.367    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF37.0   -14.362    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF38.0   -14.358    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF39.0   -14.353    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF40.0   -14.348    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF41.0   -14.344    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF42.0   -14.339    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF43.0   -14.335    0.00 8.9177     0.00    0.00    0.00    0.00    0.00
OF44.0   -14.330    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF45.0   -14.325    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF46.0   -14.321    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF47.0   -14.316    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF48.0   -14.312    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF49.0   -14.307    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF50.0   -14.303    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF51.0   -14.298    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF52.0   -14.293    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF53.0   -14.289    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF54.0   -14.284    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF55.0   -14.28     0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF56.0   -14.275    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF57.0   -14.270    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF58.0   -14.266    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF59.0   -14.261    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
