header
IE0.0    -18.358       1       1 8.918   4.7438  8.6504    56.14   56.14
OF3.3    -18.358    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF6.6    -18.358    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF9.8    -18.358    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF13.1   -18.358    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF16.4   -18.358    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF19.7   -18.358    0.00 8.918      0.00    0.00    0.00    0.00    0.00
IF337.9  4.5791     0.00 8.9299     0.00    0.00    0.00    0.00    0.00
IF341.2  3.5968     0.00 8.9516     0.00    0.00    0.00    0.00    0.00
IF344.5  2.9107     0.00 8.9608     0.00    0.00    0.00    0.00    0.00
IF347.8  2.5675     0.00 8.9646     0.00    0.00    0.00    0.00    0.00
IF351.0  2.136      0.00 8.9679     0.00    0.00    0.00    0.00    0.00
IF354.3  2.117      0.00 8.9681     0.00    0.00    0.00    0.00    0.00
IF357.6  2.4242     0.00 8.9665     0.00    0.00    0.00    0.00    0.00
IF360.9  2.7443     0.00 8.9647     0.00    0.00    0.00    0.00    0.00
IF364.2  2.7366     0.00 8.9653     0.00    0.00    0.00    0.00    0.00
IF367.5  2.9303     0.00 8.9647     0.00    0.00    0.00    0.00    0.00
IF370.7  3.1678     0.00 8.9634     0.00    0.00    0.00    0.00    0.00
IF374.0  3.2801     0.00 8.9636     0.00    0.00    0.00    0.00    0.00
IF377.3  3.3611     0.00 8.964      0.00    0.00    0.00    0.00    0.00
IF380.6  3.4436     0.00 8.9649     0.00    0.00    0.00    0.00    0.00
IF383.9  3.4403     0.00 8.9663     0.00    0.00    0.00    0.00    0.00
IF387.1  3.2753     0.00 8.9691     0.00    0.00    0.00    0.00    0.00
IF390.4  3.2007     0.00 8.9706     0.00    0.00    0.00    0.00    0.00
IF393.7  3.2723     0.00 8.971      0.00    0.00    0.00    0.00    0.00
IF397.0  3.9184     0.00 8.9658     0.00    0.00    0.00    0.00    0.00
IF400.3  4.4745     0.00 8.962      0.00    0.00    0.00    0.00    0.00
IF403.5  4.5404     0.00 8.9661     0.00    0.00    0.00    0.00    0.00
IF406.8  4.6045     0.00 8.9705     0.00    0.00    0.00    0.00    0.00
IF410.1  4.9439     0.00 8.9714     0.00    0.00    0.00    0.00    0.00
IF413.4  5.4425     0.00 8.9716     0.00    0.00    0.00    0.00    0.00
IF416.7  6.1701     0.00 8.9736     0.00    0.00    0.00    0.00    0.00
IF419.9  6.9003     0.00 8.9835     0.00    0.00    0.00    0.00    0.00
IF423.2  7.6305     0.00 9.0746     0.00    0.00    0.00    0.00    0.00
IF426.5  8.4678     0.00 9.2918     0.00    0.00    0.00    0.00    0.00
IF428.0  9.1144     0.00 9.2918     0.00    0.00    0.00    0.00    0.00
IF428.3  9.2918     0.00 9.2918     0.00    0.00    0.00    0.00    0.00
PS START(426724.0833,4852590.9082)
PS END(426784.4463,4852732.7827)
ET
 
 
 
