header
IE0.0    -19.636       1       1 8.8157  2.806   2.7       56.14   56.14
OF3.3    -19.662    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF6.6    -19.689    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF9.8    -19.715    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF13.1   -19.742    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF16.4   -19.768    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF19.7   -19.794    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF23.0   -19.821    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF26.2   -19.847    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF29.5   -19.87     0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF32.0   -19.884    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF33.0   -19.890    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF38.0   -19.025    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF39.0   -18.671    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF45.0   -16.461    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF50.0   -14.500    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF51.0   -14.109    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
IF82.0   4.2159     0.00 8.8157     0.00    0.00    0.00    0.00    0.00
IF95.0   5.0066     0.00 8.8157     0.00    0.00    0.00    0.00    0.00
IF101.0  8.8157     0.00 8.8157     0.00    0.00    0.00    0.00    0.00
AS258.2  8.8571     0.00 8.8571     0.00    0.00    0.00    0.00    0.00
IF263.5  6.3517     0.00 8.8571     0.00    0.00    0.00    0.00    0.00
IF270.0  6.0564     0.00 8.8571     0.00    0.00    0.00    0.00    0.00
IF281.5  5.6266     0.00 8.8571     0.00    0.00    0.00    0.00    0.00
IF486.5  4.4488     0.00 8.8571     0.00    0.00    0.00    0.00    0.00
OF590.0  -18.731    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF591.0  -19.002    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF597.0  -19.337    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF598.0  -19.335    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF603.0  -19.323    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF604.0  -19.321    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF609.0  -19.309    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF610.0  -19.307    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF615.0  -19.295    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF616.0  -19.293    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF621.0  -19.281    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF622.0  -19.279    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF627.0  -19.267    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF628.0  -19.265    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF633.0  -19.253    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF634.0  -19.251    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF639.0  -19.239    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF640.0  -19.236    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF645.0  -19.225    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF646.0  -19.222    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF651.0  -19.211    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF652.0  -19.208    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF657.0  -19.197    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF658.0  -19.194    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF663.0  -19.138    0.00 8.8555     0.00    0.00    0.00    0.00    0.00
OF664.0  -19.111    0.00 8.8555     0.00    0.00    0.00    0.00    0.00
OF669.0  -18.973    0.00 8.8555     0.00    0.00    0.00    0.00    0.00
OF670.0  -18.945    0.00 8.8555     0.00    0.00    0.00    0.00    0.00
OF675.0  -18.808    0.00 8.8554     0.00    0.00    0.00    0.00    0.00
OF676.0  -18.780    0.00 8.8554     0.00    0.00    0.00    0.00    0.00
OF682.0  -18.693    0.00 8.8554     0.00    0.00    0.00    0.00    0.00
OF683.0  -18.692    0.00 8.8554     0.00    0.00    0.00    0.00    0.00
OF688.0  -18.687    0.00 8.8555     0.00    0.00    0.00    0.00    0.00
OF689.0  -18.686    0.00 8.8555     0.00    0.00    0.00    0.00    0.00
OF694.0  -18.681    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF695.0  -18.680    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF700.0  -18.610    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF701.0  -18.592    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF706.0  -18.501    0.00 8.8557     0.00    0.00    0.00    0.00    0.00
OF707.0  -18.482    0.00 8.8557     0.00    0.00    0.00    0.00    0.00
OF712.0  -18.391    0.00 8.8557     0.00    0.00    0.00    0.00    0.00
OF713.0  -18.373    0.00 8.8558     0.00    0.00    0.00    0.00    0.00
OF718.0  -18.281    0.00 8.8558     0.00    0.00    0.00    0.00    0.00
OF719.0  -18.263    0.00 8.8558     0.00    0.00    0.00    0.00    0.00
OF724.0  -18.172    0.00 8.8559     0.00    0.00    0.00    0.00    0.00
OF725.0  -18.154    0.00 8.8559     0.00    0.00    0.00    0.00    0.00
OF730.0  -18.062    0.00 8.8559     0.00    0.00    0.00    0.00    0.00
