header
IE0.0    -10.758       1       1 8.811   7.5088  13.4742   56.14   56.14
OF1.0    -10.777    0.00 8.811      0.00    0.00    0.00    0.00    0.00
OF2.0    -10.797    0.00 8.811      0.00    0.00    0.00    0.00    0.00
OF3.0    -10.816    0.00 8.8111     0.00    0.00    0.00    0.00    0.00
OF4.0    -10.835    0.00 8.8111     0.00    0.00    0.00    0.00    0.00
OF5.0    -10.854    0.00 8.8111     0.00    0.00    0.00    0.00    0.00
OF6.0    -10.874    0.00 8.8111     0.00    0.00    0.00    0.00    0.00
OF7.0    -10.893    0.00 8.8111     0.00    0.00    0.00    0.00    0.00
OF8.0    -10.912    0.00 8.8111     0.00    0.00    0.00    0.00    0.00
OF9.0    -10.931    0.00 8.8111     0.00    0.00    0.00    0.00    0.00
OF10.0   -10.950    0.00 8.8112     0.00    0.00    0.00    0.00    0.00
OF11.0   -10.970    0.00 8.8112     0.00    0.00    0.00    0.00    0.00
OF12.0   -10.989    0.00 8.8112     0.00    0.00    0.00    0.00    0.00
OF13.0   -11.008    0.00 8.8112     0.00    0.00    0.00    0.00    0.00
OF14.0   -11.027    0.00 8.8112     0.00    0.00    0.00    0.00    0.00
OF15.0   -11.046    0.00 8.8112     0.00    0.00    0.00    0.00    0.00
OF16.0   -11.066    0.00 8.8112     0.00    0.00    0.00    0.00    0.00
OF17.0   -11.085    0.00 8.8113     0.00    0.00    0.00    0.00    0.00
OF18.0   -11.104    0.00 8.8113     0.00    0.00    0.00    0.00    0.00
OF19.0   -11.123    0.00 8.8113     0.00    0.00    0.00    0.00    0.00
OF20.0   -11.143    0.00 8.8113     0.00    0.00    0.00    0.00    0.00
OF21.0   -11.162    0.00 8.8113     0.00    0.00    0.00    0.00    0.00
OF22.0   -11.181    0.00 8.8113     0.00    0.00    0.00    0.00    0.00
OF23.0   -11.200    0.00 8.8113     0.00    0.00    0.00    0.00    0.00
OF24.0   -11.219    0.00 8.8114     0.00    0.00    0.00    0.00    0.00
