header
IE0.0    -67.677       1       1 8.874   2.321   2.202     56.14   56.14
OF1.0    -67.658    0.00 8.874      0.00    0.00    0.00    0.00    0.00
OF2.0    -67.639    0.00 8.874      0.00    0.00    0.00    0.00    0.00
OF3.0    -67.621    0.00 8.874      0.00    0.00    0.00    0.00    0.00
OF4.0    -67.602    0.00 8.874      0.00    0.00    0.00    0.00    0.00
OF5.0    -67.584    0.00 8.874      0.00    0.00    0.00    0.00    0.00
OF6.0    -67.565    0.00 8.874      0.00    0.00    0.00    0.00    0.00
OF7.0    -67.547    0.00 8.8741     0.00    0.00    0.00    0.00    0.00
OF8.0    -67.528    0.00 8.8741     0.00    0.00    0.00    0.00    0.00
OF9.0    -67.51     0.00 8.8741     0.00    0.00    0.00    0.00    0.00
OF10.0   -67.491    0.00 8.8741     0.00    0.00    0.00    0.00    0.00
OF11.0   -67.420    0.00 8.8741     0.00    0.00    0.00    0.00    0.00
OF12.0   -67.340    0.00 8.8741     0.00    0.00    0.00    0.00    0.00
OF13.0   -67.260    0.00 8.8741     0.00    0.00    0.00    0.00    0.00
OF14.0   -67.181    0.00 8.8741     0.00    0.00    0.00    0.00    0.00
OF15.0   -67.101    0.00 8.8741     0.00    0.00    0.00    0.00    0.00
OF16.0   -67.021    0.00 8.8741     0.00    0.00    0.00    0.00    0.00
OF17.0   -66.941    0.00 8.8741     0.00    0.00    0.00    0.00    0.00
OF18.0   -66.861    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF19.0   -66.781    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF20.0   -66.702    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF21.0   -66.622    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF22.0   -66.542    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF23.0   -66.462    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF24.0   -66.382    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF25.0   -66.302    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF26.0   -66.223    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF27.0   -66.143    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF28.0   -66.063    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF29.0   -65.983    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF30.0   -65.903    0.00 8.8742     0.00    0.00    0.00    0.00    0.00
OF31.0   -65.823    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF32.0   -65.744    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF33.0   -65.664    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF34.0   -65.584    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF35.0   -65.504    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF36.0   -65.424    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF37.0   -65.345    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF38.0   -65.265    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF39.0   -65.185    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF40.0   -65.105    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF41.0   -65.025    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF42.0   -64.946    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF43.0   -64.866    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF44.0   -64.786    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF45.0   -64.706    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF46.0   -64.626    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF47.0   -64.546    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF48.0   -64.466    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF49.0   -64.387    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF50.0   -64.307    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF51.0   -64.227    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
OF52.0   -64.147    0.00 8.8744     0.00    0.00    0.00    0.00    0.00
