type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IE,0,419489.9683,4842884.6245,-69.9997423092664,43.7346260672027,-38.400,8.808,7.41,13.99,9.58
OF,2,419490.519318809,4842884.8852526,-69.9997355070123,43.7346284744865,-37.823,8.808,7.42,14.00,9.58
OF,4,419491.070337618,4842885.1460052,-69.9997287047576,43.7346308817699,-37.245,8.808,7.43,14.01,9.58
OF,6,419491.621356428,4842885.4067578,-69.9997219025024,43.7346332890529,-36.668,8.808,7.45,14.02,9.58
OF,8,419492.172375237,4842885.6675104,-69.9997151002466,43.7346356963355,-36.090,8.808,7.46,14.03,9.58
OF,10,419492.723394046,4842885.928263,-69.9997082979903,43.7346381036177,-35.513,8.808,7.48,14.04,9.58
OF,12,419493.274412855,4842886.1890156,-69.9997014957334,43.7346405108994,-34.935,8.808,7.50,14.06,9.58
OF,14,419493.825431664,4842886.4497682,-69.999694693476,43.7346429181808,-34.357,8.807,7.51,14.07,9.58
OF,16,419494.376450474,4842886.7105208,-69.999687891218,43.7346453254618,-33.832,8.807,7.53,14.08,9.58
OF,18,419494.927469283,4842886.9712734,-69.9996810889594,43.7346477327424,-33.521,8.807,7.54,14.08,9.58
OF,20,419495.478488092,4842887.232026,-69.9996742867004,43.7346501400226,-33.209,8.807,7.55,14.09,9.58
OF,22,419496.029506901,4842887.4927786,-69.9996674844407,43.7346525473024,-32.898,8.807,7.56,14.10,9.58
OF,24,419496.58052571,4842887.7535312,-69.9996606821806,43.7346549545817,-32.587,8.807,7.57,14.10,9.58
OF,26,419497.131544519,4842888.0142838,-69.9996538799198,43.7346573618607,-32.276,8.807,7.58,14.11,9.58
OF,28,419497.682563329,4842888.2750364,-69.9996470776586,43.7346597691393,-31.964,8.807,7.59,14.12,9.58
OF,30,419498.233582138,4842888.535789,-69.9996402753967,43.7346621764175,-31.653,8.807,7.60,14.13,9.58
OF,32,419498.784600947,4842888.7965416,-69.9996334731343,43.7346645836953,-31.342,8.807,7.61,14.13,9.58
OF,34,419499.335619756,4842889.0572942,-69.9996266708714,43.7346669909726,-31.031,8.807,7.62,14.14,9.58
OF,36,419499.886638565,4842889.3180468,-69.9996198686079,43.7346693982496,-30.720,8.807,7.63,14.15,9.58
