type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IE,0,425365.8657,4849410.3126,-69.9276949907211,43.7939897651665,-50.257,8.876,6.83,13.65,10.75
OF,1,425365.730054482,4849410.58555367,-69.9276967145798,43.7939922087887,-50.117,8.876,6.83,13.66,10.75
OF,2,425365.594408963,4849410.85850734,-69.9276984384386,43.7939946524109,-49.978,8.876,6.83,13.66,10.75
OF,3,425365.458763445,4849411.131461,-69.9277001622976,43.7939970960331,-49.839,8.876,6.83,13.66,10.75
OF,4,425365.323117926,4849411.40441467,-69.9277018861567,43.7939995396552,-49.700,8.876,6.84,13.66,10.75
OF,5,425365.187472408,4849411.67736834,-69.927703610016,43.7940019832774,-49.561,8.876,6.84,13.66,10.75
OF,6,425365.05182689,4849411.95032201,-69.9277053338754,43.7940044268994,-49.422,8.876,6.84,13.67,10.75
OF,7,425364.916181371,4849412.22327568,-69.927707057735,43.7940068705215,-49.282,8.876,6.84,13.67,10.75
OF,8,425364.780535853,4849412.49622934,-69.9277087815947,43.7940093141435,-49.143,8.876,6.85,13.67,10.75
OF,9,425364.644890334,4849412.76918301,-69.9277105054545,43.7940117577655,-49.003,8.876,6.85,13.67,10.75
OF,10,425364.509244816,4849413.04213668,-69.9277122293145,43.7940142013875,-48.864,8.876,6.85,13.67,10.75
OF,11,425364.373599297,4849413.31509035,-69.9277139531746,43.7940166450094,-48.725,8.876,6.86,13.67,10.75
OF,12,425364.237953779,4849413.58804402,-69.9277156770349,43.7940190886314,-48.586,8.876,6.86,13.68,10.75
OF,13,425364.102308261,4849413.86099769,-69.9277174008953,43.7940215322533,-48.440,8.876,6.86,13.68,10.75
OF,14,425363.966662742,4849414.13395135,-69.9277191247558,43.7940239758751,-48.295,8.876,6.86,13.68,10.75
OF,15,425363.831017224,4849414.40690502,-69.9277208486165,43.7940264194969,-48.149,8.876,6.87,13.68,10.75
OF,16,425363.695371705,4849414.67985869,-69.9277225724773,43.7940288631187,-48.003,8.876,6.87,13.68,10.75
OF,17,425363.559726187,4849414.95281236,-69.9277242963383,43.7940313067405,-47.858,8.876,6.87,13.69,10.75
OF,18,425363.424080668,4849415.22576603,-69.9277260201994,43.7940337503623,-47.712,8.876,6.88,13.69,10.75
OF,19,425363.28843515,4849415.4987197,-69.9277277440607,43.794036193984,-47.566,8.876,6.88,13.69,10.75
OF,20,425363.152789632,4849415.77167336,-69.9277294679221,43.7940386376057,-47.420,8.876,6.88,13.69,10.75
OF,21,425363.017144113,4849416.04462703,-69.9277311917836,43.7940410812273,-47.275,8.876,6.88,13.70,10.75
OF,22,425362.881498595,4849416.3175807,-69.9277329156453,43.794043524849,-47.129,8.876,6.89,13.70,10.75
OF,23,425362.745853076,4849416.59053437,-69.9277346395071,43.7940459684706,-46.984,8.876,6.89,13.70,10.75
OF,24,425362.610207558,4849416.86348804,-69.9277363633691,43.7940484120922,-46.838,8.876,6.89,13.70,10.75
OF,25,425362.474562039,4849417.1364417,-69.9277380872312,43.7940508557137,-46.693,8.876,6.90,13.70,10.75
OF,26,425362.338916521,4849417.40939537,-69.9277398110934,43.7940532993352,-46.547,8.876,6.90,13.71,10.75
OF,27,425362.203271003,4849417.68234904,-69.9277415349558,43.7940557429567,-46.401,8.876,6.90,13.71,10.75
OF,28,425362.067625484,4849417.95530271,-69.9277432588184,43.7940581865782,-46.256,8.876,6.91,13.71,10.75
OF,29,425361.931979966,4849418.22825638,-69.927744982681,43.7940606301996,-46.110,8.876,6.91,13.71,10.75
OF,30,425361.796334447,4849418.50121005,-69.9277467065438,43.794063073821,-45.964,8.876,6.91,13.71,10.75
OF,31,425361.660688929,4849418.77416371,-69.9277484304068,43.7940655174424,-45.818,8.876,6.92,13.72,10.75
OF,32,425361.525043411,4849419.04711738,-69.9277501542699,43.7940679610637,-45.673,8.876,6.92,13.72,10.75
OF,33,425361.389397892,4849419.32007105,-69.9277518781331,43.7940704046851,-45.527,8.876,6.92,13.72,10.75
OF,34,425361.253752374,4849419.59302472,-69.9277536019965,43.7940728483064,-45.381,8.876,6.93,13.72,10.75
OF,35,425361.118106855,4849419.86597839,-69.92775532586,43.7940752919276,-45.236,8.876,6.93,13.73,10.75
