X,Y,Z,STA,Zadcirc,HSadcirc,TWLadcirc,PERadcirc,TransHeading,PerHeading
-69.9879223400,43.7529396100,-28.7965153537,-467.00,-28.7965153537392,2.89410048384753,8.83085011138881,7.68191429866356,349.66164844236,0
-69.9879186700,43.7529389500,-28.7877958157,-466.00,-28.7877958157022,2.89228165803057,8.83085609188001,7.6706784250767,349.66164844236,0
-69.9879150000,43.7529382800,-28.7790509487,-465.00,-28.7790509487144,2.89045653434734,8.83086205402481,7.65941178054121,349.66164844236,0
-69.9879113300,43.7529376100,-28.7703060817,-464.00,-28.7703060817087,2.88863141065964,8.83086801616959,7.64814513598386,349.66164844236,0
-69.9879076600,43.7529369400,-28.7615612147,-463.00,-28.7615612147209,2.8868062869764,8.83087397831439,7.63687849144837,349.66164844236,0
-69.9879039800,43.7529362700,-28.7527971438,-462.00,-28.7527971438284,2.88497733994769,8.83087996005417,7.62558676517322,349.66164844236,0
-69.9879003100,43.7529356000,-28.7440522768,-461.00,-28.7440522768406,2.88315221626446,8.83088592219897,7.61432012063773,349.66164844236,0
-69.9878966400,43.7529349300,-28.7353074099,-460.00,-28.7353074098529,2.88132709258123,8.83089188434376,7.60305347610224,349.66164844236,0
-69.9878929700,43.7529342600,-28.7265625429,-459.00,-28.7265625428651,2.87950196889799,8.83089784648856,7.59178683156675,349.66164844236,0
-69.9878893000,43.7529335900,-28.7178176759,-458.00,-28.7178176758594,2.87767684521029,8.83090380863334,7.5805201870094,349.66164844236,0
-69.9878856300,43.7529329200,-28.7090728088,-457.00,-28.7090728088443,2.87585172152162,8.83090977077817,7.56925354243827,349.66164844236,0
-69.9878819600,43.7529322500,-28.7003279419,-456.00,-28.7003279418565,2.87402659783839,8.83091573292297,7.55798689790279,349.66164844236,0
-69.9878782900,43.7529315800,-28.6915830749,-455.00,-28.6915830748688,2.87220147415516,8.83092169506776,7.5467202533673,349.66164844236,0
-69.9878746100,43.7529309100,-28.6828190040,-454.00,-28.6828190040036,2.87037252713188,8.83092767680752,7.53542852712779,349.66164844236,0
-69.9878709400,43.7529302400,-28.6740741370,-453.00,-28.6740741369705,2.86854740343874,8.83093363895233,7.52416188253479,349.66164844236,0
-69.9878672700,43.7529295700,-28.6653292700,-452.00,-28.6653292699828,2.86672227975551,8.83093960109712,7.5128952379993,349.66164844236,0
-69.9878636000,43.7529289000,-28.6565844030,-451.00,-28.656584402995,2.86489715607227,8.83094556324192,7.50162859346382,349.66164844236,0
-69.9878599300,43.7529282300,-28.6478395360,-450.00,-28.6478395360072,2.86307203238904,8.83095152538672,7.49036194892833,349.66164844236,0
-69.9878562600,43.7529275600,-28.6390946690,-449.00,-28.6390946690195,2.86124690870581,8.83095748753152,7.47909530439284,349.66164844236,0
-69.9878525900,43.7529268900,-28.6303498020,-448.00,-28.6303498020137,2.8594217850181,8.8309634496763,7.46782865983549,349.66164844236,0
-69.9878489200,43.7529262200,-28.6216049350,-447.00,-28.6216049350259,2.85759666133487,8.8309694118211,7.45656201530001,349.66164844236,0
-69.9878452400,43.7529255500,-28.6128408641,-446.00,-28.6128408641335,2.85576771430616,8.83097539356088,7.44527028902485,349.66164844236,0
