%
%
% Run:1     Table:curve             SWAN version:41.20A
%
%       Xp            Yp            Hsig          TPsmoo        RTpeak        Tm_10         Dir           Dspr          Depth         Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [m]           [m]      
%
           0.            0.       0.54730        2.6744        2.6893        2.4321         0.000       31.5245        7.4000      0.000000 
           1.            0.       0.54837        2.6743        2.6893        2.4298         0.000       31.5427        7.3900     -0.000003 
           2.            0.       0.54945        2.6742        2.6893        2.4276         0.000       31.5611        7.3900     -0.000006 
           3.            0.       0.55053        2.6742        2.6893        2.4253         0.000       31.5797        7.3800     -0.000009 
           4.            0.       0.55161        2.6741        2.6893        2.4230         0.000       31.5986        7.3800     -0.000011 
           5.            0.       0.55269        2.6740        2.6893        2.4208         0.000       31.6179        7.3700     -0.000014 
           6.            0.       0.55377        2.6740        2.6893        2.4185         0.000       31.6373        7.3700     -0.000017 
           7.            0.       0.55485        2.6739        2.6893        2.4163         0.000       31.6571        7.3600     -0.000020 
           8.            0.       0.55594        2.6739        2.6893        2.4140         0.000       31.6772        7.3600     -0.000023 
           9.            0.       0.55701        2.6738        2.6893        2.4118         0.000       31.6972        7.3500     -0.000026 
          10.            0.       0.55809        2.6737        2.6893        2.4096         0.000       31.7177        7.3400     -0.000029 
          11.            0.       0.55917        2.6737        2.6893        2.4074         0.000       31.7386        7.3400     -0.000032 
          12.            0.       0.56025        2.6736        2.6893        2.4052         0.000       31.7597        7.3300     -0.000035 
          13.            0.       0.56133        2.6735        2.6893        2.4031         0.000       31.7811        7.3300     -0.000037 
          14.            0.       0.56241        2.6735        2.6893        2.4010         0.000       31.8028        7.3200     -0.000040 
          15.            0.       0.56349        2.6734        2.6893        2.3989         0.000       31.8252        7.3200     -0.000043 
          16.            0.       0.56457        2.6734        2.6893        2.3968         0.001       31.8476        7.3200     -0.000046 
          17.            0.       0.56564        2.6733        2.6893        2.3947         0.001       31.8701        7.3100     -0.000049 
          18.            0.       0.56672        2.6733        2.6893        2.3927         0.001       31.8932        7.3099     -0.000052 
          19.            0.       0.56779        2.6732        2.6893        2.3907         0.002       31.9161        7.3099     -0.000055 
          20.            0.       0.56885        2.6731        2.6893        2.3887         0.002       31.9392        7.2999     -0.000058 
          21.            0.       0.56992        2.6731        2.6893        2.3867         0.002       31.9598        7.2999     -0.000061 
          22.            0.       0.57083        2.6730        2.6893        2.3844         0.002       31.9631        7.2199     -0.000065 
          23.            0.       0.57106        2.6725        2.6893        2.3806         0.003       31.9440        6.7399     -0.000073 
          24.            0.       0.57106        2.6720        2.6893        2.3764         0.003       31.9146        6.2899     -0.000084 
          25.            0.       0.57099        2.6715        2.6893        2.3723         0.003       31.8779        5.9299     -0.000097 
          26.            0.       0.57069        2.6709        2.6893        2.3679         0.004       31.8311        5.5899     -0.000112 
          27.            0.       0.57001        2.6702        2.6893        2.3630         0.004       31.7654        5.2399     -0.000131 
          28.            0.       0.56891        2.6694        2.6893        2.3576         0.004       31.6802        4.8898     -0.000157 
          29.            0.       0.56729        2.6686        2.6893        2.3516         0.005       31.5671        4.5398     -0.000190 
          30.            0.       0.56509        2.6679        2.6893        2.3451         0.005       31.4110        4.1898     -0.000235 
          31.            0.       0.56223        2.6672        2.6893        2.3382         0.006       31.2057        3.8397     -0.000295 
          32.            0.       0.55869        2.6668        2.6893        2.3309         0.006       30.9301        3.4896     -0.000378 
          33.            0.       0.55461        2.6668        2.6893        2.3236         0.006       30.5694        3.1495     -0.000488 
          34.            0.       0.54775        2.6672        2.6893        2.3149         0.007       29.3745        2.7993     -0.000656 
          35.            0.       0.53502        2.6718        2.6893        2.3165         0.008       28.2936        1.6983     -0.001744 
          36.            0.       0.53731        2.6708        2.6893        2.3119         0.008       28.6332        1.8485     -0.001493 
          37.            0.       0.53880        2.6696        2.6893        2.3064         0.008       28.2307        2.0788     -0.001202 
          38.            0.       0.53106        2.6729        2.6893        2.3156         0.008       25.9581        1.5479     -0.002143 
          39.            0.       0.53101        2.6783        2.6893        2.2609         0.149       20.2429        0.8451     -0.004915 
          40.            0.       0.24846        2.7245        2.6893        2.1823       353.208       22.9392        0.1686      0.018596 
          41.            0.      -9.00000       -9.0000       -9.0000       -9.0000      -999.000       -9.0000      -99.0000     -9.000000 
