header
IE0.0    -15.740       1       1 8.8043  11.1112 10        56.14   56.14
OF1.0    -15.671    0.00 8.8043     0.00    0.00    0.00    0.00    0.00
OF2.0    -15.602    0.00 8.8043     0.00    0.00    0.00    0.00    0.00
OF3.0    -15.533    0.00 8.8044     0.00    0.00    0.00    0.00    0.00
OF4.0    -15.464    0.00 8.8044     0.00    0.00    0.00    0.00    0.00
OF5.0    -15.395    0.00 8.8044     0.00    0.00    0.00    0.00    0.00
OF6.0    -15.326    0.00 8.8044     0.00    0.00    0.00    0.00    0.00
OF7.0    -15.258    0.00 8.8045     0.00    0.00    0.00    0.00    0.00
OF8.0    -15.189    0.00 8.8045     0.00    0.00    0.00    0.00    0.00
OF9.0    -15.120    0.00 8.8045     0.00    0.00    0.00    0.00    0.00
OF10.0   -14.970    0.00 8.8051     0.00    0.00    0.00    0.00    0.00
OF11.0   -14.767    0.00 8.8061     0.00    0.00    0.00    0.00    0.00
OF12.0   -14.564    0.00 8.807      0.00    0.00    0.00    0.00    0.00
OF13.0   -14.362    0.00 8.808      0.00    0.00    0.00    0.00    0.00
OF14.0   -14.159    0.00 8.8089     0.00    0.00    0.00    0.00    0.00
OF15.0   -13.956    0.00 8.8099     0.00    0.00    0.00    0.00    0.00
OF16.0   -13.753    0.00 8.8109     0.00    0.00    0.00    0.00    0.00
OF17.0   -13.550    0.00 8.8118     0.00    0.00    0.00    0.00    0.00
OF18.0   -13.348    0.00 8.8128     0.00    0.00    0.00    0.00    0.00
OF19.0   -13.144    0.00 8.8137     0.00    0.00    0.00    0.00    0.00
OF20.0   -12.942    0.00 8.8147     0.00    0.00    0.00    0.00    0.00
OF21.0   -12.739    0.00 8.8157     0.00    0.00    0.00    0.00    0.00
OF22.0   -12.536    0.00 8.8166     0.00    0.00    0.00    0.00    0.00
OF23.0   -12.333    0.00 8.8176     0.00    0.00    0.00    0.00    0.00
OF24.0   -12.131    0.00 8.8185     0.00    0.00    0.00    0.00    0.00
OF25.0   -11.928    0.00 8.8195     0.00    0.00    0.00    0.00    0.00
OF26.0   -11.725    0.00 8.8205     0.00    0.00    0.00    0.00    0.00
OF27.0   -11.522    0.00 8.8214     0.00    0.00    0.00    0.00    0.00
OF28.0   -11.319    0.00 8.8224     0.00    0.00    0.00    0.00    0.00
OF29.0   -11.117    0.00 8.8233     0.00    0.00    0.00    0.00    0.00
OF30.0   -10.914    0.00 8.8243     0.00    0.00    0.00    0.00    0.00
OF31.0   -10.711    0.00 8.8252     0.00    0.00    0.00    0.00    0.00
OF32.0   -10.508    0.00 8.8262     0.00    0.00    0.00    0.00    0.00
OF33.0   -10.305    0.00 8.8272     0.00    0.00    0.00    0.00    0.00
OF34.0   -10.103    0.00 8.8281     0.00    0.00    0.00    0.00    0.00
OF35.0   -9.8999    0.00 8.8291     0.00    0.00    0.00    0.00    0.00
OF36.0   -9.6972    0.00 8.83       0.00    0.00    0.00    0.00    0.00
OF37.0   -9.4947    0.00 8.831      0.00    0.00    0.00    0.00    0.00
OF38.0   -9.2915    0.00 8.832      0.00    0.00    0.00    0.00    0.00
OF39.0   -9.0889    0.00 8.8329     0.00    0.00    0.00    0.00    0.00
OF40.0   -8.8863    0.00 8.8339     0.00    0.00    0.00    0.00    0.00
OF41.0   -8.6831    0.00 8.8348     0.00    0.00    0.00    0.00    0.00
OF42.0   -8.4805    0.00 8.8358     0.00    0.00    0.00    0.00    0.00
OF43.0   -8.2773    0.00 8.8368     0.00    0.00    0.00    0.00    0.00
OF44.0   -8.0747    0.00 8.8377     0.00    0.00    0.00    0.00    0.00
OF45.0   -7.8721    0.00 8.8387     0.00    0.00    0.00    0.00    0.00
OF46.0   -7.669     0.00 8.8396     0.00    0.00    0.00    0.00    0.00
OF47.0   -7.4663    0.00 8.8406     0.00    0.00    0.00    0.00    0.00
OF48.0   -7.2638    0.00 8.8416     0.00    0.00    0.00    0.00    0.00
OF49.0   -7.0606    0.00 8.8425     0.00    0.00    0.00    0.00    0.00
OF50.0   -6.858     0.00 8.8435     0.00    0.00    0.00    0.00    0.00
OF51.0   -6.6548    0.00 8.8444     0.00    0.00    0.00    0.00    0.00
OF52.0   -6.4522    0.00 8.8454     0.00    0.00    0.00    0.00    0.00
OF53.0   -6.2496    0.00 8.8464     0.00    0.00    0.00    0.00    0.00
OF54.0   -6.0464    0.00 8.8473     0.00    0.00    0.00    0.00    0.00
OF55.0   -5.8438    0.00 8.8483     0.00    0.00    0.00    0.00    0.00
OF56.0   -5.6412    0.00 8.8492     0.00    0.00    0.00    0.00    0.00
OF57.0   -5.4381    0.00 8.8502     0.00    0.00    0.00    0.00    0.00
OF58.0   -5.2355    0.00 8.8512     0.00    0.00    0.00    0.00    0.00
OF59.0   -5.0323    0.00 8.8521     0.00    0.00    0.00    0.00    0.00
OF60.0   -4.8297    0.00 8.8531     0.00    0.00    0.00    0.00    0.00
OF61.0   -4.6271    0.00 8.854      0.00    0.00    0.00    0.00    0.00
OF62.0   -4.4239    0.00 8.855      0.00    0.00    0.00    0.00    0.00
OF63.0   -4.2213    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF64.0   -4.0187    0.00 8.8569     0.00    0.00    0.00    0.00    0.00
OF65.0   -3.8156    0.00 8.8579     0.00    0.00    0.00    0.00    0.00
OF66.0   -3.6129    0.00 8.8588     0.00    0.00    0.00    0.00    0.00
OF67.0   -3.4098    0.00 8.8598     0.00    0.00    0.00    0.00    0.00
OF68.0   -3.2072    0.00 8.8608     0.00    0.00    0.00    0.00    0.00
OF69.0   -3.0046    0.00 8.8617     0.00    0.00    0.00    0.00    0.00
OF70.0   -2.8014    0.00 8.8627     0.00    0.00    0.00    0.00    0.00
OF71.0   -2.5988    0.00 8.8636     0.00    0.00    0.00    0.00    0.00
OF72.0   -2.3956    0.00 8.8646     0.00    0.00    0.00    0.00    0.00
OF73.0   -2.193     0.00 8.8656     0.00    0.00    0.00    0.00    0.00
OF74.0   -1.9904    0.00 8.8665     0.00    0.00    0.00    0.00    0.00
OF75.0   -1.7818    0.00 8.8678     0.00    0.00    0.00    0.00    0.00
OF76.0   -1.5737    0.00 8.8691     0.00    0.00    0.00    0.00    0.00
OF77.0   -1.3655    0.00 8.8704     0.00    0.00    0.00    0.00    0.00
OF78.0   -1.1568    0.00 8.8717     0.00    0.00    0.00    0.00    0.00
OF79.0   -0.9486    0.00 8.873      0.00    0.00    0.00    0.00    0.00
OF80.0   -0.7398    0.00 8.8743     0.00    0.00    0.00    0.00    0.00
OF81.0   -0.5317    0.00 8.8756     0.00    0.00    0.00    0.00    0.00
OF82.0   -0.3235    0.00 8.8769     0.00    0.00    0.00    0.00    0.00
OF83.0   -0.1148    0.00 8.8782     0.00    0.00    0.00    0.00    0.00
OF91.9   -2.5604    0.00 8.8049     0.00    0.00    0.00    0.00    0.00
OF95.1   -2.5926    0.00 8.8106     0.00    0.00    0.00    0.00    0.00
OF98.4   -2.1621    0.00 8.8101     0.00    0.00    0.00    0.00    0.00
OF101.7  -1.7315    0.00 8.8101     0.00    0.00    0.00    0.00    0.00
OF105.0  -1.301     0.00 8.8109     0.00    0.00    0.00    0.00    0.00
OF108.3  -0.8704    0.00 8.8127     0.00    0.00    0.00    0.00    0.00
OF111.5  -0.1311    0.00 8.8117     0.00    0.00    0.00    0.00    0.00
IF114.8  0.95346    0.00 8.8085     0.00    0.00    0.00    0.00    0.00
IF118.1  2.0381     0.00 8.8118     0.00    0.00    0.00    0.00    0.00
IF121.4  3.1227     0.00 8.8254     0.00    0.00    0.00    0.00    0.00
IF124.7  4.2074     0.00 8.8449     0.00    0.00    0.00    0.00    0.00
IF128.0  5.292      0.00 9.0284     0.00    0.00    0.00    0.00    0.00
IF131.2  6.3766     0.00 9.3034     0.00    0.00    0.00    0.00    0.00
IF134.5  7.2988     0.00 9.5447     0.00    0.00    0.00    0.00    0.00
IF137.8  7.858      0.00 9.6975     0.00    0.00    0.00    0.00    0.00
IF141.1  8.4172     0.00 9.8484     0.00    0.00    0.00    0.00    0.00
IF144.4  8.9764     0.00 10.0024    0.00    0.00    0.00    0.00    0.00
IF147.6  9.5356     0.00 10.1604    0.00    0.00    0.00    0.00    0.00
IF150.9  10.0948    0.00 10.3237    0.00    0.00    0.00    0.00    0.00
IF152.3  10.3237    0.00 10.3237    0.00    0.00    0.00    0.00    0.00
PS START(422364.6654,4845890.3094)
PS END(422315.9586,4845909.2882)
ET
 
 
 
