header
IE0.0    -15.456       1       1 8.816   2.8503  2.713     56.14   56.14
OF1.0    -15.450    0.00 8.816      0.00    0.00    0.00    0.00    0.00
OF2.0    -15.445    0.00 8.816      0.00    0.00    0.00    0.00    0.00
OF3.0    -15.440    0.00 8.816      0.00    0.00    0.00    0.00    0.00
OF4.0    -15.434    0.00 8.8161     0.00    0.00    0.00    0.00    0.00
OF5.0    -15.429    0.00 8.8161     0.00    0.00    0.00    0.00    0.00
OF6.0    -15.424    0.00 8.8161     0.00    0.00    0.00    0.00    0.00
OF7.0    -15.418    0.00 8.8161     0.00    0.00    0.00    0.00    0.00
OF8.0    -15.413    0.00 8.8161     0.00    0.00    0.00    0.00    0.00
OF9.0    -15.407    0.00 8.8161     0.00    0.00    0.00    0.00    0.00
OF10.0   -15.402    0.00 8.8162     0.00    0.00    0.00    0.00    0.00
OF11.0   -15.397    0.00 8.8162     0.00    0.00    0.00    0.00    0.00
OF12.0   -15.391    0.00 8.8162     0.00    0.00    0.00    0.00    0.00
OF13.0   -15.386    0.00 8.8162     0.00    0.00    0.00    0.00    0.00
OF14.0   -15.380    0.00 8.8162     0.00    0.00    0.00    0.00    0.00
OF15.0   -15.375    0.00 8.8163     0.00    0.00    0.00    0.00    0.00
OF16.0   -15.370    0.00 8.8163     0.00    0.00    0.00    0.00    0.00
OF17.0   -15.364    0.00 8.8163     0.00    0.00    0.00    0.00    0.00
OF18.0   -15.359    0.00 8.8163     0.00    0.00    0.00    0.00    0.00
OF19.0   -15.354    0.00 8.8163     0.00    0.00    0.00    0.00    0.00
OF20.0   -15.348    0.00 8.8164     0.00    0.00    0.00    0.00    0.00
OF21.0   -15.343    0.00 8.8164     0.00    0.00    0.00    0.00    0.00
OF22.0   -15.337    0.00 8.8164     0.00    0.00    0.00    0.00    0.00
OF23.0   -15.332    0.00 8.8164     0.00    0.00    0.00    0.00    0.00
OF24.0   -15.327    0.00 8.8164     0.00    0.00    0.00    0.00    0.00
OF25.0   -15.321    0.00 8.8164     0.00    0.00    0.00    0.00    0.00
OF26.0   -15.316    0.00 8.8165     0.00    0.00    0.00    0.00    0.00
OF27.0   -15.310    0.00 8.8165     0.00    0.00    0.00    0.00    0.00
OF28.0   -15.305    0.00 8.8165     0.00    0.00    0.00    0.00    0.00
OF29.0   -15.300    0.00 8.8165     0.00    0.00    0.00    0.00    0.00
OF30.0   -15.294    0.00 8.8165     0.00    0.00    0.00    0.00    0.00
