header
IE0.0    -10.078       1       1 8.8547  1.4418  1.5429    56.14   56.14
OF1.0    -10.070    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF2.0    -10.061    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF3.0    -10.053    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF4.0    -10.044    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF5.0    -10.035    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF6.0    -10.027    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF7.0    -10.018    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF8.0    -10.009    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF9.0    -10.001    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF10.0   -9.9925    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF11.0   -9.9838    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF12.0   -9.9752    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF13.0   -9.9665    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF14.0   -9.9579    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF15.0   -9.9492    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF16.0   -9.9406    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF17.0   -9.9319    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF18.0   -9.9234    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF19.0   -9.9147    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF20.0   -9.9061    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF21.0   -9.8974    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF22.0   -9.8888    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF23.0   -9.8801    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF24.0   -9.8715    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF25.0   -9.8628    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF26.0   -9.8542    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF27.0   -9.8455    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF28.0   -9.8369    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF29.0   -9.8283    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF30.0   -9.8196    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF31.0   -9.811     0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF32.0   -9.8023    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF33.0   -9.7937    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF34.0   -9.785     0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF35.0   -9.7764    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF36.0   -9.7677    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF37.0   -9.7591    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF38.0   -9.7505    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF39.0   -9.7418    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF40.0   -9.7332    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF41.0   -9.7245    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF42.0   -9.7159    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF43.0   -9.7072    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF44.0   -9.6986    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF45.0   -9.6899    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF46.0   -9.6813    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF47.0   -9.6726    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF48.0   -9.664     0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF49.0   -9.6554    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF50.0   -9.6467    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF51.0   -9.6381    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF52.0   -9.6294    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF53.0   -9.6208    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF54.0   -9.6121    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
