type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IE,0,422364.6654,4845890.3094,-69.9644849497564,43.761991774954,-15.740,8.804,11.11,16.58,10.00
OF,1,422364.381397874,4845890.42006257,-69.9644884935052,43.7619927414343,-15.671,8.804,11.12,16.59,10.00
OF,2,422364.097395747,4845890.53072514,-69.9644920372541,43.7619937079144,-15.602,8.804,11.13,16.59,10.00
OF,3,422363.813393621,4845890.6413877,-69.9644955810031,43.7619946743945,-15.533,8.804,11.14,16.60,10.00
OF,4,422363.529391495,4845890.75205027,-69.9644991247522,43.7619956408745,-15.464,8.804,11.15,16.61,10.00
OF,5,422363.245389369,4845890.86271284,-69.9645026685014,43.7619966073543,-15.395,8.804,11.15,16.61,10.00
OF,6,422362.961387242,4845890.97337541,-69.9645062122507,43.7619975738341,-15.326,8.804,11.16,16.62,10.00
OF,7,422362.677385116,4845891.08403797,-69.9645097560002,43.7619985403137,-15.258,8.804,11.17,16.62,10.00
OF,8,422362.39338299,4845891.19470054,-69.9645132997498,43.7619995067932,-15.189,8.804,11.18,16.63,10.00
OF,9,422362.109380863,4845891.30536311,-69.9645168434994,43.7620004732726,-15.120,8.804,11.19,16.64,10.00
OF,10,422361.825378737,4845891.41602568,-69.9645203872492,43.7620014397519,-14.970,8.805,11.21,16.65,10.00
OF,11,422361.541376611,4845891.52668825,-69.9645239309991,43.7620024062311,-14.767,8.806,11.24,16.67,10.00
OF,12,422361.257374485,4845891.63735081,-69.9645274747491,43.7620033727101,-14.564,8.807,11.26,16.69,10.00
OF,13,422360.973372358,4845891.74801338,-69.9645310184993,43.7620043391891,-14.362,8.808,11.29,16.71,10.00
OF,14,422360.689370232,4845891.85867595,-69.9645345622495,43.762005305668,-14.159,8.809,11.32,16.73,10.00
OF,15,422360.405368106,4845891.96933852,-69.9645381059998,43.7620062721467,-13.956,8.810,11.35,16.75,10.00
OF,16,422360.121365979,4845892.08000108,-69.9645416497503,43.7620072386253,-13.753,8.811,11.38,16.77,10.00
OF,17,422359.837363853,4845892.19066365,-69.9645451935009,43.7620082051038,-13.550,8.812,11.41,16.80,10.00
OF,18,422359.553361727,4845892.30132622,-69.9645487372516,43.7620091715823,-13.348,8.813,11.44,16.82,10.00
OF,19,422359.269359601,4845892.41198879,-69.9645522810024,43.7620101380606,-13.144,8.814,11.47,16.84,10.00
OF,20,422358.985357474,4845892.52265135,-69.9645558247533,43.7620111045387,-12.942,8.815,11.50,16.86,10.00
OF,21,422358.701355348,4845892.63331392,-69.9645593685043,43.7620120710168,-12.739,8.816,11.53,16.89,10.00
OF,22,422358.417353222,4845892.74397649,-69.9645629122554,43.7620130374948,-12.536,8.817,11.56,16.91,10.00
OF,23,422358.133351095,4845892.85463906,-69.9645664560067,43.7620140039726,-12.333,8.818,11.59,16.93,10.00
OF,24,422357.849348969,4845892.96530163,-69.9645699997581,43.7620149704504,-12.131,8.818,11.62,16.96,10.00
OF,25,422357.565346843,4845893.07596419,-69.9645735435095,43.762015936928,-11.928,8.819,11.66,16.98,10.00
OF,26,422357.281344717,4845893.18662676,-69.9645770872611,43.7620169034055,-11.725,8.821,11.69,17.01,10.00
OF,27,422356.99734259,4845893.29728933,-69.9645806310128,43.7620178698829,-11.522,8.821,11.73,17.03,10.00
OF,28,422356.713340464,4845893.4079519,-69.9645841747646,43.7620188363602,-11.319,8.822,11.76,17.05,10.00
OF,29,422356.429338338,4845893.51861446,-69.9645877185166,43.7620198028374,-11.117,8.823,11.80,17.08,10.00
OF,30,422356.145336212,4845893.62927703,-69.9645912622686,43.7620207693144,-10.914,8.824,11.81,17.09,10.00
OF,31,422355.861334085,4845893.7399396,-69.9645948060207,43.7620217357914,-10.711,8.825,11.79,17.08,10.00
OF,32,422355.577331959,4845893.85060217,-69.964598349773,43.7620227022683,-10.508,8.826,11.76,17.06,10.00
OF,33,422355.293329833,4845893.96126474,-69.9646018935254,43.762023668745,-10.305,8.827,11.74,17.04,10.00
OF,34,422355.009327706,4845894.0719273,-69.9646054372779,43.7620246352216,-10.103,8.828,11.71,17.03,10.00
OF,35,422354.72532558,4845894.18258987,-69.9646089810305,43.7620256016981,-9.900,8.829,11.68,17.01,10.00
OF,36,422354.441323454,4845894.29325244,-69.9646125247832,43.7620265681745,-9.697,8.830,11.66,16.99,10.00
