X,Y,Z,STA,Zadcirc,HSadcirc,TWLadcirc,PERadcirc,TransHeading,PerHeading
-69.9014581400,43.7891483900,-9.9578957198,-1884.50,-9.95789571980721,1.53861759108892,8.84634121811854,5.21340617699426,346.056627009006,0
-69.9014545600,43.7891475000,-9.9553882355,-1883.50,-9.95538823545517,1.53800952386314,8.84636101381651,5.16894016917488,346.056627009006,0
-69.9014509700,43.7891466100,-9.9528771291,-1882.50,-9.95287712910087,1.53740124511129,8.8463808512694,5.12437651559165,346.056627009006,0
-69.9014473900,43.7891457200,-9.9503696447,-1881.50,-9.95036964474882,1.53679317788552,8.84640064696737,5.07991050777226,346.056627009006,0
-69.9014438100,43.7891448300,-9.9478621604,-1880.50,-9.94786216039677,1.53618511065974,8.84642044266534,5.03544449995288,346.056627009006,0
-69.9014402200,43.7891439400,-9.9453510540,-1879.50,-9.94535105404248,1.53557683190789,8.84644028011823,4.99088084636965,346.056627009006,0
-69.9014366400,43.7891430500,-9.9428435697,-1878.50,-9.94284356969043,1.53496876468212,8.8464600758162,4.94641483855026,346.056627009006,0
-69.9014330600,43.7891421600,-9.9403360853,-1877.50,-9.94033608533838,1.53436069745634,8.84647987151417,4.90194883073087,346.056627009006,0
-69.9014294700,43.7891412700,-9.9378249790,-1876.50,-9.93782497898408,1.53375241870449,8.84649970896705,4.85738517714765,346.056627009006,0
-69.9014258900,43.7891403800,-9.9353174946,-1875.50,-9.93531749463204,1.53314435147872,8.84651950466502,4.81291916932826,346.056627009006,0
-69.9014223000,43.7891394900,-9.9328063883,-1874.50,-9.93280638826807,1.53253607272262,8.84653934211795,4.76835551566912,346.056627009006,0
-69.9014187200,43.7891386000,-9.9302989039,-1873.50,-9.93029890392569,1.53192800550109,8.84655913781588,4.72388950792564,346.056627009006,0
-69.9014151400,43.7891377100,-9.9277914196,-1872.50,-9.92779141957364,1.53131993827532,8.84657893351385,4.67942350010626,346.056627009006,0
-69.9014115500,43.7891368200,-9.9252803132,-1871.50,-9.92528031322449,1.53071165952377,8.84659877096668,4.63485984666179,346.056627009006,0
-69.9014079700,43.7891359300,-9.9227728289,-1870.50,-9.9227728288673,1.53010359229769,8.84661856666471,4.59039383870364,346.056627009006,0
-69.9014043900,43.7891350400,-9.9202653445,-1869.50,-9.92026534451525,1.52949552507192,8.84663836236268,4.54592783088426,346.056627009006,0
-69.9014008000,43.7891341500,-9.9177542382,-1868.50,-9.9177542381661,1.52888724632037,8.84665819981551,4.50136417743979,346.056627009006,0
-69.9013972200,43.7891332600,-9.9152467538,-1867.50,-9.91524675381405,1.52827917909459,8.84667799551348,4.4568981696204,346.056627009006,0
-69.9013936400,43.7891323700,-9.9127392695,-1866.50,-9.91273926945686,1.52767111186852,8.84669779121151,4.41243216166226,346.056627009006,0
-69.9013900500,43.7891314900,-9.9102417677,-1865.50,-9.91024176766066,1.52706881445936,8.84671757419876,4.36797534895597,346.056627009006,0
-69.9013864700,43.7891306000,-9.9077660488,-1864.50,-9.90776604880968,1.52647092412226,8.84673663793235,4.32441431793429,346.056627009006,0
-69.9013828900,43.7891297100,-9.9060479103,-1863.50,-9.90604791033614,1.526115743988,8.84673824493354,4.302436219381,346.056627009006,0
-69.9013793000,43.7891288200,-9.9043277801,-1862.50,-9.90432778012247,1.52576087462104,8.84673985612405,4.28040692006988,346.056627009006,0
-69.9013757200,43.7891279300,-9.9026096417,-1861.50,-9.90260964165176,1.52540569448634,8.84674146312523,4.25842882158935,346.056627009006,0
-69.9013721400,43.7891270400,-9.9008915032,-1860.50,-9.90089150318105,1.52505051435164,8.84674307012642,4.23645072310882,346.056627009006,0
-69.9013685500,43.7891261500,-9.8991713730,-1859.50,-9.89917137296455,1.52469564498512,8.84674468131693,4.21442142372495,346.056627009006,0
-69.9013649700,43.7891252600,-9.8974532345,-1858.50,-9.89745323449385,1.52434046485042,8.84674628831811,4.19244332524442,346.056627009006,0
-69.9013613800,43.7891243700,-9.8957331043,-1857.50,-9.89573310427735,1.52398559548389,8.84674789950863,4.17041402586054,346.056627009006,0
-69.9013578000,43.7891234800,-9.8940149658,-1856.50,-9.89401496580664,1.5236304153492,8.84674950650981,4.14843592738001,346.056627009006,0
-69.9013542200,43.7891225900,-9.8922968273,-1855.50,-9.89229682733593,1.5232752352145,8.84675111351099,4.12645782889948,346.056627009006,0
-69.9013506300,43.7891217000,-9.8905766971,-1854.50,-9.89057669711943,1.52292036584797,8.84675272470151,4.10442852951561,346.056627009006,0
-69.9013470500,43.7891208100,-9.8888585586,-1853.50,-9.88885855864872,1.52256518571327,8.84675433170269,4.08245043103508,346.056627009006,0
-69.9013434700,43.7891199200,-9.8871404202,-1852.50,-9.88714042017802,1.52221000557858,8.84675593870387,4.06047233255455,346.056627009006,0
-69.9013398800,43.7891190300,-9.8854202900,-1851.50,-9.88542028996152,1.52185513621205,8.84675754989439,4.03844303317067,346.056627009006,0
-69.9013363000,43.7891181400,-9.8837021515,-1850.50,-9.88370215149081,1.52149995607735,8.84675915689557,4.01646493469014,346.056627009006,0
-69.9013327200,43.7891172500,-9.8819840130,-1849.50,-9.8819840130201,1.52114477594265,8.84676076389675,3.99448683620961,346.056627009006,0
-69.9013291300,43.7891163600,-9.8802638828,-1848.50,-9.8802638828036,1.52078990657613,8.84676237508727,3.97245753682574,346.056627009006,0
-69.9013255500,43.7891154700,-9.8785457443,-1847.50,-9.87854574433289,1.52043472644143,8.84676398208845,3.95047943834521,346.056627009006,0
-69.9013219700,43.7891145800,-9.8768276059,-1846.50,-9.87682760587021,1.52007954631046,8.84676558908963,3.9285013398938,346.056627009006,0
-69.9013183800,43.7891136900,-9.8751074756,-1845.50,-9.87510747564852,1.51972467693977,8.84676720028014,3.90647204055356,346.056627009006,0
