X,Y,Z,STA,source
-69.9014581400,43.7891483900,-9.9578957198,-1884.50,Maine ADCIRC model
-69.9014545600,43.7891475000,-9.9553882355,-1883.50,Maine ADCIRC model
-69.9014509700,43.7891466100,-9.9528771291,-1882.50,Maine ADCIRC model
-69.9014473900,43.7891457200,-9.9503696447,-1881.50,Maine ADCIRC model
-69.9014438100,43.7891448300,-9.9478621604,-1880.50,Maine ADCIRC model
-69.9014402200,43.7891439400,-9.9453510540,-1879.50,Maine ADCIRC model
-69.9014366400,43.7891430500,-9.9428435697,-1878.50,Maine ADCIRC model
-69.9014330600,43.7891421600,-9.9403360853,-1877.50,Maine ADCIRC model
-69.9014294700,43.7891412700,-9.9378249790,-1876.50,Maine ADCIRC model
-69.9014258900,43.7891403800,-9.9353174946,-1875.50,Maine ADCIRC model
-69.9014223000,43.7891394900,-9.9328063883,-1874.50,Maine ADCIRC model
-69.9014187200,43.7891386000,-9.9302989039,-1873.50,Maine ADCIRC model
-69.9014151400,43.7891377100,-9.9277914196,-1872.50,Maine ADCIRC model
-69.9014115500,43.7891368200,-9.9252803132,-1871.50,Maine ADCIRC model
-69.9014079700,43.7891359300,-9.9227728289,-1870.50,Maine ADCIRC model
-69.9014043900,43.7891350400,-9.9202653445,-1869.50,Maine ADCIRC model
-69.9014008000,43.7891341500,-9.9177542382,-1868.50,Maine ADCIRC model
-69.9013972200,43.7891332600,-9.9152467538,-1867.50,Maine ADCIRC model
-69.9013936400,43.7891323700,-9.9127392695,-1866.50,Maine ADCIRC model
-69.9013900500,43.7891314900,-9.9102417677,-1865.50,Maine ADCIRC model
-69.9013864700,43.7891306000,-9.9077660488,-1864.50,Maine ADCIRC model
-69.9013828900,43.7891297100,-9.9060479103,-1863.50,Maine ADCIRC model
-69.9013793000,43.7891288200,-9.9043277801,-1862.50,Maine ADCIRC model
-69.9013757200,43.7891279300,-9.9026096417,-1861.50,Maine ADCIRC model
-69.9013721400,43.7891270400,-9.9008915032,-1860.50,Maine ADCIRC model
-69.9013685500,43.7891261500,-9.8991713730,-1859.50,Maine ADCIRC model
-69.9013649700,43.7891252600,-9.8974532345,-1858.50,Maine ADCIRC model
-69.9013613800,43.7891243700,-9.8957331043,-1857.50,Maine ADCIRC model
-69.9013578000,43.7891234800,-9.8940149658,-1856.50,Maine ADCIRC model
-69.9013542200,43.7891225900,-9.8922968273,-1855.50,Maine ADCIRC model
-69.9013506300,43.7891217000,-9.8905766971,-1854.50,Maine ADCIRC model
-69.9013470500,43.7891208100,-9.8888585586,-1853.50,Maine ADCIRC model
-69.9013434700,43.7891199200,-9.8871404202,-1852.50,Maine ADCIRC model
-69.9013398800,43.7891190300,-9.8854202900,-1851.50,Maine ADCIRC model
-69.9013363000,43.7891181400,-9.8837021515,-1850.50,Maine ADCIRC model
-69.9013327200,43.7891172500,-9.8819840130,-1849.50,Maine ADCIRC model
-69.9013291300,43.7891163600,-9.8802638828,-1848.50,Maine ADCIRC model
-69.9013255500,43.7891154700,-9.8785457443,-1847.50,Maine ADCIRC model
-69.9013219700,43.7891145800,-9.8768276059,-1846.50,Maine ADCIRC model
-69.9013183800,43.7891136900,-9.8751074756,-1845.50,Maine ADCIRC model
-69.9013148000,43.7891128000,-9.8733893372,-1844.50,Maine ADCIRC model
-69.9013112100,43.7891119100,-9.8716692070,-1843.50,Maine ADCIRC model
-69.9013076300,43.7891110200,-9.8699510685,-1842.50,Maine ADCIRC model
-69.9013040500,43.7891101400,-9.8682442232,-1841.50,Maine ADCIRC model
-69.9013004600,43.7891092500,-9.8665240930,-1840.50,Maine ADCIRC model
