X,Y,Zadcirc,STA,source
-69.96411287,43.76189029,-23.0034915247246,2,interpolated ADCIRC
-69.96411641,43.76189126,-22.9679808978058,3,interpolated ADCIRC
-69.96411996,43.76189223,-22.9323726691816,4,interpolated ADCIRC
-69.9641235,43.76189319,-22.8968719352001,5,interpolated ADCIRC
-69.96412705,43.76189416,-22.8612637065829,6,interpolated ADCIRC
-69.96413059,43.76189513,-22.8257530798029,7,interpolated ADCIRC
-69.96413413,43.76189609,-22.7902523456827,8,interpolated ADCIRC
-69.96413768,43.76189706,-22.7546441171972,9,interpolated ADCIRC
-69.96414122,43.76189802,-22.7191433830841,10,interpolated ADCIRC
-69.96414476,43.76189899,-22.683632756304,11,interpolated ADCIRC
-69.96414831,43.76189996,-22.6480245276798,12,interpolated ADCIRC
-69.96415185,43.76190092,-22.6125237936983,13,interpolated ADCIRC
-69.9641554,43.76190189,-22.5769155650811,14,interpolated ADCIRC
-69.96415894,43.76190286,-22.5414049381624,15,interpolated ADCIRC
-69.96416248,43.76190382,-22.505904204181,16,interpolated ADCIRC
-69.96416603,43.76190479,-22.4702959755567,17,interpolated ADCIRC
-69.96416957,43.76190576,-22.4347853487837,18,interpolated ADCIRC
-69.96417311,43.76190672,-22.3992846146636,19,interpolated ADCIRC
-69.96417666,43.76190769,-22.3636763860393,20,interpolated ADCIRC
-69.9641802,43.76190866,-22.3281657592593,21,interpolated ADCIRC
-69.96418375,43.76190962,-22.2925674234406,22,interpolated ADCIRC
-69.96418729,43.76191059,-22.2570567966606,23,interpolated ADCIRC
-69.96419083,43.76191156,-22.2215461697419,24,interpolated ADCIRC
-69.96419438,43.76191252,-22.160286055766,25,interpolated ADCIRC
-69.96419792,43.76191349,-22.0740109150617,26,interpolated ADCIRC
-69.96420146,43.76191445,-21.9878058334222,27,interpolated ADCIRC
-69.96420501,43.76191542,-21.9013061746228,28,interpolated ADCIRC
-69.96420855,43.76191639,-21.8150310341877,29,interpolated ADCIRC
-69.9642121,43.76191735,-21.7286014342336,30,interpolated ADCIRC
-69.96421564,43.76191832,-21.6423262934795,31,interpolated ADCIRC
-69.96421918,43.76191929,-21.5560511530445,32,interpolated ADCIRC
-69.96422273,43.76192025,-21.4696215530406,33,interpolated ADCIRC
-69.96422627,43.76192122,-21.3833464126554,34,interpolated ADCIRC
-69.96422981,43.76192219,-21.2970712719013,35,interpolated ADCIRC
-69.96423336,43.76192315,-21.2106416722165,36,interpolated ADCIRC
-69.9642369,43.76192412,-21.1243665314624,37,interpolated ADCIRC
-69.96424045,43.76192509,-21.0378668727128,38,interpolated ADCIRC
