X,Y,Zlidar,STA,SOURCE
-69.90145814,43.78914839,-3.75328096,2,2006FEMA
-69.90145456,43.7891475,-3.75328096,3,2006FEMA
-69.90145097,43.78914661,-3.75328096,4,2006FEMA
-69.90144739,43.78914572,-3.75328096,5,2006FEMA
-69.90144381,43.78914483,-3.75328096,6,2006FEMA
-69.90144022,43.78914394,-999,7,-999
-69.90143664,43.78914305,-999,8,-999
-69.90143306,43.78914216,-999,9,-999
-69.90142947,43.78914127,-999,10,-999
-69.90142589,43.78914038,-999,11,-999
-69.9014223,43.78913949,-999,12,-999
-69.90141872,43.7891386,-999,13,-999
-69.90141514,43.78913771,-999,14,-999
-69.90141155,43.78913682,-999,15,-999
-69.90140797,43.78913593,-999,16,-999
-69.90140439,43.78913504,-999,17,-999
-69.9014008,43.78913415,-999,18,-999
-69.90139722,43.78913326,-999,19,-999
-69.90139364,43.78913237,-999,20,-999
-69.90139005,43.78913149,-999,21,-999
-69.90138647,43.7891306,-999,22,-999
-69.90138289,43.78912971,-999,23,-999
-69.9013793,43.78912882,-999,24,-999
-69.90137572,43.78912793,-999,25,-999
-69.90137214,43.78912704,-999,26,-999
-69.90136855,43.78912615,-999,27,-999
-69.90136497,43.78912526,-999,28,-999
-69.90136138,43.78912437,-999,29,-999
-69.9013578,43.78912348,-999,30,-999
-69.90135422,43.78912259,-999,31,-999
-69.90135063,43.7891217,-999,32,-999
-69.90134705,43.78912081,-999,33,-999
-69.90134347,43.78911992,-999,34,-999
-69.90133988,43.78911903,-999,35,-999
-69.9013363,43.78911814,-999,36,-999
-69.90133272,43.78911725,-999,37,-999
-69.90132913,43.78911636,-999,38,-999
-69.90132555,43.78911547,-999,39,-999
-69.90132197,43.78911458,-999,40,-999
-69.90131838,43.78911369,-999,41,-999
-69.9013148,43.7891128,-999,42,-999
-69.90131121,43.78911191,-999,43,-999
-69.90130763,43.78911102,-999,44,-999
-69.90130405,43.78911014,-999,45,-999
-69.90130046,43.78910925,-999,46,-999
-69.90129688,43.78910836,-999,47,-999
-69.9012933,43.78910747,-999,48,-999
-69.90128971,43.78910658,-999,49,-999
-69.90128613,43.78910569,-999,50,-999
-69.90128255,43.7891048,-999,51,-999
-69.90127896,43.78910391,-999,52,-999
-69.90127538,43.78910302,-999,53,-999
-69.9012718,43.78910213,-999,54,-999
-69.90126821,43.78910124,-999,55,-999
-69.90126463,43.78910035,-999,56,-999
-69.90126105,43.78909946,-999,57,-999
-69.90125746,43.78909857,-999,58,-999
-69.90125388,43.78909768,-999,59,-999
-69.90125029,43.78909679,-999,60,-999
-69.90124671,43.7890959,-999,61,-999
-69.90124313,43.78909501,-999,62,-999
-69.90123954,43.78909412,-999,63,-999
-69.90123596,43.78909323,-999,64,-999
-69.90123238,43.78909234,-999,65,-999
-69.90122879,43.78909145,-999,66,-999
-69.90122521,43.78909056,-999,67,-999
-69.90122163,43.78908967,-999,68,-999
-69.90121804,43.78908879,-999,69,-999
-69.90121446,43.7890879,-999,70,-999
-69.90121088,43.78908701,-999,71,-999
-69.90120729,43.78908612,-999,72,-999
-69.90120371,43.78908523,-999,73,-999
-69.90120013,43.78908434,-999,74,-999
-69.90119654,43.78908345,-999,75,-999
-69.90119296,43.78908256,-999,76,-999
-69.90118937,43.78908167,-999,77,-999
-69.90118579,43.78908078,-999,78,-999
-69.90118221,43.78907989,-999,79,-999
-69.90117862,43.789079,-999,80,-999
-69.90117504,43.78907811,-999,81,-999
