%
%
% Run:1     Table:curve             SWAN version:41.20A
%
%       Xp            Yp            Hsig          TPsmoo        RTpeak        Tm_10         Dir           Dspr          Depth         Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [m]           [m]      
%
           0.            0.       2.15170       12.4979       12.4477       11.5501         0.000       31.5057        4.7400      0.000000 
           1.            0.       2.15604       12.5015       12.4477       11.3729         0.000       31.3554        4.7200     -0.000047 
           2.            0.       2.16052       12.5049       12.4477       11.2109         0.000       31.1804        4.6898     -0.000164 
           3.            0.       2.16433       12.5081       12.4477       11.0654         0.000       31.0186        4.6597     -0.000267 
           4.            0.       2.16781       12.5109       12.4477       10.9351         0.000       30.8866        4.6296     -0.000362 
           5.            0.       2.16992       12.5135       12.4477       10.8179         0.000       30.7619        4.6096     -0.000375 
           6.            0.       2.17227       12.5158       12.4477       10.7129         0.000       30.6199        4.5795     -0.000458 
           7.            0.       2.17411       12.5179       12.4477       10.6178         0.000       30.4709        4.5495     -0.000536 
           8.            0.       2.17597       12.5198       12.4477       10.5289         0.000       30.3358        4.5194     -0.000611 
           9.            0.       2.17669       12.5215       12.4477       10.4464         0.000       30.2049        4.4994     -0.000600 
          10.            0.       2.17781       12.5230       12.4477       10.3711         0.000       30.0582        4.4693     -0.000662 
          11.            0.       2.17857       12.5243       12.4477       10.3015         0.000       29.9059        4.4393     -0.000718 
          12.            0.       2.17901       12.5255       12.4477       10.2370         0.000       29.7513        4.4092     -0.000766 
          13.            0.       2.17936       12.5265       12.4477       10.1771         0.000       29.6115        4.3792     -0.000808 
          14.            0.       2.17860       12.5274       12.4477       10.1208         0.000       29.4770        4.3592     -0.000756 
          15.            0.       2.17833       12.5282       12.4477       10.0691         0.000       29.3278        4.3292     -0.000782 
          16.            0.       2.17775       12.5289       12.4477       10.0208         0.000       29.1736        4.2992     -0.000799 
          17.            0.       2.17708       12.5294       12.4477        9.9756         0.000       29.0334        4.2692     -0.000807 
          18.            0.       2.17550       12.5299       12.4477        9.9325         0.000       28.9137        4.2493     -0.000716 
          19.            0.       2.17396       12.5303       12.4477        9.8923         0.000       28.8163        4.2294     -0.000618 
          20.            0.       2.17159       12.5305       12.4477        9.8539         0.000       28.7424        4.2196     -0.000421 
          21.            0.       2.16934       12.5307       12.4477        9.8182         0.000       28.6916        4.2098     -0.000221 
          22.            0.       2.16769       12.5307       12.4477        9.7681         0.000       28.6565        4.2101      0.000075 
          23.            0.       2.16710       12.5307       12.4477        9.7166         0.000       28.6098        4.2003      0.000285 
          24.            0.       2.16635       12.5305       12.4477        9.6663         0.000       28.5585        4.1905      0.000501 
          25.            0.       2.16535       12.5303       12.4477        9.6183         0.000       28.5052        4.1807      0.000725 
          26.            0.       2.16329       12.5299       12.4477        9.5773       359.991       28.4590        4.1710      0.000993 
          27.            0.       2.16119       12.5295       12.4477        9.5375       359.987       28.4093        4.1613      0.001257 
          28.            0.       2.15814       12.5290       12.4477        9.5041       359.964       28.3619        4.1516      0.001559 
          29.            0.       2.15471       12.5284       12.4477        9.4735       359.934       28.3127        4.1419      0.001871 
          30.            0.       2.15102       12.5277       12.4477        9.4452       359.897       28.2603        4.1322      0.002190 
          31.            0.       2.14722       12.5270       12.4477        9.4182       359.862       28.2089        4.1225      0.002512 
          32.            0.       2.14333       12.5263       12.4477        9.3924       359.827       28.1575        4.1128      0.002835 
          33.            0.       2.13934       12.5254       12.4477        9.3678       359.794       28.1060        4.1032      0.003161 
          34.            0.       2.13527       12.5246       12.4477        9.3443       359.761       28.0539        4.0935      0.003487 
          35.            0.       2.13195       12.5237       12.4477        9.3171       359.749       28.0003        4.0838      0.003780 
          36.            0.       2.12883       12.5228       12.4477        9.2893       359.744       27.9459        4.0741      0.004062 
          37.            0.       2.12572       12.5219       12.4477        9.2620       359.743       27.8910        4.0643      0.004342 
          38.            0.       2.12255       12.5209       12.4477        9.2355       359.744       27.8356        4.0546      0.004622 
          39.            0.       2.11945       12.5199       12.4477        9.2099       359.745       27.7929        4.0449      0.004904 
          40.            0.       2.11584       12.5189       12.4477        9.1791       359.733       27.7612        4.0453      0.005301 
          41.            0.       2.11406       12.5179       12.4477        9.1398       359.741       27.7183        4.0356      0.005603 
          42.            0.       2.11271       12.5170       12.4477        9.0968       359.746       27.6708        4.0259      0.005898 
          43.            0.       2.11111       12.5162       12.4477        9.0551       359.750       27.6232        4.0162      0.006201 
          44.            0.       2.10662       12.5154       12.4477        9.0295       359.753       27.5825        4.0066      0.006615 
          45.            0.       2.10386       12.5148       12.4477        8.9988       359.754       27.5089        3.9869      0.006885 
          46.            0.       2.10017       12.5142       12.4477        8.9727       359.727       27.4308        3.9672      0.007189 
          47.            0.       2.09613       12.5136       12.4477        8.9481       359.691       27.3449        3.9475      0.007504 
          48.            0.       2.09191       12.5131       12.4477        8.9240       359.655       27.2571        3.9278      0.007826 
          49.            0.       2.08749       12.5127       12.4477        8.9008       359.621       27.1687        3.9082      0.008158 
          50.            0.       2.08286       12.5123       12.4477        8.8782       359.588       27.0795        3.8885      0.008499 
          51.            0.       2.07804       12.5119       12.4477        8.8565       359.556       26.9901        3.8689      0.008851 
          52.            0.       2.07301       12.5116       12.4477        8.8356       359.525       26.9004        3.8492      0.009212 
          53.            0.       2.06775       12.5114       12.4477        8.8156       359.493       26.8091        3.8296      0.009584 
          54.            0.       2.06338       12.5112       12.4477        8.7903       359.488       26.7162        3.8099      0.009922 
          55.            0.       2.05898       12.5110       12.4477        8.7640       359.491       26.6106        3.7903      0.010258 
          56.            0.       2.05515       12.5108       12.4477        8.7398       359.497       26.4995        3.7605      0.010507 
          57.            0.       2.05034       12.5107       12.4477        8.7147       359.503       26.3995        3.7409      0.010872 
          58.            0.       2.04578       12.5106       12.4477        8.6866       359.510       26.3040        3.7213      0.011250 
          59.            0.       2.04110       12.5105       12.4477        8.6584       359.516       26.2099        3.7016      0.011644 
          60.            0.       2.03616       12.5105       12.4477        8.6309       359.522       26.1162        3.6821      0.012052 
          61.            0.       2.03095       12.5105       12.4477        8.6045       359.528       26.0226        3.6625      0.012475 
          62.            0.       2.02547       12.5105       12.4477        8.5791       359.534       25.9290        3.6429      0.012912 
          63.            0.       2.01970       12.5105       12.4477        8.5550       359.540       25.8356        3.6234      0.013363 
          64.            0.       2.01355       12.5106       12.4477        8.5326       359.544       25.7437        3.6038      0.013833 
          65.            0.       2.00697       12.5107       12.4477        8.5117       359.547       25.6405        3.5843      0.014318 
