%
%
% Run:1     Table:curve             SWAN version:41.20A
%
%       Xp            Yp            Hsig          TPsmoo        RTpeak        Tm_10         Dir           Dspr          Depth         Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [m]           [m]      
%
           0.            0.       1.35537       11.3150       11.1572       10.4792         0.000       31.5057        7.7900      0.000000 
           1.            0.       1.35565       11.3151       11.1572       10.4722         0.000       31.4682        7.7800     -0.000009 
           2.            0.       1.35603       11.3153       11.1572       10.4653         0.000       31.4438        7.7700     -0.000019 
           3.            0.       1.35616       11.3154       11.1572       10.4581         0.000       31.4239        7.7700     -0.000018 
           4.            0.       1.35649       11.3156       11.1572       10.4513         0.000       31.3925        7.7600     -0.000028 
           5.            0.       1.35678       11.3157       11.1572       10.4444         0.000       31.3573        7.7500     -0.000037 
           6.            0.       1.35707       11.3159       11.1572       10.4376         0.000       31.3209        7.7400     -0.000046 
           7.            0.       1.35726       11.3160       11.1572       10.4308         0.000       31.2716        7.7299     -0.000056 
           8.            0.       1.35614       11.3162       11.1572       10.4238         0.000       31.0211        7.7099     -0.000070 
           9.            0.       1.35796       11.3167       11.1572       10.4215         0.000       30.6170        7.5298     -0.000239 
          10.            0.       1.35938       11.3173       11.1572       10.4181         0.000       30.1618        7.3596     -0.000408 
          11.            0.       1.36109       11.3179       11.1572       10.4137         0.000       29.6885        7.1894     -0.000593 
          12.            0.       1.36320       11.3186       11.1572       10.4085         0.000       29.2105        7.0192     -0.000793 
          13.            0.       1.36577       11.3193       11.1572       10.4021         0.000       28.7330        6.8490     -0.001011 
          14.            0.       1.36880       11.3201       11.1572       10.3945         0.000       28.2666        6.6788     -0.001246 
          15.            0.       1.37221       11.3209       11.1572       10.3853       360.000       27.8505        6.5085     -0.001492 
          16.            0.       1.37636       11.3218       11.1572       10.3747       360.000       27.4303        6.3282     -0.001772 
          17.            0.       1.38058       11.3227       11.1572       10.3618       360.000       27.0112        6.1579     -0.002058 
          18.            0.       1.38538       11.3237       11.1572       10.3467       360.000       26.6141        5.9876     -0.002368 
          19.            0.       1.38957       11.3247       11.1572       10.3285       360.000       26.2544        5.8474     -0.002641 
          20.            0.       1.39377       11.3257       11.1572       10.3081       360.000       25.9135        5.7171     -0.002912 
          21.            0.       1.39829       11.3267       11.1572       10.2859       360.000       25.5766        5.5868     -0.003200 
          22.            0.       1.40313       11.3279       11.1572       10.2614       360.000       25.2389        5.4565     -0.003506 
          23.            0.       1.40827       11.3291       11.1572       10.2348       360.000       24.8992        5.3262     -0.003834 
          24.            0.       1.41371       11.3303       11.1572       10.2061       360.000       24.5603        5.1958     -0.004182 
          25.            0.       1.41946       11.3317       11.1572       10.1751       360.000       24.2475        5.0655     -0.004547 
          26.            0.       1.42551       11.3331       11.1572       10.1419       360.000       23.9367        4.9351     -0.004937 
          27.            0.       1.43193       11.3346       11.1572       10.1063       360.000       23.6310        4.8046     -0.005354 
          28.            0.       1.43817       11.3362       11.1572       10.0680         0.000       23.3329        4.6842     -0.005765 
          29.            0.       1.44471       11.3378       11.1572       10.0275         0.000       23.0363        4.5638     -0.006205 
          30.            0.       1.45156       11.3395       11.1572        9.9849         0.000       22.7368        4.4433     -0.006675 
          31.            0.       1.45876       11.3413       11.1572        9.9402         0.000       22.4411        4.3228     -0.007180 
          32.            0.       1.46563       11.3431       11.1572        9.8931         0.000       22.1432        4.2123     -0.007675 
          33.            0.       1.47351       11.3450       11.1572        9.8446         0.000       21.8496        4.0917     -0.008252 
          34.            0.       1.48069       11.3469       11.1572        9.7933         0.000       21.6255        3.9912     -0.008766 
          35.            0.       1.48415       11.3486       11.1572        9.7387         0.000       21.4786        3.9510     -0.008980 
          36.            0.       1.48772       11.3502       11.1572        9.6856         0.000       21.3568        3.9108     -0.009199 
          37.            0.       1.49130       11.3518       11.1572        9.6341         0.000       21.2431        3.8706     -0.009421 
          38.            0.       1.49487       11.3533       11.1572        9.5840         0.000       21.1312        3.8304     -0.009647 
          39.            0.       1.49852       11.3547       11.1572        9.5338         0.000       21.0196        3.7901     -0.009877 
          40.            0.       1.50219       11.3560       11.1572        9.4843         0.000       20.9076        3.7499     -0.010111 
          41.            0.       1.50581       11.3572       11.1572        9.4360         0.000       20.7951        3.7097     -0.010348 
          42.            0.       1.50939       11.3583       11.1572        9.3890         0.000       20.6818        3.6694     -0.010589 
          43.            0.       1.51292       11.3593       11.1572        9.3433         0.000       20.5679        3.6292     -0.010832 
          44.            0.       1.51639       11.3602       11.1572        9.2986         0.001       20.4538        3.5889     -0.011076 
          45.            0.       1.51979       11.3611       11.1572        9.2553         0.001       20.3416        3.5487     -0.011322 
          46.            0.       1.52310       11.3618       11.1572        9.2131         0.001       20.2321        3.5084     -0.011567 
          47.            0.       1.52631       11.3624       11.1572        9.1722         0.001       20.1236        3.4682     -0.011811 
          48.            0.       1.52941       11.3629       11.1572        9.1324         0.001       20.0152        3.4279     -0.012053 
          49.            0.       1.53239       11.3632       11.1572        9.0936         0.002       19.9068        3.3877     -0.012293 
          50.            0.       1.53518       11.3635       11.1572        9.0560         0.003       19.7889        3.3475     -0.012530 
          51.            0.       1.53866       11.3637       11.1572        9.0200         0.004       19.6675        3.2972     -0.012843 
          52.            0.       1.54135       11.3638       11.1572        8.9820         0.008       19.5427        3.2569     -0.013079 
          53.            0.       1.54586       11.3637       11.1572        8.9297         0.013       19.4135        3.2066     -0.013395 
          54.            0.       1.55019       11.3635       11.1572        8.8749         0.015       19.2823        3.1563     -0.013690 
          55.            0.       1.55390       11.3632       11.1572        8.8222         0.014       19.1540        3.1061     -0.013950 
          56.            0.       1.55633       11.3627       11.1572        8.7767       360.000       19.0406        3.0559     -0.014141 
          57.            0.       1.55701       11.3620       11.1572        8.7340       359.974       18.9271        3.0158     -0.014190 
          58.            0.       1.55843       11.3612       11.1572        8.6909       359.953       18.8011        2.9657     -0.014326 
          59.            0.       1.55948       11.3602       11.1572        8.6472       359.936       18.6706        2.9156     -0.014437 
