header
IE0.0    -6.5279       1       1 9.0347  11.2956 12.8      56.14   56.14
OF3.0    -6.445     0.00 9.035      0.00    0.00    0.00    0.00    0.00
OF4.0    -6.4174    0.00 9.0351     0.00    0.00    0.00    0.00    0.00
OF9.0    -6.2794    0.00 9.0356     0.00    0.00    0.00    0.00    0.00
OF10.0   -6.2518    0.00 9.0357     0.00    0.00    0.00    0.00    0.00
OF15.0   -6.1138    0.00 9.0362     0.00    0.00    0.00    0.00    0.00
OF16.0   -6.0862    0.00 9.0363     0.00    0.00    0.00    0.00    0.00
OF22.0   -5.9205    0.00 9.0369     0.00    0.00    0.00    0.00    0.00
OF27.0   -5.7825    0.00 9.0374     0.00    0.00    0.00    0.00    0.00
OF28.0   -5.7549    0.00 9.0375     0.00    0.00    0.00    0.00    0.00
OF39.0   -5.4513    0.00 9.0386     0.00    0.00    0.00    0.00    0.00
OF40.0   -5.4236    0.00 9.0387     0.00    0.00    0.00    0.00    0.00
OF51.0   -5.12      0.00 9.0398     0.00    0.00    0.00    0.00    0.00
OF52.0   -5.0924    0.00 9.0398     0.00    0.00    0.00    0.00    0.00
OF61.0   -4.8472    0.00 9.0407     0.00    0.00    0.00    0.00    0.00
OF62.0   -4.8399    0.00 9.0409     0.00    0.00    0.00    0.00    0.00
OF72.2   -4.7648    0.00 9.035      0.00    0.00    0.00    0.00    0.00
OF75.5   -4.7406    0.00 9.0357     0.00    0.00    0.00    0.00    0.00
OF78.7   -4.7155    0.00 9.0364     0.00    0.00    0.00    0.00    0.00
OF82.0   -4.6838    0.00 9.0371     0.00    0.00    0.00    0.00    0.00
OF85.3   -4.6518    0.00 9.038      0.00    0.00    0.00    0.00    0.00
OF88.6   -4.6198    0.00 9.0389     0.00    0.00    0.00    0.00    0.00
OF91.9   -4.5878    0.00 9.0399     0.00    0.00    0.00    0.00    0.00
OF95.1   -4.5558    0.00 9.0409     0.00    0.00    0.00    0.00    0.00
OF98.4   -4.5238    0.00 9.0419     0.00    0.00    0.00    0.00    0.00
OF101.7  -4.4918    0.00 9.043      0.00    0.00    0.00    0.00    0.00
OF105.0  -4.4598    0.00 9.044      0.00    0.00    0.00    0.00    0.00
OF108.3  -4.4278    0.00 9.0451     0.00    0.00    0.00    0.00    0.00
OF111.5  -4.3958    0.00 9.0462     0.00    0.00    0.00    0.00    0.00
OF114.8  -4.3638    0.00 9.0471     0.00    0.00    0.00    0.00    0.00
OF118.1  -4.3318    0.00 9.0481     0.00    0.00    0.00    0.00    0.00
OF121.4  -4.2998    0.00 9.049      0.00    0.00    0.00    0.00    0.00
OF124.7  -4.2678    0.00 9.0499     0.00    0.00    0.00    0.00    0.00
OF128.0  -4.2358    0.00 9.0508     0.00    0.00    0.00    0.00    0.00
OF131.2  -4.2039    0.00 9.0521     0.00    0.00    0.00    0.00    0.00
OF134.5  -4.1718    0.00 9.0531     0.00    0.00    0.00    0.00    0.00
OF137.8  -4.1399    0.00 9.0541     0.00    0.00    0.00    0.00    0.00
OF141.1  -4.1079    0.00 9.0551     0.00    0.00    0.00    0.00    0.00
OF144.4  -4.0759    0.00 9.0564     0.00    0.00    0.00    0.00    0.00
OF147.6  -4.0385    0.00 9.0573     0.00    0.00    0.00    0.00    0.00
OF150.9  -3.9707    0.00 9.0583     0.00    0.00    0.00    0.00    0.00
OF154.2  -3.9018    0.00 9.0594     0.00    0.00    0.00    0.00    0.00
OF157.5  -3.833     0.00 9.0604     0.00    0.00    0.00    0.00    0.00
OF160.8  -3.7642    0.00 9.0615     0.00    0.00    0.00    0.00    0.00
OF164.0  -3.6953    0.00 9.0626     0.00    0.00    0.00    0.00    0.00
OF167.3  -3.6265    0.00 9.0638     0.00    0.00    0.00    0.00    0.00
OF170.6  -3.5577    0.00 9.065      0.00    0.00    0.00    0.00    0.00
OF173.9  -3.4888    0.00 9.0662     0.00    0.00    0.00    0.00    0.00
OF177.2  -3.42      0.00 9.0673     0.00    0.00    0.00    0.00    0.00
OF180.4  -3.3511    0.00 9.0684     0.00    0.00    0.00    0.00    0.00
OF183.7  -3.2823    0.00 9.0692     0.00    0.00    0.00    0.00    0.00
OF187.0  -3.2135    0.00 9.0704     0.00    0.00    0.00    0.00    0.00
OF190.3  -3.1447    0.00 9.0717     0.00    0.00    0.00    0.00    0.00
OF193.6  -3.0758    0.00 9.0729     0.00    0.00    0.00    0.00    0.00
OF196.8  -3.007     0.00 9.0743     0.00    0.00    0.00    0.00    0.00
OF200.1  -2.9381    0.00 9.0757     0.00    0.00    0.00    0.00    0.00
OF203.4  -2.8693    0.00 9.0771     0.00    0.00    0.00    0.00    0.00
OF206.7  -2.8005    0.00 9.0786     0.00    0.00    0.00    0.00    0.00
OF210.0  -2.7317    0.00 9.0801     0.00    0.00    0.00    0.00    0.00
OF213.3  -2.6628    0.00 9.0817     0.00    0.00    0.00    0.00    0.00
OF216.5  -2.5925    0.00 9.083      0.00    0.00    0.00    0.00    0.00
OF219.8  -2.5186    0.00 9.0848     0.00    0.00    0.00    0.00    0.00
OF223.1  -2.4448    0.00 9.0865     0.00    0.00    0.00    0.00    0.00
OF226.4  -2.371     0.00 9.0883     0.00    0.00    0.00    0.00    0.00
OF229.7  -2.2971    0.00 9.0898     0.00    0.00    0.00    0.00    0.00
OF232.9  -2.2571    0.00 9.092      0.00    0.00    0.00    0.00    0.00
OF236.2  -2.2222    0.00 9.0941     0.00    0.00    0.00    0.00    0.00
OF239.5  -2.1874    0.00 9.0963     0.00    0.00    0.00    0.00    0.00
OF242.8  -2.1525    0.00 9.0984     0.00    0.00    0.00    0.00    0.00
OF246.1  -2.1099    0.00 9.1005     0.00    0.00    0.00    0.00    0.00
OF249.3  -2.0633    0.00 9.1022     0.00    0.00    0.00    0.00    0.00
OF252.6  -2.0166    0.00 9.1042     0.00    0.00    0.00    0.00    0.00
OF255.9  -1.9699    0.00 9.1058     0.00    0.00    0.00    0.00    0.00
OF259.2  -1.9232    0.00 9.1078     0.00    0.00    0.00    0.00    0.00
OF262.5  -1.8766    0.00 9.1097     0.00    0.00    0.00    0.00    0.00
OF265.7  -1.8299    0.00 9.1113     0.00    0.00    0.00    0.00    0.00
OF269.0  -1.7833    0.00 9.1132     0.00    0.00    0.00    0.00    0.00
OF272.3  -1.7366    0.00 9.1148     0.00    0.00    0.00    0.00    0.00
OF275.6  -1.6899    0.00 9.1167     0.00    0.00    0.00    0.00    0.00
OF278.9  -1.6432    0.00 9.1183     0.00    0.00    0.00    0.00    0.00
OF282.2  -1.5965    0.00 9.1203     0.00    0.00    0.00    0.00    0.00
OF285.4  -1.5499    0.00 9.1223     0.00    0.00    0.00    0.00    0.00
OF288.7  -1.5032    0.00 9.1239     0.00    0.00    0.00    0.00    0.00
OF292.0  -1.4565    0.00 9.1259     0.00    0.00    0.00    0.00    0.00
OF295.3  -1.4099    0.00 9.1276     0.00    0.00    0.00    0.00    0.00
OF298.6  -1.3632    0.00 9.1295     0.00    0.00    0.00    0.00    0.00
OF301.8  -1.3165    0.00 9.1315     0.00    0.00    0.00    0.00    0.00
OF305.1  -1.2694    0.00 9.1331     0.00    0.00    0.00    0.00    0.00
OF308.4  -1.2051    0.00 9.1348     0.00    0.00    0.00    0.00    0.00
OF311.7  -1.1384    0.00 9.1364     0.00    0.00    0.00    0.00    0.00
OF315.0  -1.0716    0.00 9.1381     0.00    0.00    0.00    0.00    0.00
OF318.2  -1.005     0.00 9.1398     0.00    0.00    0.00    0.00    0.00
OF321.5  -0.9382    0.00 9.1415     0.00    0.00    0.00    0.00    0.00
OF324.8  -0.8715    0.00 9.1432     0.00    0.00    0.00    0.00    0.00
OF328.1  -0.8047    0.00 9.1449     0.00    0.00    0.00    0.00    0.00
OF331.4  -0.7380    0.00 9.1467     0.00    0.00    0.00    0.00    0.00
OF334.6  -0.6713    0.00 9.1485     0.00    0.00    0.00    0.00    0.00
OF337.9  -0.6046    0.00 9.1503     0.00    0.00    0.00    0.00    0.00
OF341.2  -0.5379    0.00 9.1522     0.00    0.00    0.00    0.00    0.00
OF344.5  -0.4712    0.00 9.1541     0.00    0.00    0.00    0.00    0.00
OF347.8  -0.4045    0.00 9.156      0.00    0.00    0.00    0.00    0.00
OF351.0  -0.3378    0.00 9.158      0.00    0.00    0.00    0.00    0.00
OF354.3  -0.2710    0.00 9.1599     0.00    0.00    0.00    0.00    0.00
OF357.6  -0.2043    0.00 9.162      0.00    0.00    0.00    0.00    0.00
