header
IE0.0    -5.5998       1       1 9.0102  12.0981 13.8098   56.14   56.14
OF3.3    -5.5486    0.00 9.0108     0.00    0.00    0.00    0.00    0.00
OF6.6    -5.4974    0.00 9.0111     0.00    0.00    0.00    0.00    0.00
OF9.8    -5.4462    0.00 9.0117     0.00    0.00    0.00    0.00    0.00
OF13.1   -5.395     0.00 9.0121     0.00    0.00    0.00    0.00    0.00
OF16.4   -5.3438    0.00 9.0129     0.00    0.00    0.00    0.00    0.00
OF19.7   -5.2926    0.00 9.0134     0.00    0.00    0.00    0.00    0.00
OF23.0   -5.2414    0.00 9.0139     0.00    0.00    0.00    0.00    0.00
OF26.2   -5.1902    0.00 9.0148     0.00    0.00    0.00    0.00    0.00
OF29.5   -5.139     0.00 9.0154     0.00    0.00    0.00    0.00    0.00
OF32.8   -5.0878    0.00 9.0163     0.00    0.00    0.00    0.00    0.00
OF36.1   -5.0442    0.00 9.0169     0.00    0.00    0.00    0.00    0.00
OF39.4   -5.0147    0.00 9.0179     0.00    0.00    0.00    0.00    0.00
OF42.7   -4.9852    0.00 9.0192     0.00    0.00    0.00    0.00    0.00
OF45.9   -4.9556    0.00 9.0202     0.00    0.00    0.00    0.00    0.00
OF49.2   -4.9261    0.00 9.0213     0.00    0.00    0.00    0.00    0.00
OF52.5   -4.8966    0.00 9.0223     0.00    0.00    0.00    0.00    0.00
OF55.8   -4.866     0.00 9.0234     0.00    0.00    0.00    0.00    0.00
OF59.1   -4.8272    0.00 9.0245     0.00    0.00    0.00    0.00    0.00
OF62.3   -4.788     0.00 9.0256     0.00    0.00    0.00    0.00    0.00
OF65.6   -4.7488    0.00 9.0264     0.00    0.00    0.00    0.00    0.00
OF68.9   -4.7097    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF72.2   -4.6705    0.00 9.0288     0.00    0.00    0.00    0.00    0.00
OF75.5   -4.6313    0.00 9.0301     0.00    0.00    0.00    0.00    0.00
OF78.7   -4.5921    0.00 9.0313     0.00    0.00    0.00    0.00    0.00
OF82.0   -4.5529    0.00 9.0323     0.00    0.00    0.00    0.00    0.00
OF85.3   -4.5137    0.00 9.0336     0.00    0.00    0.00    0.00    0.00
OF88.6   -4.4746    0.00 9.0348     0.00    0.00    0.00    0.00    0.00
OF91.9   -4.4354    0.00 9.0361     0.00    0.00    0.00    0.00    0.00
OF95.1   -4.3962    0.00 9.0376     0.00    0.00    0.00    0.00    0.00
OF98.4   -4.357     0.00 9.0387     0.00    0.00    0.00    0.00    0.00
OF101.7  -4.3178    0.00 9.0401     0.00    0.00    0.00    0.00    0.00
OF105.0  -4.2786    0.00 9.0416     0.00    0.00    0.00    0.00    0.00
OF108.3  -4.2395    0.00 9.0437     0.00    0.00    0.00    0.00    0.00
OF111.5  -4.2003    0.00 9.0459     0.00    0.00    0.00    0.00    0.00
OF114.8  -4.1611    0.00 9.0473     0.00    0.00    0.00    0.00    0.00
OF118.1  -4.1327    0.00 9.0494     0.00    0.00    0.00    0.00    0.00
OF121.4  -4.1267    0.00 9.0512     0.00    0.00    0.00    0.00    0.00
OF124.7  -4.1206    0.00 9.0532     0.00    0.00    0.00    0.00    0.00
OF128.0  -4.1146    0.00 9.0552     0.00    0.00    0.00    0.00    0.00
OF131.2  -4.1085    0.00 9.0572     0.00    0.00    0.00    0.00    0.00
OF134.5  -4.1025    0.00 9.0591     0.00    0.00    0.00    0.00    0.00
OF137.8  -4.0964    0.00 9.0607     0.00    0.00    0.00    0.00    0.00
OF141.1  -4.0904    0.00 9.0626     0.00    0.00    0.00    0.00    0.00
OF144.4  -4.0843    0.00 9.0642     0.00    0.00    0.00    0.00    0.00
OF147.6  -4.0783    0.00 9.0658     0.00    0.00    0.00    0.00    0.00
OF150.9  -4.0722    0.00 9.0673     0.00    0.00    0.00    0.00    0.00
OF154.2  -4.0662    0.00 9.0689     0.00    0.00    0.00    0.00    0.00
OF157.5  -4.0601    0.00 9.0701     0.00    0.00    0.00    0.00    0.00
OF160.8  -4.0541    0.00 9.0716     0.00    0.00    0.00    0.00    0.00
OF164.0  -4.048     0.00 9.0731     0.00    0.00    0.00    0.00    0.00
OF167.3  -4.042     0.00 9.0746     0.00    0.00    0.00    0.00    0.00
OF170.6  -4.0359    0.00 9.0761     0.00    0.00    0.00    0.00    0.00
OF173.9  -4.0299    0.00 9.0772     0.00    0.00    0.00    0.00    0.00
OF177.2  -4.0238    0.00 9.0787     0.00    0.00    0.00    0.00    0.00
OF180.4  -4.0178    0.00 9.0802     0.00    0.00    0.00    0.00    0.00
OF183.7  -4.0117    0.00 9.0816     0.00    0.00    0.00    0.00    0.00
OF187.0  -4.0057    0.00 9.0831     0.00    0.00    0.00    0.00    0.00
OF190.3  -4.007     0.00 9.0845     0.00    0.00    0.00    0.00    0.00
OF193.6  -3.987     0.00 9.0856     0.00    0.00    0.00    0.00    0.00
OF196.8  -3.9025    0.00 9.0864     0.00    0.00    0.00    0.00    0.00
OF200.1  -3.8179    0.00 9.0869     0.00    0.00    0.00    0.00    0.00
OF203.4  -3.7334    0.00 9.0875     0.00    0.00    0.00    0.00    0.00
OF206.7  -3.6488    0.00 9.0884     0.00    0.00    0.00    0.00    0.00
OF210.0  -3.5643    0.00 9.0891     0.00    0.00    0.00    0.00    0.00
OF213.3  -3.4797    0.00 9.0901     0.00    0.00    0.00    0.00    0.00
OF216.5  -3.3952    0.00 9.0909     0.00    0.00    0.00    0.00    0.00
OF219.8  -3.3106    0.00 9.092      0.00    0.00    0.00    0.00    0.00
OF223.1  -3.2261    0.00 9.0929     0.00    0.00    0.00    0.00    0.00
OF226.4  -3.1415    0.00 9.0938     0.00    0.00    0.00    0.00    0.00
OF229.7  -3.057     0.00 9.0951     0.00    0.00    0.00    0.00    0.00
OF232.9  -2.9724    0.00 9.0961     0.00    0.00    0.00    0.00    0.00
OF236.2  -2.8879    0.00 9.0975     0.00    0.00    0.00    0.00    0.00
OF239.5  -2.8033    0.00 9.0986     0.00    0.00    0.00    0.00    0.00
OF242.8  -2.7188    0.00 9.1        0.00    0.00    0.00    0.00    0.00
OF246.1  -2.6342    0.00 9.1011     0.00    0.00    0.00    0.00    0.00
OF249.3  -2.5497    0.00 9.1023     0.00    0.00    0.00    0.00    0.00
OF252.6  -2.4651    0.00 9.1039     0.00    0.00    0.00    0.00    0.00
OF255.9  -2.3806    0.00 9.1051     0.00    0.00    0.00    0.00    0.00
OF259.2  -2.296     0.00 9.1068     0.00    0.00    0.00    0.00    0.00
OF262.5  -2.2083    0.00 9.1081     0.00    0.00    0.00    0.00    0.00
OF265.7  -2.1076    0.00 9.1096     0.00    0.00    0.00    0.00    0.00
OF269.0  -2.007     0.00 9.111      0.00    0.00    0.00    0.00    0.00
OF272.3  -1.9471    0.00 9.113      0.00    0.00    0.00    0.00    0.00
OF275.6  -1.897     0.00 9.1149     0.00    0.00    0.00    0.00    0.00
OF278.9  -1.8469    0.00 9.1172     0.00    0.00    0.00    0.00    0.00
OF282.2  -1.7968    0.00 9.1192     0.00    0.00    0.00    0.00    0.00
OF285.4  -1.7466    0.00 9.1215     0.00    0.00    0.00    0.00    0.00
OF288.7  -1.6965    0.00 9.1235     0.00    0.00    0.00    0.00    0.00
OF292.0  -1.6464    0.00 9.1258     0.00    0.00    0.00    0.00    0.00
OF295.3  -1.5963    0.00 9.1277     0.00    0.00    0.00    0.00    0.00
OF298.6  -1.5429    0.00 9.13       0.00    0.00    0.00    0.00    0.00
OF301.8  -1.4886    0.00 9.1318     0.00    0.00    0.00    0.00    0.00
OF305.1  -1.4343    0.00 9.1337     0.00    0.00    0.00    0.00    0.00
OF308.4  -1.38      0.00 9.1359     0.00    0.00    0.00    0.00    0.00
OF311.7  -1.3256    0.00 9.1377     0.00    0.00    0.00    0.00    0.00
OF315.0  -1.2713    0.00 9.1396     0.00    0.00    0.00    0.00    0.00
OF318.2  -1.2169    0.00 9.1419     0.00    0.00    0.00    0.00    0.00
OF321.5  -1.1626    0.00 9.1437     0.00    0.00    0.00    0.00    0.00
OF324.8  -1.1083    0.00 9.1456     0.00    0.00    0.00    0.00    0.00
OF328.1  -1.054     0.00 9.1479     0.00    0.00    0.00    0.00    0.00
OF331.4  -0.9996    0.00 9.1498     0.00    0.00    0.00    0.00    0.00
