header
IE0.0    -1.3558       1       1 9.4014  3.2611  7.945     56.14   56.14
OF1.0    -1.3444    0.00 9.4014     0.00    0.00    0.00    0.00    0.00
OF2.0    -1.3329    0.00 9.4015     0.00    0.00    0.00    0.00    0.00
OF3.0    -1.3215    0.00 9.4015     0.00    0.00    0.00    0.00    0.00
OF4.0    -1.3101    0.00 9.4015     0.00    0.00    0.00    0.00    0.00
OF5.0    -1.2986    0.00 9.4016     0.00    0.00    0.00    0.00    0.00
OF6.0    -1.2872    0.00 9.4016     0.00    0.00    0.00    0.00    0.00
OF7.0    -1.2758    0.00 9.4017     0.00    0.00    0.00    0.00    0.00
OF8.0    -1.2643    0.00 9.4017     0.00    0.00    0.00    0.00    0.00
OF9.0    -1.2529    0.00 9.4017     0.00    0.00    0.00    0.00    0.00
OF10.0   -1.2415    0.00 9.4018     0.00    0.00    0.00    0.00    0.00
OF11.0   -1.2301    0.00 9.4018     0.00    0.00    0.00    0.00    0.00
OF12.0   -1.2186    0.00 9.4019     0.00    0.00    0.00    0.00    0.00
OF13.0   -1.2072    0.00 9.4019     0.00    0.00    0.00    0.00    0.00
OF14.0   -1.1957    0.00 9.4019     0.00    0.00    0.00    0.00    0.00
OF15.0   -1.1843    0.00 9.402      0.00    0.00    0.00    0.00    0.00
OF16.0   -1.1729    0.00 9.402      0.00    0.00    0.00    0.00    0.00
OF17.0   -1.1614    0.00 9.402      0.00    0.00    0.00    0.00    0.00
OF18.0   -1.15      0.00 9.4021     0.00    0.00    0.00    0.00    0.00
OF19.0   -1.1385    0.00 9.4021     0.00    0.00    0.00    0.00    0.00
OF20.0   -1.1271    0.00 9.4022     0.00    0.00    0.00    0.00    0.00
OF21.0   -1.1157    0.00 9.4022     0.00    0.00    0.00    0.00    0.00
OF22.0   -1.1042    0.00 9.4022     0.00    0.00    0.00    0.00    0.00
OF23.0   -1.0928    0.00 9.4023     0.00    0.00    0.00    0.00    0.00
OF24.0   -1.0814    0.00 9.4023     0.00    0.00    0.00    0.00    0.00
OF25.0   -1.07      0.00 9.4024     0.00    0.00    0.00    0.00    0.00
OF26.0   -1.0585    0.00 9.4024     0.00    0.00    0.00    0.00    0.00
OF27.0   -1.0471    0.00 9.4024     0.00    0.00    0.00    0.00    0.00
OF28.0   -1.0357    0.00 9.4025     0.00    0.00    0.00    0.00    0.00
OF29.0   -1.0242    0.00 9.4025     0.00    0.00    0.00    0.00    0.00
OF30.0   -1.0128    0.00 9.4025     0.00    0.00    0.00    0.00    0.00
OF31.0   -1.0013    0.00 9.4026     0.00    0.00    0.00    0.00    0.00
OF32.0   -0.9899    0.00 9.4026     0.00    0.00    0.00    0.00    0.00
OF33.0   -0.9785    0.00 9.4027     0.00    0.00    0.00    0.00    0.00
OF34.0   -0.9670    0.00 9.4027     0.00    0.00    0.00    0.00    0.00
OF35.0   -0.9556    0.00 9.4027     0.00    0.00    0.00    0.00    0.00
OF36.0   -0.9441    0.00 9.4028     0.00    0.00    0.00    0.00    0.00
OF37.0   -0.9327    0.00 9.4028     0.00    0.00    0.00    0.00    0.00
OF38.0   -0.9213    0.00 9.4029     0.00    0.00    0.00    0.00    0.00
OF39.0   -0.9098    0.00 9.4029     0.00    0.00    0.00    0.00    0.00
OF40.0   -0.8984    0.00 9.4029     0.00    0.00    0.00    0.00    0.00
OF41.0   -0.8869    0.00 9.403      0.00    0.00    0.00    0.00    0.00
OF42.0   -0.8755    0.00 9.403      0.00    0.00    0.00    0.00    0.00
OF43.0   -0.8640    0.00 9.403      0.00    0.00    0.00    0.00    0.00
OF44.0   -0.8526    0.00 9.4031     0.00    0.00    0.00    0.00    0.00
OF45.0   -0.8412    0.00 9.4031     0.00    0.00    0.00    0.00    0.00
OF46.0   -0.8297    0.00 9.4032     0.00    0.00    0.00    0.00    0.00
OF47.0   -0.8183    0.00 9.4032     0.00    0.00    0.00    0.00    0.00
OF48.0   -0.8069    0.00 9.4032     0.00    0.00    0.00    0.00    0.00
OF49.0   -0.7955    0.00 9.4033     0.00    0.00    0.00    0.00    0.00
OF50.0   -0.7840    0.00 9.4033     0.00    0.00    0.00    0.00    0.00
OF51.0   -0.7726    0.00 9.4034     0.00    0.00    0.00    0.00    0.00
OF52.0   -0.7612    0.00 9.4034     0.00    0.00    0.00    0.00    0.00
OF53.0   -0.7497    0.00 9.4034     0.00    0.00    0.00    0.00    0.00
OF54.0   -0.7383    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF55.0   -0.7268    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF56.0   -0.7082    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF57.0   -0.6595    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF58.0   -0.6105    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF59.0   -0.5617    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF60.0   -0.5127    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF61.0   -0.4640    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF62.0   -0.4153    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF63.0   -0.3662    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF64.0   -0.3175    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF65.0   -0.2685    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF66.0   -0.2198    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF67.0   -0.1710    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF68.0   -0.1220    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF69.0   -0.0733    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF70.0   -0.0243    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF73.5   0.56759    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF81.0   -0.3510    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF90.0   -0.0557    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF99.0   0.14108    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF106.5  0.69882    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF113.5  1.0597     0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF121.0  2.7986     0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF128.0  4.4062     0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF134.5  5.6201     0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF141.1  8.3524     0.00 9.5085     0.00    0.00    0.00    0.00    0.00
IF144.4  8.2178     0.00 9.6287     0.00    0.00    0.00    0.00    0.00
IF147.6  8.0833     0.00 9.6413     0.00    0.00    0.00    0.00    0.00
IF150.9  8.0252     0.00 9.637      0.00    0.00    0.00    0.00    0.00
IF154.2  7.9945     0.00 9.641      0.00    0.00    0.00    0.00    0.00
IF157.5  7.9637     0.00 9.6452     0.00    0.00    0.00    0.00    0.00
IF160.8  7.9907     0.00 9.6482     0.00    0.00    0.00    0.00    0.00
IF164.0  8.0676     0.00 9.6508     0.00    0.00    0.00    0.00    0.00
IF167.3  8.1068     0.00 9.6535     0.00    0.00    0.00    0.00    0.00
IF170.6  8.0903     0.00 9.6568     0.00    0.00    0.00    0.00    0.00
IF173.9  8.1164     0.00 9.6589     0.00    0.00    0.00    0.00    0.00
IF177.2  8.201      0.00 9.6606     0.00    0.00    0.00    0.00    0.00
IF180.4  8.2855     0.00 9.6624     0.00    0.00    0.00    0.00    0.00
IF183.7  8.3701     0.00 9.6647     0.00    0.00    0.00    0.00    0.00
IF187.0  8.4543     0.00 9.6677     0.00    0.00    0.00    0.00    0.00
IF190.3  8.5363     0.00 9.6707     0.00    0.00    0.00    0.00    0.00
IF193.6  8.6183     0.00 9.6743     0.00    0.00    0.00    0.00    0.00
IF196.8  8.7003     0.00 9.6779     0.00    0.00    0.00    0.00    0.00
IF200.1  8.6079     0.00 9.6826     0.00    0.00    0.00    0.00    0.00
IF203.4  8.6199     0.00 9.6846     0.00    0.00    0.00    0.00    0.00
IF206.7  8.6319     0.00 9.6859     0.00    0.00    0.00    0.00    0.00
IF210.0  8.6232     0.00 9.6874     0.00    0.00    0.00    0.00    0.00
IF213.3  8.5892     0.00 9.6885     0.00    0.00    0.00    0.00    0.00
IF216.5  8.5552     0.00 9.6893     0.00    0.00    0.00    0.00    0.00
IF219.8  8.6592     0.00 9.6891     0.00    0.00    0.00    0.00    0.00
IF223.1  8.8745     0.00 9.6889     0.00    0.00    0.00    0.00    0.00
IF226.4  9.0144     0.00 9.6921     0.00    0.00    0.00    0.00    0.00
IF229.7  8.9482     0.00 9.6972     0.00    0.00    0.00    0.00    0.00
IF232.9  9.0344     0.00 9.6991     0.00    0.00    0.00    0.00    0.00
IF236.2  9.1773     0.00 9.7026     0.00    0.00    0.00    0.00    0.00
