header
IE0.0    -16.238       1       1 9.3261  7.1254  11.615    56.14   56.14
OF1.0    -16.229    0.00 9.3261     0.00    0.00    0.00    0.00    0.00
OF2.0    -16.221    0.00 9.3261     0.00    0.00    0.00    0.00    0.00
OF3.0    -16.212    0.00 9.326      0.00    0.00    0.00    0.00    0.00
OF4.0    -16.203    0.00 9.326      0.00    0.00    0.00    0.00    0.00
OF5.0    -16.195    0.00 9.326      0.00    0.00    0.00    0.00    0.00
OF6.0    -16.186    0.00 9.326      0.00    0.00    0.00    0.00    0.00
OF7.0    -16.177    0.00 9.326      0.00    0.00    0.00    0.00    0.00
OF8.0    -16.169    0.00 9.326      0.00    0.00    0.00    0.00    0.00
OF9.0    -16.160    0.00 9.326      0.00    0.00    0.00    0.00    0.00
OF10.0   -16.151    0.00 9.326      0.00    0.00    0.00    0.00    0.00
OF11.0   -16.142    0.00 9.326      0.00    0.00    0.00    0.00    0.00
OF12.0   -16.134    0.00 9.3259     0.00    0.00    0.00    0.00    0.00
OF13.0   -16.125    0.00 9.3259     0.00    0.00    0.00    0.00    0.00
OF14.0   -16.116    0.00 9.3259     0.00    0.00    0.00    0.00    0.00
OF15.0   -16.108    0.00 9.3259     0.00    0.00    0.00    0.00    0.00
OF16.0   -16.099    0.00 9.3259     0.00    0.00    0.00    0.00    0.00
OF17.0   -16.090    0.00 9.3259     0.00    0.00    0.00    0.00    0.00
OF18.0   -16.082    0.00 9.3259     0.00    0.00    0.00    0.00    0.00
OF19.0   -16.073    0.00 9.3259     0.00    0.00    0.00    0.00    0.00
OF20.0   -16.064    0.00 9.3259     0.00    0.00    0.00    0.00    0.00
OF21.0   -16.055    0.00 9.3258     0.00    0.00    0.00    0.00    0.00
OF22.0   -16.047    0.00 9.3258     0.00    0.00    0.00    0.00    0.00
OF23.0   -16.038    0.00 9.3258     0.00    0.00    0.00    0.00    0.00
OF24.0   -16.029    0.00 9.3258     0.00    0.00    0.00    0.00    0.00
OF25.0   -16.021    0.00 9.3258     0.00    0.00    0.00    0.00    0.00
OF26.0   -15.998    0.00 9.3258     0.00    0.00    0.00    0.00    0.00
OF27.0   -15.826    0.00 9.3258     0.00    0.00    0.00    0.00    0.00
OF28.0   -15.655    0.00 9.3257     0.00    0.00    0.00    0.00    0.00
OF29.0   -15.483    0.00 9.3257     0.00    0.00    0.00    0.00    0.00
OF30.0   -15.312    0.00 9.3257     0.00    0.00    0.00    0.00    0.00
OF31.0   -15.140    0.00 9.3256     0.00    0.00    0.00    0.00    0.00
OF32.0   -14.968    0.00 9.3256     0.00    0.00    0.00    0.00    0.00
OF33.0   -14.797    0.00 9.3256     0.00    0.00    0.00    0.00    0.00
OF34.0   -14.625    0.00 9.3255     0.00    0.00    0.00    0.00    0.00
OF35.0   -14.454    0.00 9.3255     0.00    0.00    0.00    0.00    0.00
