header
IE0.0    -27.459       1       1 9.0928  22.964  13.1891   56.14   56.14
OF3.0    -27.343    0.00 9.0931     0.00    0.00    0.00    0.00    0.00
OF4.0    -27.304    0.00 9.0932     0.00    0.00    0.00    0.00    0.00
OF9.0    -27.110    0.00 9.0936     0.00    0.00    0.00    0.00    0.00
OF10.0   -27.071    0.00 9.0937     0.00    0.00    0.00    0.00    0.00
OF15.0   -26.877    0.00 9.0942     0.00    0.00    0.00    0.00    0.00
OF16.0   -26.838    0.00 9.0943     0.00    0.00    0.00    0.00    0.00
OF21.0   -26.644    0.00 9.0947     0.00    0.00    0.00    0.00    0.00
OF22.0   -26.605    0.00 9.0948     0.00    0.00    0.00    0.00    0.00
OF27.0   -26.357    0.00 9.0958     0.00    0.00    0.00    0.00    0.00
OF28.0   -26.301    0.00 9.0961     0.00    0.00    0.00    0.00    0.00
OF33.0   -26.019    0.00 9.0974     0.00    0.00    0.00    0.00    0.00
OF34.0   -25.962    0.00 9.0976     0.00    0.00    0.00    0.00    0.00
OF39.0   -25.680    0.00 9.0989     0.00    0.00    0.00    0.00    0.00
OF40.0   -25.624    0.00 9.0992     0.00    0.00    0.00    0.00    0.00
OF45.0   -25.341    0.00 9.1005     0.00    0.00    0.00    0.00    0.00
OF46.0   -25.285    0.00 9.1007     0.00    0.00    0.00    0.00    0.00
OF51.0   -25.003    0.00 9.102      0.00    0.00    0.00    0.00    0.00
OF52.0   -24.946    0.00 9.1023     0.00    0.00    0.00    0.00    0.00
OF57.0   -24.664    0.00 9.1036     0.00    0.00    0.00    0.00    0.00
OF58.0   -24.608    0.00 9.1039     0.00    0.00    0.00    0.00    0.00
OF63.0   -24.326    0.00 9.1052     0.00    0.00    0.00    0.00    0.00
OF64.0   -24.269    0.00 9.1054     0.00    0.00    0.00    0.00    0.00
OF69.0   -23.987    0.00 9.1067     0.00    0.00    0.00    0.00    0.00
OF70.0   -23.931    0.00 9.107      0.00    0.00    0.00    0.00    0.00
OF75.0   -23.649    0.00 9.1083     0.00    0.00    0.00    0.00    0.00
OF76.0   -23.592    0.00 9.1086     0.00    0.00    0.00    0.00    0.00
OF81.0   -23.310    0.00 9.1099     0.00    0.00    0.00    0.00    0.00
OF82.0   -23.253    0.00 9.1101     0.00    0.00    0.00    0.00    0.00
OF87.0   -22.971    0.00 9.1114     0.00    0.00    0.00    0.00    0.00
OF88.0   -22.915    0.00 9.1117     0.00    0.00    0.00    0.00    0.00
OF93.0   -22.633    0.00 9.113      0.00    0.00    0.00    0.00    0.00
OF94.0   -22.576    0.00 9.1133     0.00    0.00    0.00    0.00    0.00
OF193.6  -23.51     0.00 9.0929     0.00    0.00    0.00    0.00    0.00
OF196.8  -23.548    0.00 9.0935     0.00    0.00    0.00    0.00    0.00
OF200.1  -23.565    0.00 9.0939     0.00    0.00    0.00    0.00    0.00
OF203.4  -23.534    0.00 9.0941     0.00    0.00    0.00    0.00    0.00
OF206.7  -23.503    0.00 9.0945     0.00    0.00    0.00    0.00    0.00
OF210.0  -23.472    0.00 9.0947     0.00    0.00    0.00    0.00    0.00
OF213.3  -23.440    0.00 9.0949     0.00    0.00    0.00    0.00    0.00
OF216.5  -23.409    0.00 9.0952     0.00    0.00    0.00    0.00    0.00
OF219.8  -23.378    0.00 9.0954     0.00    0.00    0.00    0.00    0.00
OF223.1  -23.347    0.00 9.0956     0.00    0.00    0.00    0.00    0.00
OF226.4  -23.316    0.00 9.0958     0.00    0.00    0.00    0.00    0.00
OF229.7  -23.285    0.00 9.0961     0.00    0.00    0.00    0.00    0.00
OF232.9  -23.237    0.00 9.0961     0.00    0.00    0.00    0.00    0.00
OF236.2  -23.170    0.00 9.0961     0.00    0.00    0.00    0.00    0.00
OF239.5  -23.103    0.00 9.0962     0.00    0.00    0.00    0.00    0.00
OF242.8  -23.037    0.00 9.0962     0.00    0.00    0.00    0.00    0.00
OF246.1  -22.970    0.00 9.0963     0.00    0.00    0.00    0.00    0.00
OF249.3  -22.904    0.00 9.0964     0.00    0.00    0.00    0.00    0.00
OF252.6  -22.837    0.00 9.0964     0.00    0.00    0.00    0.00    0.00
OF255.9  -22.770    0.00 9.0965     0.00    0.00    0.00    0.00    0.00
OF259.2  -22.704    0.00 9.0966     0.00    0.00    0.00    0.00    0.00
OF262.5  -22.637    0.00 9.0967     0.00    0.00    0.00    0.00    0.00
OF265.7  -22.570    0.00 9.0968     0.00    0.00    0.00    0.00    0.00
OF269.0  -22.504    0.00 9.0969     0.00    0.00    0.00    0.00    0.00
OF272.3  -22.437    0.00 9.097      0.00    0.00    0.00    0.00    0.00
OF275.6  -22.370    0.00 9.0971     0.00    0.00    0.00    0.00    0.00
OF278.9  -22.304    0.00 9.0972     0.00    0.00    0.00    0.00    0.00
OF282.2  -22.196    0.00 9.0972     0.00    0.00    0.00    0.00    0.00
OF285.4  -22.049    0.00 9.0967     0.00    0.00    0.00    0.00    0.00
OF288.7  -21.902    0.00 9.0964     0.00    0.00    0.00    0.00    0.00
OF292.0  -21.755    0.00 9.0959     0.00    0.00    0.00    0.00    0.00
OF295.3  -21.608    0.00 9.0957     0.00    0.00    0.00    0.00    0.00
OF298.6  -21.461    0.00 9.0953     0.00    0.00    0.00    0.00    0.00
OF301.8  -21.314    0.00 9.0951     0.00    0.00    0.00    0.00    0.00
OF305.1  -21.166    0.00 9.0947     0.00    0.00    0.00    0.00    0.00
OF308.4  -21.019    0.00 9.0945     0.00    0.00    0.00    0.00    0.00
OF311.7  -20.872    0.00 9.0941     0.00    0.00    0.00    0.00    0.00
OF315.0  -20.725    0.00 9.094      0.00    0.00    0.00    0.00    0.00
OF318.2  -20.578    0.00 9.0937     0.00    0.00    0.00    0.00    0.00
OF321.5  -20.431    0.00 9.0936     0.00    0.00    0.00    0.00    0.00
OF324.8  -20.284    0.00 9.0934     0.00    0.00    0.00    0.00    0.00
OF328.1  -20.137    0.00 9.0934     0.00    0.00    0.00    0.00    0.00
OF331.4  -19.989    0.00 9.0932     0.00    0.00    0.00    0.00    0.00
OF334.6  -19.842    0.00 9.0932     0.00    0.00    0.00    0.00    0.00
OF337.9  -19.695    0.00 9.0931     0.00    0.00    0.00    0.00    0.00
OF341.2  -19.548    0.00 9.0932     0.00    0.00    0.00    0.00    0.00
OF344.5  -19.401    0.00 9.0934     0.00    0.00    0.00    0.00    0.00
OF351.0  -19.107    0.00 9.0935     0.00    0.00    0.00    0.00    0.00
OF354.3  -18.960    0.00 9.0935     0.00    0.00    0.00    0.00    0.00
OF357.6  -18.867    0.00 9.0941     0.00    0.00    0.00    0.00    0.00
OF360.9  -18.987    0.00 9.0966     0.00    0.00    0.00    0.00    0.00
OF364.2  -19.107    0.00 9.099      0.00    0.00    0.00    0.00    0.00
OF367.5  -19.226    0.00 9.1011     0.00    0.00    0.00    0.00    0.00
OF370.7  -19.346    0.00 9.1035     0.00    0.00    0.00    0.00    0.00
OF374.0  -19.465    0.00 9.1055     0.00    0.00    0.00    0.00    0.00
OF377.3  -19.585    0.00 9.1078     0.00    0.00    0.00    0.00    0.00
OF380.6  -19.705    0.00 9.11       0.00    0.00    0.00    0.00    0.00
OF383.9  -19.824    0.00 9.1118     0.00    0.00    0.00    0.00    0.00
OF387.1  -19.944    0.00 9.1139     0.00    0.00    0.00    0.00    0.00
OF390.4  -20.064    0.00 9.1159     0.00    0.00    0.00    0.00    0.00
OF393.7  -20.183    0.00 9.1176     0.00    0.00    0.00    0.00    0.00
OF397.0  -20.303    0.00 9.1195     0.00    0.00    0.00    0.00    0.00
OF400.3  -20.422    0.00 9.1213     0.00    0.00    0.00    0.00    0.00
OF403.5  -20.542    0.00 9.1229     0.00    0.00    0.00    0.00    0.00
OF406.8  -20.662    0.00 9.1246     0.00    0.00    0.00    0.00    0.00
OF410.1  -20.752    0.00 9.1261     0.00    0.00    0.00    0.00    0.00
OF413.4  -20.694    0.00 9.1264     0.00    0.00    0.00    0.00    0.00
OF416.7  -20.636    0.00 9.1267     0.00    0.00    0.00    0.00    0.00
OF419.9  -20.577    0.00 9.127      0.00    0.00    0.00    0.00    0.00
OF423.2  -20.519    0.00 9.1276     0.00    0.00    0.00    0.00    0.00
OF426.5  -20.461    0.00 9.1279     0.00    0.00    0.00    0.00    0.00
OF429.8  -20.402    0.00 9.1283     0.00    0.00    0.00    0.00    0.00
OF433.1  -20.344    0.00 9.1286     0.00    0.00    0.00    0.00    0.00
OF436.4  -20.286    0.00 9.129      0.00    0.00    0.00    0.00    0.00
OF439.6  -20.228    0.00 9.1296     0.00    0.00    0.00    0.00    0.00
OF442.9  -20.169    0.00 9.1299     0.00    0.00    0.00    0.00    0.00
