type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IE,0,380068.8812,4799887.1881,-70.4796261838106,43.3422679451047,-28.592,8.831,27.63,28.17,14.35
OF,2,380068.942160309,4799887.79464554,-70.4796255645935,43.342273414678,-28.592,8.831,27.63,28.17,14.35
OF,3.3,380068.981784509,4799888.18890013,-70.4796251621023,43.3422769699007,-28.592,8.832,27.63,28.17,14.35
OF,6.6,380069.082369019,4799889.18970027,-70.4796241403938,43.3422859946968,-28.592,8.833,27.63,28.17,14.35
OF,9.8,380069.179905513,4799890.16017313,-70.4796231496459,43.3422947460141,-28.592,8.834,27.63,28.18,14.35
OF,13.1,380069.280490022,4799891.16097326,-70.4796221279369,43.3423037708101,-28.592,8.835,27.63,28.18,14.35
OF,16.4,380069.381074532,4799892.1617734,-70.4796211062276,43.3423127956061,-28.592,8.836,27.63,28.18,14.35
OF,19.7,380069.481659041,4799893.16257353,-70.4796200845181,43.3423218204021,-28.592,8.837,27.63,28.18,14.35
OF,23,380069.582243551,4799894.16337366,-70.4796190628083,43.3423308451981,-28.592,8.838,27.63,28.18,14.35
OF,26.2,380069.679780044,4799895.13384652,-70.4796180720591,43.3423395965154,-28.593,8.840,27.63,28.18,14.35
OF,29.5,380069.780364554,4799896.13464666,-70.4796170503488,43.3423486213113,-28.593,8.841,27.63,28.18,14.35
OF,32.8,380069.880949063,4799897.13544679,-70.4796160286381,43.3423576461072,-28.587,8.842,27.63,28.18,14.35
OF,36.1,380069.981533573,4799898.13624693,-70.4796150069273,43.3423666709031,-28.550,8.843,27.61,28.17,14.35
OF,39.4,380070.082118082,4799899.13704706,-70.4796139852161,43.3423756956989,-28.512,8.844,27.59,28.15,14.35
OF,42.7,380070.182702592,4799900.13784719,-70.4796129635047,43.3423847204948,-28.474,8.845,27.56,28.14,14.35
OF,45.9,380070.280239086,4799901.10832005,-70.479611972754,43.3423934718119,-28.436,8.846,27.53,28.12,14.35
OF,49.2,380070.380823595,4799902.10912019,-70.4796109510421,43.3424024966078,-28.399,8.847,27.51,28.10,14.35
OF,52.5,380070.481408104,4799903.10992032,-70.4796099293299,43.3424115214035,-28.361,8.848,27.48,28.09,14.35
OF,55.8,380070.581992614,4799904.11072046,-70.4796089076174,43.3424205461993,-28.323,8.849,27.46,28.07,14.35
OF,59.1,380070.682577123,4799905.11152059,-70.4796078859047,43.342429570995,-28.285,8.850,27.43,28.05,14.35
OF,62.3,380070.780113617,4799906.08199345,-70.4796068951527,43.3424383223121,-28.248,8.851,27.41,28.04,14.35
OF,65.6,380070.880698127,4799907.08279358,-70.4796058734394,43.3424473471079,-28.210,8.852,27.38,28.02,14.35
OF,68.9,380070.981282636,4799908.08359372,-70.4796048517259,43.3424563719036,-28.172,8.853,27.35,28.00,14.35
OF,72.2,380071.081867145,4799909.08439385,-70.4796038300121,43.3424653966992,-28.134,8.854,27.33,27.98,14.35
OF,75.5,380071.182451655,4799910.08519399,-70.479602808298,43.3424744214949,-28.096,8.855,27.30,27.97,14.35
OF,78.7,380071.279988149,4799911.05566684,-70.4796018175447,43.3424831728119,-28.059,8.856,27.28,27.95,14.35
OF,82,380071.380572658,4799912.05646698,-70.4796007958302,43.3424921976075,-28.018,8.857,27.25,27.93,14.35
OF,85.3,380071.481157168,4799913.05726711,-70.4795997741153,43.3425012224031,-27.972,8.858,27.22,27.91,14.35
OF,88.6,380071.581741677,4799914.05806725,-70.4795987524002,43.3425102471987,-27.925,8.859,27.19,27.89,14.35
OF,91.9,380071.682326187,4799915.05886738,-70.4795977306848,43.3425192719943,-27.879,8.861,27.15,27.87,14.35
OF,95.1,380071.779862681,4799916.02934024,-70.4795967399303,43.3425280233112,-27.833,8.862,27.12,27.85,14.35
OF,98.4,380071.88044719,4799917.03014037,-70.4795957182144,43.3425370481067,-27.787,8.863,27.09,27.83,14.35
OF,101.7,380071.981031699,4799918.03094051,-70.4795946964982,43.3425460729022,-27.740,8.864,27.06,27.81,14.35
OF,105,380072.081616209,4799919.03174064,-70.4795936747817,43.3425550976977,-27.694,8.865,27.03,27.78,14.35
