type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IE,0,383992.3704,4802357.5308,-70.431758794658,43.3651211651311,-16.238,9.326,7.12,14.31,11.61
OF,1,383992.452026731,4802357.82446731,-70.4317578497187,43.3651238212457,-16.229,9.326,7.13,14.31,11.62
OF,2,383992.533653461,4802358.11813462,-70.4317569047792,43.3651264773602,-16.221,9.326,7.13,14.31,11.62
OF,3,383992.615280192,4802358.41180193,-70.4317559598397,43.3651291334748,-16.212,9.326,7.13,14.32,11.62
OF,4,383992.696906923,4802358.70546924,-70.4317550149001,43.3651317895893,-16.203,9.326,7.13,14.32,11.62
OF,5,383992.778533653,4802358.99913655,-70.4317540699604,43.3651344457038,-16.195,9.326,7.13,14.32,11.62
OF,6,383992.860160384,4802359.29280385,-70.4317531250207,43.3651371018183,-16.186,9.326,7.13,14.32,11.62
OF,7,383992.941787114,4802359.58647116,-70.4317521800808,43.3651397579328,-16.177,9.326,7.13,14.32,11.62
OF,8,383993.023413845,4802359.88013847,-70.4317512351409,43.3651424140473,-16.169,9.326,7.13,14.32,11.62
OF,9,383993.105040576,4802360.17380578,-70.4317502902009,43.3651450701618,-16.160,9.326,7.13,14.32,11.62
OF,10,383993.186667306,4802360.46747309,-70.4317493452608,43.3651477262763,-16.151,9.326,7.13,14.32,11.62
OF,11,383993.268294037,4802360.7611404,-70.4317484003207,43.3651503823907,-16.142,9.326,7.14,14.32,11.62
OF,12,383993.349920768,4802361.05480771,-70.4317474553804,43.3651530385052,-16.134,9.326,7.14,14.32,11.62
OF,13,383993.431547498,4802361.34847502,-70.4317465104401,43.3651556946196,-16.125,9.326,7.14,14.32,11.62
OF,14,383993.513174229,4802361.64214233,-70.4317455654997,43.3651583507341,-16.116,9.326,7.14,14.32,11.62
OF,15,383993.594800959,4802361.93580964,-70.4317446205592,43.3651610068485,-16.108,9.326,7.14,14.32,11.62
OF,16,383993.67642769,4802362.22947695,-70.4317436756187,43.3651636629629,-16.099,9.326,7.14,14.32,11.62
OF,17,383993.758054421,4802362.52314426,-70.4317427306781,43.3651663190774,-16.090,9.326,7.14,14.32,11.62
OF,18,383993.839681151,4802362.81681157,-70.4317417857373,43.3651689751918,-16.082,9.326,7.14,14.33,11.62
OF,19,383993.921307882,4802363.11047887,-70.4317408407965,43.3651716313062,-16.073,9.326,7.14,14.33,11.62
OF,20,383994.002934613,4802363.40414618,-70.4317398958557,43.3651742874206,-16.064,9.326,7.14,14.33,11.62
OF,21,383994.084561343,4802363.69781349,-70.4317389509147,43.365176943535,-16.055,9.326,7.15,14.33,11.62
OF,22,383994.166188074,4802363.9914808,-70.4317380059737,43.3651795996493,-16.047,9.326,7.15,14.33,11.62
OF,23,383994.247814804,4802364.28514811,-70.4317370610326,43.3651822557637,-16.038,9.326,7.15,14.33,11.62
OF,24,383994.329441535,4802364.57881542,-70.4317361160914,43.3651849118781,-16.029,9.326,7.15,14.33,11.62
OF,25,383994.411068266,4802364.87248273,-70.4317351711501,43.3651875679924,-16.021,9.326,7.15,14.33,11.62
OF,26,383994.492694996,4802365.16615004,-70.4317342262087,43.3651902241068,-15.998,9.326,7.15,14.33,11.62
OF,27,383994.574321727,4802365.45981735,-70.4317332812673,43.3651928802211,-15.826,9.326,7.17,14.34,11.62
OF,28,383994.655948458,4802365.75348466,-70.4317323363258,43.3651955363355,-15.655,9.326,7.18,14.35,11.62
OF,29,383994.737575188,4802366.04715197,-70.4317313913842,43.3651981924498,-15.483,9.326,7.20,14.36,11.62
OF,30,383994.819201919,4802366.34081928,-70.4317304464425,43.3652008485641,-15.312,9.326,7.21,14.38,11.62
OF,31,383994.900828649,4802366.63448658,-70.4317295015008,43.3652035046784,-15.140,9.326,7.23,14.39,11.62
OF,32,383994.98245538,4802366.92815389,-70.4317285565589,43.3652061607927,-14.968,9.326,7.25,14.40,11.62
OF,33,383995.064082111,4802367.2218212,-70.431727611617,43.365208816907,-14.797,9.326,7.26,14.41,11.62
OF,34,383995.145708841,4802367.51548851,-70.431726666675,43.3652114730213,-14.625,9.325,7.28,14.42,11.62
OF,35,383995.227335572,4802367.80915582,-70.431725721733,43.3652141291356,-14.454,9.325,7.30,14.43,11.62
OF,36,383995.308962303,4802368.10282313,-70.4317247767908,43.3652167852498,-14.283,9.325,7.31,14.44,11.62
OF,37,383995.390589033,4802368.39649044,-70.4317238318486,43.3652194413641,-14.111,9.325,7.33,14.46,11.62
OF,38,383995.472215764,4802368.69015775,-70.4317228869063,43.3652220974784,-13.940,9.325,7.35,14.47,11.62
OF,39,383995.553842494,4802368.98382506,-70.4317219419639,43.3652247535926,-13.768,9.325,7.36,14.48,11.62
OF,40,383995.635469225,4802369.27749237,-70.4317209970214,43.3652274097069,-13.597,9.325,7.38,14.49,11.62
OF,41,383995.717095956,4802369.57115968,-70.4317200520789,43.3652300658211,-13.425,9.325,7.40,14.51,11.62
OF,42,383995.798722686,4802369.86482699,-70.4317191071362,43.3652327219353,-13.253,9.325,7.42,14.52,11.62
OF,43,383995.880349417,4802370.15849429,-70.4317181621935,43.3652353780495,-13.082,9.325,7.44,14.53,11.62
OF,44,383995.961976148,4802370.4521616,-70.4317172172507,43.3652380341637,-12.910,9.325,7.46,14.54,11.62
OF,45,383996.043602878,4802370.74582891,-70.4317162723079,43.3652406902779,-12.738,9.325,7.48,14.56,11.62
OF,46,383996.125229609,4802371.03949622,-70.4317153273649,43.3652433463921,-12.567,9.325,7.49,14.57,11.62
OF,47,383996.20685634,4802371.33316353,-70.4317143824219,43.3652460025063,-12.395,9.325,7.51,14.59,11.62
OF,48,383996.28848307,4802371.62683084,-70.4317134374788,43.3652486586205,-12.224,9.325,7.53,14.60,11.62
OF,49,383996.370109801,4802371.92049815,-70.4317124925356,43.3652513147347,-12.053,9.325,7.55,14.61,11.62
OF,50,383996.451736531,4802372.21416546,-70.4317115475924,43.3652539708488,-11.881,9.325,7.57,14.63,11.62
