X,Y,Z,STA,Zadcirc,HSadcirc,TWLadcirc,PERadcirc,TransHeading,PerHeading
-70.4136207200,43.3822192700,-38.5731035382,-4193.00,-38.5731035381582,29.2725475664739,8.74960959418331,14.8776865771635,143.109493767182,135
-70.4136233400,43.3822212400,-38.5682252888,-4192.00,-38.568225288762,29.2687691792383,8.74968770322717,14.8779119306536,143.109493767182,135
-70.4136259600,43.3822232000,-38.5633204501,-4191.00,-38.5633204501173,29.2649970137436,8.74976562735781,14.8781350122352,143.109493767182,135
-70.4136285800,43.3822251700,-38.5584422008,-4190.00,-38.558442200776,29.2612186265219,8.74984373640145,14.8783603657266,143.109493767182,135
-70.4136312000,43.3822271400,-38.5535639514,-4189.00,-38.5535639513798,29.2574402392863,8.74992184544531,14.8785857192167,143.109493767182,135
-70.4136338300,43.3822291100,-38.5486470901,-4188.00,-38.5486470900578,29.2536521089103,8.7500001135774,14.8788102245682,143.109493767182,135
-70.4136364500,43.3822310700,-38.5437422514,-4187.00,-38.543742251432,29.2498799434112,8.75007803770819,14.8790333061515,143.109493767182,135
-70.4136390700,43.3822330400,-38.5388640020,-4186.00,-38.5388640020358,29.2461015561756,8.75015614675204,14.8792586596416,143.109493767182,135
-70.4136416900,43.3822350100,-38.5339857526,-4185.00,-38.5339857526397,29.24232316894,8.7502342557959,14.8794840131317,143.109493767182,135
-70.4136443100,43.3822369800,-38.5291075033,-4184.00,-38.5291075032984,29.2385447817183,8.75031236483953,14.8797093666231,143.109493767182,135
-70.4136469300,43.3822389500,-38.5242292539,-4183.00,-38.5242292539022,29.2347663944827,8.75039047388339,14.8799347201132,143.109493767182,135
-70.4136495500,43.3822409100,-38.5193244153,-4182.00,-38.5193244152575,29.230994228988,8.75046839801404,14.8801578016948,143.109493767182,135
-70.4136521700,43.3822428800,-38.5144461659,-4181.00,-38.5144461658613,29.2272158417524,8.7505465070579,14.8803831551849,143.109493767182,135
-70.4136547900,43.3822448500,-38.5095679165,-4180.00,-38.50956791652,29.2234374545307,8.75062461610153,14.8806085086763,143.109493767182,135
-70.4136574100,43.3822468200,-38.5046896671,-4179.00,-38.5046896671239,29.2196590672951,8.75070272514539,14.8808338621664,143.109493767182,135
-70.4136600300,43.3822487800,-38.4997848285,-4178.00,-38.4997848284791,29.2158869018004,8.75078064927604,14.881056943748,143.109493767182,135
