X,Y,Z,STA,Zadcirc,HSadcirc,TWLadcirc,PERadcirc,TransHeading,PerHeading
-70.4330835471,43.3613972771,3.0314961600,  0.00,2.25047796221955,-328079.71917,9.34196339560036,-99999,70.4170351434596,90
-70.4330759871,43.3614185257,2.5393701600,  8.00,2.03848874151359,-328079.71917,9.33945263396511,-99999,70.4170351434596,90
-70.4330698500,43.3614357900,2.4409449600, 14.50,1.78801281907118,-328079.71917,9.33793487002618,-99999,70.4170351434596,90
-70.4330622900,43.3614570400,2.2769029600, 22.50,1.47961846195413,-328079.71917,9.3360660456087,-99999,70.4170351434596,90
-70.4330547300,43.3614782875,2.1128609600, 30.50,1.1712468045207,-328079.71917,9.33419734371787,-99999,70.4170351434596,90
-70.4330481150,43.3614968825,1.8503937600, 37.50,0.901390392307786,-328079.71917,9.33256206109011,-99999,70.4170351434596,90
-70.4330396150,43.3615207863,1.7191601600, 46.50,0.554545339759262,-328079.71917,9.33046030088225,-99999,70.4170351434596,90
-70.4330320550,43.3615420367,1.2598425600, 54.50,0.246147350620581,-328079.71917,9.32859145686011,-99999,70.4170351434596,90
-70.4330278000,43.3615539900,0.9317585600, 59.00,0.0726357590798597,-328079.71917,9.32753996095606,-99999,70.4170351434596,90
-70.4330259100,43.3615593000,-0.0044401306, 61.00,-0.00444013064042371,-328079.71917,9.32707287737748,-99999,70.4170351434596,90
-70.4330249700,43.3615619600,-0.0429471212, 62.00,-0.0429471211579928,-328079.71917,9.32683963772208,-99999,70.4170351434596,90
-70.4330240200,43.3615646100,-0.0815160201, 63.00,-0.0815160200791807,-328079.71917,9.3266057938008,-99999,70.4170351434596,90
-70.4330230800,43.3615672700,-0.1200230108, 64.00,-0.12002301081376,-328079.71917,9.32637255414385,-99999,70.4170351434596,90
-70.4330221300,43.3615699300,-0.1586827087, 65.00,-0.158682708662945,-328079.71917,9.32613822011491,-99999,70.4170351434596,90
-70.4330211900,43.3615725800,-0.1970989003, 66.00,-0.197098900252517,-328079.71917,9.32590547056717,-99999,70.4170351434596,90
-70.4330202400,43.3615752400,-0.2357585981, 67.00,-0.235758598101701,-328079.71917,9.32567113653823,-99999,70.4170351434596,90
-70.4330193000,43.3615778900,-0.2741747899, 68.00,-0.274174789908284,-328079.71917,9.32543838698894,-99999,70.4170351434596,90
-70.4330183500,43.3615805500,-0.3128344878, 69.00,-0.312834487757469,-328079.71917,9.32520405296,-99999,70.4170351434596,90
-70.4330174100,43.3615832100,-0.3513414783, 70.00,-0.351341478275038,-328079.71917,9.3249708133046,-99999,70.4170351434596,90
-70.4330164600,43.3615858600,-0.3899103772, 71.00,-0.389910377196225,-328079.71917,9.32473696938332,-99999,70.4170351434596,90
-70.4330155200,43.3615885200,-0.4284173679, 72.00,-0.428417367930805,-328079.71917,9.32450372972637,-99999,70.4170351434596,90
-70.4330145800,43.3615911700,-0.4668335595, 73.00,-0.466833559520377,-328079.71917,9.32427098017863,-99999,70.4170351434596,90
