X,Y,Z,STA,source
-70.4099455700,43.3862882000,-31.8854913693,-4475.50,Maine ADCIRC model
-70.4099481500,43.3862902000,-31.8894344933,-4474.50,Maine ADCIRC model
-70.4099507200,43.3862922000,-31.8934196740,-4473.50,Maine ADCIRC model
-70.4099532900,43.3862942000,-31.8974048547,-4472.50,Maine ADCIRC model
-70.4099558700,43.3862962100,-31.9014219474,-4471.50,Maine ADCIRC model
-70.4099584400,43.3862982100,-31.9054071281,-4470.50,Maine ADCIRC model
-70.4099610100,43.3863002100,-31.9093923088,-4469.50,Maine ADCIRC model
-70.4099635900,43.3863022100,-31.9133354328,-4468.50,Maine ADCIRC model
-70.4099661600,43.3863042100,-31.9173206135,-4467.50,Maine ADCIRC model
-70.4099687400,43.3863062100,-31.9212637376,-4466.50,Maine ADCIRC model
-70.4099713100,43.3863082100,-31.9252489182,-4465.50,Maine ADCIRC model
-70.4099738800,43.3863102100,-31.9292340989,-4464.50,Maine ADCIRC model
-70.4099764600,43.3863122100,-31.9331772230,-4463.50,Maine ADCIRC model
-70.4099790300,43.3863142100,-31.9371624036,-4462.50,Maine ADCIRC model
-70.4099816000,43.3863162200,-31.9412215530,-4461.50,Maine ADCIRC model
-70.4099841800,43.3863182200,-31.9451646770,-4460.50,Maine ADCIRC model
-70.4099867500,43.3863202200,-31.9491498577,-4459.50,Maine ADCIRC model
-70.4099893200,43.3863222200,-31.9531350384,-4458.50,Maine ADCIRC model
-70.4099919000,43.3863242200,-31.9570781624,-4457.50,Maine ADCIRC model
-70.4099944700,43.3863262200,-31.9610633431,-4456.50,Maine ADCIRC model
-70.4099970400,43.3863282200,-31.9650485238,-4455.50,Maine ADCIRC model
-70.4099996200,43.3863302200,-31.9689916478,-4454.50,Maine ADCIRC model
-70.4100021900,43.3863322200,-31.9729768285,-4453.50,Maine ADCIRC model
-70.4100047600,43.3863342300,-31.9770359778,-4452.50,Maine ADCIRC model
-70.4100073400,43.3863362300,-31.9809791018,-4451.50,Maine ADCIRC model
-70.4100099100,43.3863382300,-31.9849642826,-4450.50,Maine ADCIRC model
-70.4100124900,43.3863402300,-31.9889074066,-4449.50,Maine ADCIRC model
-70.4100150600,43.3863422300,-31.9928925872,-4448.50,Maine ADCIRC model
-70.4100176300,43.3863442300,-31.9968777680,-4447.50,Maine ADCIRC model
-70.4100202100,43.3863462300,-32.0008208920,-4446.50,Maine ADCIRC model
-70.4100227800,43.3863482300,-32.0048060727,-4445.50,Maine ADCIRC model
-70.4100253500,43.3863502300,-32.0087912534,-4444.50,Maine ADCIRC model
-70.4100279300,43.3863522300,-32.0127343774,-4443.50,Maine ADCIRC model
-70.4100305000,43.3863542400,-32.0167935268,-4442.50,Maine ADCIRC model
-70.4100330700,43.3863562400,-32.0207787074,-4441.50,Maine ADCIRC model
-70.4100356500,43.3863582400,-32.0247218315,-4440.50,Maine ADCIRC model
-70.4100382200,43.3863602400,-32.0287070122,-4439.50,Maine ADCIRC model
-70.4100407900,43.3863622400,-32.0326921928,-4438.50,Maine ADCIRC model
-70.4100433700,43.3863642400,-32.0366353169,-4437.50,Maine ADCIRC model
-70.4100459400,43.3863662400,-32.0406204976,-4436.50,Maine ADCIRC model
-70.4100485100,43.3863682400,-32.0446056783,-4435.50,Maine ADCIRC model
-70.4100510900,43.3863702400,-32.0485488023,-4434.50,Maine ADCIRC model
-70.4100536600,43.3863722400,-32.0525339830,-4433.50,Maine ADCIRC model
-70.4100562400,43.3863742500,-32.0644008763,-4432.50,Maine ADCIRC model
-70.4100588100,43.3863762500,-32.0816957145,-4431.50,Maine ADCIRC model
-70.4100613800,43.3863782500,-32.0989905528,-4430.50,Maine ADCIRC model
-70.4100639600,43.3863802500,-32.1162994032,-4429.50,Maine ADCIRC model
-70.4100665300,43.3863822500,-32.1335942414,-4428.50,Maine ADCIRC model
-70.4100691000,43.3863842500,-32.1508890797,-4427.50,Maine ADCIRC model
-70.4100716800,43.3863862500,-32.1681979301,-4426.50,Maine ADCIRC model
-70.4100742500,43.3863882500,-32.1854927684,-4425.50,Maine ADCIRC model
-70.4100768200,43.3863902500,-32.2027876066,-4424.50,Maine ADCIRC model
-70.4100794000,43.3863922600,-32.2201649257,-4423.50,Maine ADCIRC model
-70.4100819700,43.3863942600,-32.2374597640,-4422.50,Maine ADCIRC model
-70.4100845400,43.3863962600,-32.2547546022,-4421.50,Maine ADCIRC model
-70.4100871200,43.3863982600,-32.2720634526,-4420.50,Maine ADCIRC model
-70.4100896900,43.3864002600,-32.2893582909,-4419.50,Maine ADCIRC model
-70.4100922700,43.3864022600,-32.3066671412,-4418.50,Maine ADCIRC model
-70.4100948400,43.3864042600,-32.3239619795,-4417.50,Maine ADCIRC model
-70.4100974100,43.3864062600,-32.3412568178,-4416.50,Maine ADCIRC model
-70.4100999900,43.3864082600,-32.3585656682,-4415.50,Maine ADCIRC model
-70.4101025600,43.3864102600,-32.3758605064,-4414.50,Maine ADCIRC model
-70.4101051300,43.3864122700,-32.3932238134,-4413.50,Maine ADCIRC model
-70.4101077100,43.3864142700,-32.4105326638,-4412.50,Maine ADCIRC model
-70.4101102800,43.3864162700,-32.4278275020,-4411.50,Maine ADCIRC model
-70.4101128500,43.3864182700,-32.4451223403,-4410.50,Maine ADCIRC model
-70.4101154300,43.3864202700,-32.4624311907,-4409.50,Maine ADCIRC model
-70.4101180000,43.3864222700,-32.4797260289,-4408.50,Maine ADCIRC model
-70.4101205700,43.3864242700,-32.4970208672,-4407.50,Maine ADCIRC model
-70.4101231500,43.3864262700,-32.5143297176,-4406.50,Maine ADCIRC model
-70.4101257200,43.3864282700,-32.5316245559,-4405.50,Maine ADCIRC model
-70.4101282900,43.3864302800,-32.5489878628,-4404.50,Maine ADCIRC model
-70.4101308700,43.3864322800,-32.5662967132,-4403.50,Maine ADCIRC model
-70.4101334400,43.3864342800,-32.5835915515,-4402.50,Maine ADCIRC model
-70.4101360200,43.3864362800,-32.6009004018,-4401.50,Maine ADCIRC model
-70.4101385900,43.3864382800,-32.6181952401,-4400.50,Maine ADCIRC model
-70.4101411600,43.3864402800,-32.6354900784,-4399.50,Maine ADCIRC model
-70.4101437400,43.3864422800,-32.6527989287,-4398.50,Maine ADCIRC model
-70.4101463100,43.3864442800,-32.6700937670,-4397.50,Maine ADCIRC model
-70.4101488800,43.3864462800,-32.6873886053,-4396.50,Maine ADCIRC model
-70.4101514600,43.3864482800,-32.7046974557,-4395.50,Maine ADCIRC model
-70.4101540300,43.3864502900,-32.7220607626,-4394.50,Maine ADCIRC model
-70.4101566000,43.3864522900,-32.7393556009,-4393.50,Maine ADCIRC model
-70.4101591800,43.3864542900,-32.7566644512,-4392.50,Maine ADCIRC model
-70.4101617500,43.3864562900,-32.7739592895,-4391.50,Maine ADCIRC model
-70.4101643200,43.3864582900,-32.7912541278,-4390.50,Maine ADCIRC model
-70.4101669000,43.3864602900,-32.8085629781,-4389.50,Maine ADCIRC model
-70.4101694700,43.3864622900,-32.8258578164,-4388.50,Maine ADCIRC model
-70.4101720400,43.3864642900,-32.8431526547,-4387.50,Maine ADCIRC model
-70.4101746200,43.3864662900,-32.8604615051,-4386.50,Maine ADCIRC model
-70.4101771900,43.3864683000,-32.8778248120,-4385.50,Maine ADCIRC model
-70.4101797700,43.3864703000,-32.8951336624,-4384.50,Maine ADCIRC model
-70.4101823400,43.3864723000,-32.9124285007,-4383.50,Maine ADCIRC model
-70.4101849100,43.3864743000,-32.9297233389,-4382.50,Maine ADCIRC model
-70.4101874900,43.3864763000,-32.9470321893,-4381.50,Maine ADCIRC model
-70.4101900600,43.3864783000,-32.9643270276,-4380.50,Maine ADCIRC model
