X,Y,Z,STA,source
-70.4330835471,43.3613972771,3.0314961600,  0.00,SOURCE
-70.4330759871,43.3614185257,2.5393701600,  8.00,2010USACE-NorthEast
-70.4330698500,43.3614357900,2.4409449600, 14.50,2010USACE-NorthEast
-70.4330622900,43.3614570400,2.2769029600, 22.50,2010USACE-NorthEast
-70.4330547300,43.3614782875,2.1128609600, 30.50,2010USACE-NorthEast
-70.4330481150,43.3614968825,1.8503937600, 37.50,2010USACE-NorthEast
-70.4330396150,43.3615207863,1.7191601600, 46.50,2010USACE-NorthEast
-70.4330320550,43.3615420367,1.2598425600, 54.50,2010USACE-NorthEast
-70.4330278000,43.3615539900,0.9317585600, 59.00,2010USACE-NorthEast
-70.4330259100,43.3615593000,-0.0044401306, 61.00,Maine ADCIRC model
-70.4330249700,43.3615619600,-0.0429471212, 62.00,Maine ADCIRC model
-70.4330240200,43.3615646100,-0.0815160201, 63.00,Maine ADCIRC model
-70.4330230800,43.3615672700,-0.1200230108, 64.00,Maine ADCIRC model
-70.4330221300,43.3615699300,-0.1586827087, 65.00,Maine ADCIRC model
-70.4330211900,43.3615725800,-0.1970989003, 66.00,Maine ADCIRC model
-70.4330202400,43.3615752400,-0.2357585981, 67.00,Maine ADCIRC model
-70.4330193000,43.3615778900,-0.2741747899, 68.00,Maine ADCIRC model
-70.4330183500,43.3615805500,-0.3128344878, 69.00,Maine ADCIRC model
-70.4330174100,43.3615832100,-0.3513414783, 70.00,Maine ADCIRC model
-70.4330164600,43.3615858600,-0.3899103772, 71.00,Maine ADCIRC model
-70.4330155200,43.3615885200,-0.4284173679, 72.00,Maine ADCIRC model
-70.4330145800,43.3615911700,-0.4668335595, 73.00,Maine ADCIRC model
-70.4330136300,43.3615938300,-0.5054932574, 74.00,Maine ADCIRC model
-70.4330126900,43.3615964900,-0.5440002481, 75.00,Maine ADCIRC model
-70.4330117400,43.3615991400,-0.5825691471, 76.00,Maine ADCIRC model
-70.4330108000,43.3616018000,-0.6209357264, 77.00,Maine ADCIRC model
-70.4330098500,43.3616044500,-0.6590474910, 78.00,Maine ADCIRC model
-70.4330089100,43.3616071100,-0.6970934668, 79.00,Maine ADCIRC model
-70.4330079600,43.3616097700,-0.7352937364, 80.00,Maine ADCIRC model
-70.4330070200,43.3616124200,-0.7732512069, 81.00,Maine ADCIRC model
-70.4330060700,43.3616150800,-0.8114514764, 82.00,Maine ADCIRC model
-70.4330051300,43.3616177400,-0.8506971724, 83.00,Maine ADCIRC model
-70.4330041800,43.3616203900,-0.8952187146, 84.00,Maine ADCIRC model
-70.4330032400,43.3616230500,-0.9396901193, 85.00,Maine ADCIRC model
-70.4330022900,43.3616257000,-0.9842116615, 86.00,Maine ADCIRC model
-70.4330013500,43.3616283600,-1.0286830664, 87.00,Maine ADCIRC model
-70.4330004000,43.3616310200,-1.0733150489, 88.00,Maine ADCIRC model
-70.4329994600,43.3616336700,-1.1176760134, 89.00,Maine ADCIRC model
-70.4329985100,43.3616363300,-1.1623079958, 90.00,Maine ADCIRC model
-70.4329975700,43.3616389800,-1.2066689605, 91.00,Maine ADCIRC model
-70.4329966200,43.3616416400,-1.2513009430, 92.00,Maine ADCIRC model
-70.4329956800,43.3616443000,-1.2957723477, 93.00,Maine ADCIRC model
-70.4329947300,43.3616469500,-1.3402938899, 94.00,Maine ADCIRC model
-70.4329937900,43.3616496100,-1.3847652948, 95.00,Maine ADCIRC model
-70.4329928400,43.3616522700,-1.4293972773, 96.00,Maine ADCIRC model
-70.4329919000,43.3616549200,-1.4737582417, 97.00,Maine ADCIRC model
-70.4329909500,43.3616575800,-1.5183902242, 98.00,Maine ADCIRC model
-70.4329900100,43.3616602300,-1.5627511888, 99.00,Maine ADCIRC model
-70.4329890600,43.3616628900,-1.6073831713,100.00,Maine ADCIRC model
-70.4329881200,43.3616655500,-1.6518545760,101.00,Maine ADCIRC model
-70.4329871700,43.3616682000,-1.6963761182,102.00,Maine ADCIRC model
-70.4329862300,43.3616708600,-1.7408475232,103.00,Maine ADCIRC model
-70.4329852900,43.3616735100,-1.7834947232,104.00,Maine ADCIRC model
