%
%
% Run:1     Table:curve             SWAN version:41.20A
%
%       Xp            Yp            Hsig          TPsmoo        RTpeak        Tm_10         Dir           Dspr          Depth         Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [m]           [m]      
%
           0.            0.       2.48968       12.7563       12.4477       11.7873         0.000       31.5057        4.1700      0.000000 
           1.            0.       2.48939       12.7703       12.4477       11.4939         0.000       31.3051        4.1505      0.000533 
           2.            0.       2.48872       12.7833       12.4477       11.2360         0.000       31.0752        4.1210      0.000974 
           3.            0.       2.48630       12.7944       12.4477       11.0193         0.000       30.8664        4.0915      0.001479 
           4.            0.       2.48227       12.8035       12.4477       10.8388         0.000       30.6653        4.0620      0.002034 
           5.            0.       2.47684       12.8108       12.4477       10.6877         0.000       30.4599        4.0326      0.002628 
           6.            0.       2.47077       12.8164       12.4477       10.5541         0.000       30.2539        4.0033      0.003260 
           7.            0.       2.46388       12.8206       12.4477       10.4373         0.000       30.0470        3.9739      0.003928 
           8.            0.       2.45618       12.8236       12.4477       10.3350         0.000       29.8396        3.9446      0.004630 
           9.            0.       2.44775       12.8255       12.4477       10.2449         0.000       29.6320        3.9154      0.005364 
          10.            0.       2.43798       12.8265       12.4477       10.1653         0.000       29.3715        3.8861      0.006132 
          11.            0.       2.43118       12.8269       12.4477       10.0959         0.000       29.1273        3.8265      0.006534 
          12.            0.       2.41917       12.8264       12.4477       10.0298         0.000       28.9799        3.8177      0.007663 
          13.            0.       2.40758       12.8254       12.4477        9.9707         0.000       28.8830        3.8088      0.008785 
          14.            0.       2.39500       12.8240       12.4477        9.9173         0.000       28.8045        3.8100      0.010026 
          15.            0.       2.38343       12.8222       12.4477        9.8703         0.000       28.7150        3.8011      0.011107 
          16.            0.       2.37469       12.8203       12.4477        9.7975         0.000       28.6344        3.7922      0.012189 
          17.            0.       2.36616       12.8181       12.4477        9.7226       359.999       28.5572        3.7833      0.013290 
          18.            0.       2.35210       12.8158       12.4477        9.6795       359.977       28.5094        3.7747      0.014688 
          19.            0.       2.33740       12.8134       12.4477        9.6428         0.005       28.4450        3.7661      0.016079 
          20.            0.       2.32374       12.8110       12.4477        9.6038       359.956       28.3714        3.7574      0.017381 
          21.            0.       2.31071       12.8084       12.4477        9.5644       359.885       28.2870        3.7486      0.018617 
          22.            0.       2.29799       12.8059       12.4477        9.5263       359.813       28.2014        3.7398      0.019811 
          23.            0.       2.28543       12.8033       12.4477        9.4903       359.745       28.1156        3.7310      0.020974 
          24.            0.       2.27298       12.8007       12.4477        9.4564       359.681       28.0301        3.7221      0.022111 
          25.            0.       2.26062       12.7980       12.4477        9.4245       359.622       27.9450        3.7132      0.023222 
          26.            0.       2.25038       12.7954       12.4477        9.3847       359.608       27.8752        3.7042      0.024216 
          27.            0.       2.23978       12.7927       12.4477        9.3433       359.608       27.8116        3.7053      0.025282 
          28.            0.       2.23018       12.7901       12.4477        9.3051       359.614       27.7337        3.6962      0.026195 
          29.            0.       2.22269       12.7877       12.4477        9.2484       359.622       27.6588        3.6871      0.027104 
          30.            0.       2.21543       12.7855       12.4477        9.1894       359.630       27.5847        3.6780      0.028018 
          31.            0.       2.20503       12.7837       12.4477        9.1490       359.625       27.5347        3.6691      0.029078 
          32.            0.       2.19366       12.7821       12.4477        9.1158       359.648       27.4806        3.6602      0.030158 
