header
IE0.0    -16.992       1       1 9.0235  9.3703  9.6134    56.14   56.14
OF1.0    -17.024    0.00 9.0235     0.00    0.00    0.00    0.00    0.00
OF2.0    -17.056    0.00 9.0235     0.00    0.00    0.00    0.00    0.00
OF3.0    -17.089    0.00 9.0235     0.00    0.00    0.00    0.00    0.00
OF4.0    -17.120    0.00 9.0235     0.00    0.00    0.00    0.00    0.00
OF5.0    -17.148    0.00 9.0235     0.00    0.00    0.00    0.00    0.00
OF6.0    -17.175    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF7.0    -17.203    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF8.0    -17.230    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF9.0    -17.258    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF10.0   -17.285    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF11.0   -17.313    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF12.0   -17.340    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF13.0   -17.368    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF14.0   -17.395    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF15.0   -17.423    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF16.0   -17.450    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF17.0   -17.478    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF18.0   -17.505    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF19.0   -17.533    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF20.0   -17.560    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF21.0   -17.588    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF22.0   -17.615    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF23.0   -17.643    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF24.0   -17.670    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF25.0   -17.621    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF26.0   -17.564    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF27.0   -17.506    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF28.0   -17.449    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF29.0   -17.392    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF30.0   -17.334    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF31.0   -17.277    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF32.0   -17.219    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF33.0   -17.162    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF34.0   -17.105    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF35.0   -17.047    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF36.0   -16.990    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF37.0   -16.932    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF38.0   -16.875    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF39.0   -16.818    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF40.0   -16.760    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF41.0   -16.703    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF42.0   -16.645    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF43.0   -16.588    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF44.0   -16.533    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF45.0   -16.481    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF46.0   -16.430    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF47.0   -16.378    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF48.0   -16.327    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF49.0   -16.275    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF50.0   -16.224    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF51.0   -16.172    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF52.0   -16.121    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF53.0   -16.069    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF54.0   -16.018    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF55.0   -15.966    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF56.0   -15.915    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF57.0   -15.863    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF58.0   -15.812    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF59.0   -15.761    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF60.0   -15.709    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF61.0   -15.658    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF62.0   -15.606    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF63.0   -15.555    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF64.0   -15.503    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF65.0   -15.452    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF66.0   -15.400    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF67.0   -15.349    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF68.0   -15.297    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF69.0   -15.246    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF70.0   -15.194    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF71.0   -15.143    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF72.0   -15.091    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF73.0   -15.040    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF74.0   -14.989    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF75.0   -14.937    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF76.0   -14.886    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF77.0   -14.834    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF78.0   -14.783    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF79.0   -14.731    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF80.0   -14.680    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF81.0   -14.628    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF82.0   -14.577    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF83.0   -14.525    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF84.0   -14.474    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF85.0   -14.422    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF86.0   -14.371    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF87.0   -14.319    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF88.0   -14.268    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF89.0   -14.217    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF90.0   -14.165    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF91.0   -14.114    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF92.0   -14.062    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF93.0   -14.011    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF94.0   -13.959    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF95.0   -13.908    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
