header
IE0.0    -16.356       1       1 9.0273  4.6994  6.937     56.14   56.14
OF79.0   -16.665    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF80.0   -16.669    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF81.0   -16.672    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF82.0   -16.676    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF83.0   -16.680    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF84.0   -16.684    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF85.0   -16.688    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF86.0   -16.692    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF87.0   -16.696    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF88.0   -16.700    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF89.0   -16.704    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF90.0   -16.708    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF91.0   -16.712    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF92.0   -16.716    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF93.0   -16.719    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF94.0   -16.723    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF95.0   -16.727    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF96.0   -16.731    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF97.0   -16.735    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF98.0   -16.739    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF99.0   -16.743    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF100.0  -16.747    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF101.0  -16.747    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF102.0  -16.747    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF103.0  -16.746    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF104.0  -16.746    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF105.0  -16.746    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF106.0  -16.746    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF107.0  -16.746    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF108.0  -16.746    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF109.0  -16.745    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF110.0  -16.745    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF111.0  -16.745    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF112.0  -16.745    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF113.0  -16.745    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF114.0  -16.745    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF115.0  -16.745    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF116.0  -16.744    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF117.0  -16.744    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF118.0  -16.744    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF119.0  -16.744    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF120.0  -16.744    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF121.0  -16.744    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF122.0  -16.744    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF123.0  -16.743    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF126.0  -16.541    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF164.0  -16.662    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF165.0  -16.666    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF166.0  -16.671    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF167.0  -16.675    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF168.0  -16.680    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF169.0  -16.685    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF170.0  -16.689    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF171.0  -16.694    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF172.0  -16.698    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF173.0  -16.703    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF174.0  -16.708    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF175.0  -16.712    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF176.0  -16.717    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF177.0  -16.722    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF178.0  -16.726    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF179.0  -16.731    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF180.0  -16.735    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF181.0  -16.733    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF182.0  -16.731    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF183.0  -16.729    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
