header
IE0.0    -4.4141       1       1 9.2819  13.0932 13.0622   56.14   56.14
OF3.3    -4.318     0.00 9.2836     0.00    0.00    0.00    0.00    0.00
OF6.6    -4.2219    0.00 9.2851     0.00    0.00    0.00    0.00    0.00
OF9.8    -4.1258    0.00 9.2867     0.00    0.00    0.00    0.00    0.00
OF13.1   -4.0298    0.00 9.2885     0.00    0.00    0.00    0.00    0.00
OF16.4   -3.9337    0.00 9.2905     0.00    0.00    0.00    0.00    0.00
OF19.7   -3.8376    0.00 9.2926     0.00    0.00    0.00    0.00    0.00
OF23.0   -3.7416    0.00 9.2948     0.00    0.00    0.00    0.00    0.00
OF26.2   -3.6455    0.00 9.2971     0.00    0.00    0.00    0.00    0.00
OF29.5   -3.5494    0.00 9.2995     0.00    0.00    0.00    0.00    0.00
OF32.8   -3.4533    0.00 9.302      0.00    0.00    0.00    0.00    0.00
OF36.1   -3.2614    0.00 9.3033     0.00    0.00    0.00    0.00    0.00
OF39.4   -3.2311    0.00 9.307      0.00    0.00    0.00    0.00    0.00
OF42.7   -3.2008    0.00 9.3107     0.00    0.00    0.00    0.00    0.00
OF45.9   -3.1705    0.00 9.3148     0.00    0.00    0.00    0.00    0.00
OF49.2   -3.1402    0.00 9.3183     0.00    0.00    0.00    0.00    0.00
OF52.5   -3.1099    0.00 9.3219     0.00    0.00    0.00    0.00    0.00
OF55.8   -3.0796    0.00 9.3255     0.00    0.00    0.00    0.00    0.00
OF59.1   -3.0493    0.00 9.3301     0.00    0.00    0.00    0.00    0.00
OF62.3   -3.019     0.00 9.3346     0.00    0.00    0.00    0.00    0.00
OF65.6   -2.9887    0.00 9.3389     0.00    0.00    0.00    0.00    0.00
OF68.9   -2.9584    0.00 9.3429     0.00    0.00    0.00    0.00    0.00
OF72.2   -2.9281    0.00 9.3469     0.00    0.00    0.00    0.00    0.00
OF75.5   -2.8978    0.00 9.3507     0.00    0.00    0.00    0.00    0.00
OF78.7   -2.8675    0.00 9.3544     0.00    0.00    0.00    0.00    0.00
OF82.0   -2.8372    0.00 9.3581     0.00    0.00    0.00    0.00    0.00
OF85.3   -2.8069    0.00 9.3613     0.00    0.00    0.00    0.00    0.00
OF88.6   -2.7766    0.00 9.3648     0.00    0.00    0.00    0.00    0.00
OF91.9   -2.7463    0.00 9.3678     0.00    0.00    0.00    0.00    0.00
OF95.1   -2.716     0.00 9.3708     0.00    0.00    0.00    0.00    0.00
OF98.4   -2.6857    0.00 9.3738     0.00    0.00    0.00    0.00    0.00
OF101.7  -2.6554    0.00 9.3773     0.00    0.00    0.00    0.00    0.00
OF105.0  -2.6251    0.00 9.3808     0.00    0.00    0.00    0.00    0.00
OF108.3  -2.5948    0.00 9.3842     0.00    0.00    0.00    0.00    0.00
OF111.5  -2.5645    0.00 9.3875     0.00    0.00    0.00    0.00    0.00
OF114.8  -2.5342    0.00 9.3907     0.00    0.00    0.00    0.00    0.00
OF118.1  -2.5039    0.00 9.3938     0.00    0.00    0.00    0.00    0.00
OF121.4  -2.4736    0.00 9.3969     0.00    0.00    0.00    0.00    0.00
OF124.7  -2.4433    0.00 9.3999     0.00    0.00    0.00    0.00    0.00
OF128.0  -2.413     0.00 9.4029     0.00    0.00    0.00    0.00    0.00
OF131.2  -2.3827    0.00 9.406      0.00    0.00    0.00    0.00    0.00
OF134.5  -2.3524    0.00 9.4086     0.00    0.00    0.00    0.00    0.00
OF137.8  -2.3221    0.00 9.4111     0.00    0.00    0.00    0.00    0.00
OF141.1  -2.2918    0.00 9.4136     0.00    0.00    0.00    0.00    0.00
OF144.4  -2.2615    0.00 9.4161     0.00    0.00    0.00    0.00    0.00
OF147.6  -2.2312    0.00 9.4185     0.00    0.00    0.00    0.00    0.00
OF150.9  -2.2009    0.00 9.4209     0.00    0.00    0.00    0.00    0.00
OF154.2  -2.1706    0.00 9.4232     0.00    0.00    0.00    0.00    0.00
OF157.5  -2.1403    0.00 9.4255     0.00    0.00    0.00    0.00    0.00
OF160.8  -2.11      0.00 9.4278     0.00    0.00    0.00    0.00    0.00
OF164.0  -2.0797    0.00 9.43       0.00    0.00    0.00    0.00    0.00
OF167.3  -2.0494    0.00 9.4323     0.00    0.00    0.00    0.00    0.00
OF170.6  -2.0191    0.00 9.4345     0.00    0.00    0.00    0.00    0.00
OF173.9  -1.9888    0.00 9.4371     0.00    0.00    0.00    0.00    0.00
OF177.2  -1.8941    0.00 9.4386     0.00    0.00    0.00    0.00    0.00
OF180.4  -1.7623    0.00 9.4397     0.00    0.00    0.00    0.00    0.00
OF183.7  -1.7401    0.00 9.442      0.00    0.00    0.00    0.00    0.00
OF187.0  -1.775     0.00 9.445      0.00    0.00    0.00    0.00    0.00
OF190.3  -1.7806    0.00 9.4474     0.00    0.00    0.00    0.00    0.00
OF193.6  -1.7601    0.00 9.4498     0.00    0.00    0.00    0.00    0.00
OF196.8  -1.5782    0.00 9.45       0.00    0.00    0.00    0.00    0.00
OF200.1  -1.5412    0.00 9.4522     0.00    0.00    0.00    0.00    0.00
OF203.4  -1.5221    0.00 9.4544     0.00    0.00    0.00    0.00    0.00
OF206.7  -1.5249    0.00 9.4569     0.00    0.00    0.00    0.00    0.00
OF210.0  -1.5466    0.00 9.4598     0.00    0.00    0.00    0.00    0.00
OF213.3  -1.5074    0.00 9.4618     0.00    0.00    0.00    0.00    0.00
OF216.5  -1.4891    0.00 9.4637     0.00    0.00    0.00    0.00    0.00
OF219.8  -1.1303    0.00 9.462      0.00    0.00    0.00    0.00    0.00
OF223.1  -0.8045    0.00 9.4608     0.00    0.00    0.00    0.00    0.00
OF226.4  -0.21      0.00 9.4565     0.00    0.00    0.00    0.00    0.00
IF229.7  0.36272    0.00 9.4531     0.00    0.00    0.00    0.00    0.00
IF232.9  0.95898    0.00 9.4498     0.00    0.00    0.00    0.00    0.00
IF236.2  1.6798     0.00 9.4452     0.00    0.00    0.00    0.00    0.00
IF239.5  2.2294     0.00 9.4467     0.00    0.00    0.00    0.00    0.00
IF242.8  2.6925     0.00 9.454      0.00    0.00    0.00    0.00    0.00
IF246.1  3.1486     0.00 9.4645     0.00    0.00    0.00    0.00    0.00
IF249.3  3.6614     0.00 9.4789     0.00    0.00    0.00    0.00    0.00
IF252.6  4.276      0.00 9.4977     0.00    0.00    0.00    0.00    0.00
IF255.9  5.0321     0.00 9.5121     0.00    0.00    0.00    0.00    0.00
IF259.2  5.6559     0.00 9.5367     0.00    0.00    0.00    0.00    0.00
IF262.5  6.2774     0.00 9.6112     0.00    0.00    0.00    0.00    0.00
IF265.7  6.9407     0.00 9.7843     0.00    0.00    0.00    0.00    0.00
IF269.0  7.7487     0.00 9.9903     0.00    0.00    0.00    0.00    0.00
IF272.3  8.2591     0.00 10.1323    0.00    0.00    0.00    0.00    0.00
IF275.6  8.5566     0.00 10.2204    0.00    0.00    0.00    0.00    0.00
IF278.9  8.9059     0.00 10.3143    0.00    0.00    0.00    0.00    0.00
IF282.2  9.0658     0.00 10.355     0.00    0.00    0.00    0.00    0.00
IF288.0  9.5158     0.00 10.355     0.00    0.00    0.00    0.00    0.00
IF289.0  9.6245     0.00 10.355     0.00    0.00    0.00    0.00    0.00
IF293.0  10.355     0.00 10.355     0.00    0.00    0.00    0.00    0.00
AS392.8  9.4577     0.00 9.4577     0.00    0.00    0.00    0.00    0.00
IF393.0  9.4491     0.00 9.4577     0.00    0.00    0.00    0.00    0.00
IF398.0  9.338      0.00 9.4577     0.00    0.00    0.00    0.00    0.00
IF422.0  8.0617     0.00 9.4577     0.00    0.00    0.00    0.00    0.00
IF426.0  7.1873     0.00 9.4577     0.00    0.00    0.00    0.00    0.00
IF443.0  5.713      0.00 9.4577     0.00    0.00    0.00    0.00    0.00
IF453.0  5.8703     0.00 9.4577     0.00    0.00    0.00    0.00    0.00
IF501.0  5.6534     0.00 9.4581     0.00    0.00    0.00    0.00    0.00
IF502.0  5.5929     0.00 9.4581     0.00    0.00    0.00    0.00    0.00
IF527.0  8.1822     0.00 9.4584     0.00    0.00    0.00    0.00    0.00
IF530.0  7.977      0.00 9.4584     0.00    0.00    0.00    0.00    0.00
IF552.0  6.5356     0.00 9.4587     0.00    0.00    0.00    0.00    0.00
IF576.0  5.8976     0.00 9.459      0.00    0.00    0.00    0.00    0.00
IF594.0  5.1609     0.00 9.4592     0.00    0.00    0.00    0.00    0.00
IF613.0  5.299      0.00 9.4595     0.00    0.00    0.00    0.00    0.00
IF635.0  5.5312     0.00 9.4598     0.00    0.00    0.00    0.00    0.00
IF646.0  5.3123     0.00 9.4599     0.00    0.00    0.00    0.00    0.00
IF679.0  5.3737     0.00 9.4604     0.00    0.00    0.00    0.00    0.00
IF686.0  5.1371     0.00 9.4604     0.00    0.00    0.00    0.00    0.00
IF731.0  4.7216     0.00 9.4611     0.00    0.00    0.00    0.00    0.00
IF732.0  4.6195     0.00 9.4611     0.00    0.00    0.00    0.00    0.00
IF815.0  5.4688     0.00 9.4616     0.00    0.00    0.00    0.00    0.00
IF816.0  5.4084     0.00 9.4616     0.00    0.00    0.00    0.00    0.00
IF841.0  5.2153     0.00 9.4618     0.00    0.00    0.00    0.00    0.00
IF870.0  5.0838     0.00 9.4621     0.00    0.00    0.00    0.00    0.00
IF871.0  5.0614     0.00 9.4621     0.00    0.00    0.00    0.00    0.00
IF898.0  5.5494     0.00 9.4624     0.00    0.00    0.00    0.00    0.00
IF912.0  5.3107     0.00 9.4625     0.00    0.00    0.00    0.00    0.00
IF932.0  5.2587     0.00 9.4628     0.00    0.00    0.00    0.00    0.00
IF936.0  5.2189     0.00 9.4628     0.00    0.00    0.00    0.00    0.00
IF957.0  5.2322     0.00 9.463      0.00    0.00    0.00    0.00    0.00
IF958.0  5.2226     0.00 9.463      0.00    0.00    0.00    0.00    0.00
IF1006.0 5.3399     0.00 9.4631     0.00    0.00    0.00    0.00    0.00
IF1007.0 5.3433     0.00 9.4631     0.00    0.00    0.00    0.00    0.00
IF1028.0 5.5112     0.00 9.4631     0.00    0.00    0.00    0.00    0.00
IF1061.0 5.3607     0.00 9.4631     0.00    0.00    0.00    0.00    0.00
IF1081.0 5.4308     0.00 9.4631     0.00    0.00    0.00    0.00    0.00
IF1082.0 5.4333     0.00 9.4631     0.00    0.00    0.00    0.00    0.00
IF1105.0 5.4412     0.00 9.4631     0.00    0.00    0.00    0.00    0.00
IF1106.0 5.4245     0.00 9.4631     0.00    0.00    0.00    0.00    0.00
IF1129.0 5.4686     0.00 9.4632     0.00    0.00    0.00    0.00    0.00
IF1130.0 5.4633     0.00 9.4632     0.00    0.00    0.00    0.00    0.00
IF1156.0 5.4052     0.00 9.4633     0.00    0.00    0.00    0.00    0.00
IF1171.0 5.3695     0.00 9.4633     0.00    0.00    0.00    0.00    0.00
IF1189.0 5.1705     0.00 9.4634     0.00    0.00    0.00    0.00    0.00
IF1202.0 4.7034     0.00 9.4636     0.00    0.00    0.00    0.00    0.00
IF1224.0 4.8088     0.00 9.464      0.00    0.00    0.00    0.00    0.00
IF1227.0 4.1158     0.00 9.4641     0.00    0.00    0.00    0.00    0.00
IF1279.0 2.222      0.00 9.465      0.00    0.00    0.00    0.00    0.00
IF1310.0 1.8153     0.00 9.4656     0.00    0.00    0.00    0.00    0.00
IF1343.0 5.4624     0.00 9.4662     0.00    0.00    0.00    0.00    0.00
IF1344.0 5.4366     0.00 9.4662     0.00    0.00    0.00    0.00    0.00
IF1376.0 5.4976     0.00 9.4667     0.00    0.00    0.00    0.00    0.00
IF1377.0 5.4599     0.00 9.4667     0.00    0.00    0.00    0.00    0.00
IF1407.0 5.4687     0.00 9.4671     0.00    0.00    0.00    0.00    0.00
IF1421.0 5.3835     0.00 9.4673     0.00    0.00    0.00    0.00    0.00
IF1428.0 5.4337     0.00 9.4674     0.00    0.00    0.00    0.00    0.00
IF1444.0 5.6113     0.00 9.4676     0.00    0.00    0.00    0.00    0.00
IF1465.0 5.5626     0.00 9.4683     0.00    0.00    0.00    0.00    0.00
IF1468.0 5.3912     0.00 9.4684     0.00    0.00    0.00    0.00    0.00
IF1500.0 5.5554     0.00 9.4702     0.00    0.00    0.00    0.00    0.00
