type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IE,0,361192.0982,4771277.7202,-70.7052284836869,43.0815121048312,-16.992,9.024,9.37,15.58,9.61
OF,1,361192.138721773,4771278.02229501,-70.7052280615328,43.081514831395,-17.024,9.024,9.37,15.58,9.61
OF,2,361192.179243546,4771278.32439003,-70.7052276393787,43.0815175579588,-17.056,9.024,9.36,15.58,9.61
OF,3,361192.219765318,4771278.62648504,-70.7052272172245,43.0815202845225,-17.089,9.024,9.36,15.58,9.61
OF,4,361192.260287091,4771278.92858006,-70.7052267950704,43.0815230110863,-17.120,9.024,9.36,15.58,9.61
OF,5,361192.300808864,4771279.23067507,-70.7052263729162,43.0815257376501,-17.148,9.024,9.36,15.57,9.61
OF,6,361192.341330637,4771279.53277009,-70.7052259507619,43.0815284642139,-17.175,9.024,9.35,15.57,9.61
OF,7,361192.381852409,4771279.8348651,-70.7052255286076,43.0815311907776,-17.203,9.024,9.35,15.57,9.61
OF,8,361192.422374182,4771280.13696011,-70.7052251064533,43.0815339173414,-17.230,9.024,9.35,15.57,9.61
OF,9,361192.462895955,4771280.43905513,-70.705224684299,43.0815366439051,-17.258,9.024,9.35,15.57,9.61
OF,10,361192.503417728,4771280.74115014,-70.7052242621446,43.0815393704689,-17.285,9.024,9.34,15.57,9.61
OF,11,361192.5439395,4771281.04324516,-70.7052238399902,43.0815420970327,-17.313,9.024,9.34,15.56,9.61
OF,12,361192.584461273,4771281.34534017,-70.7052234178358,43.0815448235964,-17.340,9.024,9.34,15.56,9.61
OF,13,361192.624983046,4771281.64743518,-70.7052229956813,43.0815475501602,-17.368,9.024,9.34,15.56,9.61
OF,14,361192.665504819,4771281.9495302,-70.7052225735268,43.0815502767239,-17.395,9.024,9.34,15.56,9.61
OF,15,361192.706026592,4771282.25162521,-70.7052221513722,43.0815530032877,-17.423,9.024,9.33,15.56,9.61
OF,16,361192.746548364,4771282.55372023,-70.7052217292176,43.0815557298514,-17.450,9.024,9.33,15.56,9.61
OF,17,361192.787070137,4771282.85581524,-70.705221307063,43.0815584564152,-17.478,9.024,9.33,15.55,9.61
OF,18,361192.82759191,4771283.15791025,-70.7052208849084,43.0815611829789,-17.505,9.024,9.33,15.55,9.61
OF,19,361192.868113683,4771283.46000527,-70.7052204627537,43.0815639095426,-17.533,9.024,9.32,15.55,9.61
OF,20,361192.908635455,4771283.76210028,-70.705220040599,43.0815666361064,-17.560,9.024,9.32,15.55,9.61
OF,21,361192.949157228,4771284.0641953,-70.7052196184442,43.0815693626701,-17.588,9.024,9.32,15.55,9.61
OF,22,361192.989679001,4771284.36629031,-70.7052191962895,43.0815720892339,-17.615,9.024,9.32,15.55,9.61
OF,23,361193.030200774,4771284.66838532,-70.7052187741347,43.0815748157976,-17.643,9.024,9.31,15.54,9.61
OF,24,361193.070722546,4771284.97048034,-70.7052183519798,43.0815775423613,-17.670,9.024,9.31,15.54,9.61
OF,25,361193.111244319,4771285.27257535,-70.7052179298249,43.081580268925,-17.621,9.024,9.32,15.55,9.61
OF,26,361193.151766092,4771285.57467037,-70.70521750767,43.0815829954888,-17.564,9.024,9.32,15.55,9.61
OF,27,361193.192287865,4771285.87676538,-70.705217085515,43.0815857220525,-17.506,9.024,9.33,15.55,9.61
OF,28,361193.232809638,4771286.1788604,-70.7052166633601,43.0815884486162,-17.449,9.024,9.33,15.56,9.61
OF,29,361193.27333141,4771286.48095541,-70.705216241205,43.0815911751799,-17.392,9.024,9.34,15.56,9.61
OF,30,361193.313853183,4771286.78305042,-70.70521581905,43.0815939017436,-17.334,9.024,9.34,15.56,9.61
OF,31,361193.354374956,4771287.08514544,-70.7052153968949,43.0815966283073,-17.277,9.024,9.35,15.57,9.61
OF,32,361193.394896729,4771287.38724045,-70.7052149747398,43.0815993548711,-17.219,9.024,9.35,15.57,9.61
OF,33,361193.435418501,4771287.68933547,-70.7052145525846,43.0816020814348,-17.162,9.024,9.36,15.57,9.61
OF,34,361193.475940274,4771287.99143048,-70.7052141304295,43.0816048079985,-17.105,9.024,9.36,15.58,9.61
OF,35,361193.516462047,4771288.29352549,-70.7052137082742,43.0816075345622,-17.047,9.024,9.37,15.58,9.61
OF,36,361193.55698382,4771288.59562051,-70.705213286119,43.0816102611259,-16.990,9.024,9.37,15.59,9.61
OF,37,361193.597505593,4771288.89771552,-70.7052128639637,43.0816129876896,-16.932,9.024,9.38,15.59,9.61
OF,38,361193.638027365,4771289.19981054,-70.7052124418084,43.0816157142533,-16.875,9.024,9.39,15.59,9.61
OF,39,361193.678549138,4771289.50190555,-70.705212019653,43.081618440817,-16.818,9.024,9.39,15.60,9.61
OF,40,361193.719070911,4771289.80400057,-70.7052115974976,43.0816211673807,-16.760,9.024,9.40,15.60,9.61
OF,41,361193.759592684,4771290.10609558,-70.7052111753422,43.0816238939444,-16.703,9.024,9.40,15.60,9.61
OF,42,361193.800114456,4771290.40819059,-70.7052107531868,43.0816266205081,-16.645,9.024,9.41,15.61,9.61
OF,43,361193.840636229,4771290.71028561,-70.7052103310313,43.0816293470717,-16.588,9.024,9.41,15.61,9.61
OF,44,361193.881158002,4771291.01238062,-70.7052099088758,43.0816320736354,-16.533,9.024,9.42,15.62,9.61
OF,45,361193.921679775,4771291.31447564,-70.7052094867202,43.0816348001991,-16.481,9.024,9.42,15.62,9.61
OF,46,361193.962201547,4771291.61657065,-70.7052090645646,43.0816375267628,-16.430,9.024,9.43,15.62,9.61
OF,47,361194.00272332,4771291.91866566,-70.705208642409,43.0816402533265,-16.378,9.024,9.43,15.63,9.61
OF,48,361194.043245093,4771292.22076068,-70.7052082202533,43.0816429798902,-16.327,9.024,9.44,15.63,9.61
OF,49,361194.083766866,4771292.52285569,-70.7052077980976,43.0816457064538,-16.275,9.024,9.44,15.63,9.61
OF,50,361194.124288639,4771292.82495071,-70.7052073759419,43.0816484330175,-16.224,9.024,9.45,15.64,9.61
OF,51,361194.164810411,4771293.12704572,-70.7052069537862,43.0816511595812,-16.172,9.024,9.45,15.64,9.61
OF,52,361194.205332184,4771293.42914074,-70.7052065316304,43.0816538861449,-16.121,9.024,9.46,15.64,9.61
OF,53,361194.245853957,4771293.73123575,-70.7052061094745,43.0816566127085,-16.069,9.024,9.46,15.65,9.61
OF,54,361194.28637573,4771294.03333076,-70.7052056873187,43.0816593392722,-16.018,9.024,9.47,15.65,9.61
OF,55,361194.326897502,4771294.33542578,-70.7052052651628,43.0816620658358,-15.966,9.024,9.47,15.66,9.61
OF,56,361194.367419275,4771294.63752079,-70.7052048430069,43.0816647923995,-15.915,9.024,9.48,15.66,9.61
OF,57,361194.407941048,4771294.93961581,-70.7052044208509,43.0816675189632,-15.863,9.024,9.48,15.66,9.61
OF,58,361194.448462821,4771295.24171082,-70.7052039986949,43.0816702455268,-15.812,9.024,9.49,15.67,9.61
OF,59,361194.488984593,4771295.54380583,-70.7052035765389,43.0816729720905,-15.761,9.024,9.49,15.67,9.61
OF,60,361194.529506366,4771295.84590085,-70.7052031543828,43.0816756986541,-15.709,9.024,9.50,15.67,9.61
OF,61,361194.570028139,4771296.14799586,-70.7052027322267,43.0816784252178,-15.658,9.024,9.51,15.68,9.61
OF,62,361194.610549912,4771296.45009088,-70.7052023100706,43.0816811517814,-15.606,9.024,9.51,15.68,9.61
OF,63,361194.651071685,4771296.75218589,-70.7052018879144,43.0816838783451,-15.555,9.024,9.52,15.68,9.61
OF,64,361194.691593457,4771297.05428091,-70.7052014657582,43.0816866049087,-15.503,9.024,9.52,15.69,9.61
OF,65,361194.73211523,4771297.35637592,-70.705201043602,43.0816893314723,-15.452,9.024,9.53,15.69,9.61
OF,66,361194.772637003,4771297.65847093,-70.7052006214458,43.081692058036,-15.400,9.024,9.53,15.70,9.61
OF,67,361194.813158776,4771297.96056595,-70.7052001992895,43.0816947845996,-15.349,9.024,9.54,15.70,9.61
OF,68,361194.853680548,4771298.26266096,-70.7051997771331,43.0816975111633,-15.297,9.024,9.54,15.70,9.61
OF,69,361194.894202321,4771298.56475598,-70.7051993549768,43.0817002377269,-15.246,9.024,9.55,15.71,9.61
OF,70,361194.934724094,4771298.86685099,-70.7051989328204,43.0817029642905,-15.194,9.024,9.55,15.71,9.61
OF,71,361194.975245867,4771299.168946,-70.7051985106639,43.0817056908541,-15.143,9.024,9.56,15.72,9.61
OF,72,361195.01576764,4771299.47104102,-70.7051980885075,43.0817084174178,-15.091,9.024,9.56,15.72,9.61
OF,73,361195.056289412,4771299.77313603,-70.705197666351,43.0817111439814,-15.040,9.024,9.57,15.72,9.61
OF,74,361195.096811185,4771300.07523105,-70.7051972441944,43.081713870545,-14.989,9.024,9.58,15.73,9.61
OF,75,361195.137332958,4771300.37732606,-70.7051968220379,43.0817165971086,-14.937,9.024,9.58,15.73,9.61
OF,76,361195.177854731,4771300.67942107,-70.7051963998813,43.0817193236723,-14.886,9.024,9.59,15.73,9.61
OF,77,361195.218376503,4771300.98151609,-70.7051959777246,43.0817220502359,-14.834,9.024,9.59,15.74,9.61
OF,78,361195.258898276,4771301.2836111,-70.705195555568,43.0817247767995,-14.783,9.024,9.60,15.74,9.61
OF,79,361195.299420049,4771301.58570612,-70.7051951334113,43.0817275033631,-14.731,9.024,9.60,15.75,9.61
OF,80,361195.339941822,4771301.88780113,-70.7051947112545,43.0817302299267,-14.680,9.024,9.61,15.75,9.61
OF,81,361195.380463594,4771302.18989614,-70.7051942890978,43.0817329564903,-14.628,9.024,9.62,15.75,9.61
OF,82,361195.420985367,4771302.49199116,-70.705193866941,43.0817356830539,-14.577,9.024,9.62,15.76,9.61
OF,83,361195.46150714,4771302.79408617,-70.7051934447841,43.0817384096175,-14.525,9.024,9.63,15.76,9.61
OF,84,361195.502028913,4771303.09618119,-70.7051930226273,43.0817411361811,-14.474,9.024,9.63,15.77,9.61
OF,85,361195.542550686,4771303.3982762,-70.7051926004704,43.0817438627447,-14.422,9.024,9.64,15.77,9.61
OF,86,361195.583072458,4771303.70037122,-70.7051921783134,43.0817465893083,-14.371,9.024,9.64,15.77,9.61
OF,87,361195.623594231,4771304.00246623,-70.7051917561565,43.0817493158719,-14.319,9.024,9.65,15.78,9.61
OF,88,361195.664116004,4771304.30456124,-70.7051913339995,43.0817520424355,-14.268,9.024,9.66,15.78,9.61
OF,89,361195.704637777,4771304.60665626,-70.7051909118424,43.0817547689991,-14.217,9.024,9.66,15.79,9.61
OF,90,361195.745159549,4771304.90875127,-70.7051904896854,43.0817574955627,-14.165,9.024,9.67,15.79,9.61
OF,91,361195.785681322,4771305.21084629,-70.7051900675283,43.0817602221262,-14.114,9.024,9.67,15.80,9.61
OF,92,361195.826203095,4771305.5129413,-70.7051896453711,43.0817629486898,-14.062,9.024,9.68,15.80,9.61
OF,93,361195.866724868,4771305.81503631,-70.7051892232139,43.0817656752534,-14.011,9.024,9.68,15.80,9.61
OF,94,361195.90724664,4771306.11713133,-70.7051888010567,43.081768401817,-13.959,9.024,9.69,15.81,9.61
OF,95,361195.947768413,4771306.41922634,-70.7051883788995,43.0817711283806,-13.908,9.024,9.70,15.81,9.61
OF,96,361195.988290186,4771306.72132136,-70.7051879567422,43.0817738549441,-13.856,9.024,9.70,15.82,9.61
OF,97,361196.028811959,4771307.02341637,-70.7051875345849,43.0817765815077,-13.805,9.024,9.71,15.82,9.61
OF,98,361196.069333732,4771307.32551139,-70.7051871124276,43.0817793080713,-13.753,9.024,9.72,15.82,9.61
OF,99,361196.109855504,4771307.6276064,-70.7051866902702,43.0817820346348,-13.702,9.024,9.72,15.83,9.61
OF,100,361196.150377277,4771307.92970141,-70.7051862681128,43.0817847611984,-13.650,9.024,9.73,15.83,9.61
OF,101,361196.19089905,4771308.23179643,-70.7051858459554,43.081787487762,-13.599,9.024,9.73,15.84,9.61
OF,102,361196.231420823,4771308.53389144,-70.7051854237979,43.0817902143255,-13.547,9.024,9.74,15.84,9.61
OF,103,361196.271942595,4771308.83598646,-70.7051850016404,43.0817929408891,-13.496,9.024,9.75,15.85,9.61
OF,104,361196.312464368,4771309.13808147,-70.7051845794828,43.0817956674526,-13.445,9.024,9.75,15.85,9.61
OF,105,361196.352986141,4771309.44017648,-70.7051841573253,43.0817983940162,-13.393,9.024,9.76,15.85,9.61
OF,106,361196.393507914,4771309.7422715,-70.7051837351677,43.0818011205797,-13.342,9.024,9.76,15.86,9.61
OF,107,361196.434029686,4771310.04436651,-70.70518331301,43.0818038471433,-13.290,9.024,9.77,15.86,9.61
OF,108,361196.474551459,4771310.34646153,-70.7051828908523,43.0818065737068,-13.239,9.024,9.78,15.87,9.61
OF,109,361196.515073232,4771310.64855654,-70.7051824686946,43.0818093002704,-13.167,9.024,9.79,15.87,9.61
OF,110,361196.555595005,4771310.95065156,-70.7051820465369,43.0818120268339,-13.071,9.024,9.80,15.88,9.61
OF,111,361196.596116778,4771311.25274657,-70.7051816243791,43.0818147533975,-12.974,9.024,9.81,15.89,9.61
OF,112,361196.63663855,4771311.55484158,-70.7051812022213,43.081817479961,-12.877,9.024,9.82,15.90,9.61
OF,113,361196.677160323,4771311.8569366,-70.7051807800635,43.0818202065245,-12.780,9.024,9.83,15.91,9.61
OF,114,361196.717682096,4771312.15903161,-70.7051803579056,43.0818229330881,-12.684,9.024,9.85,15.92,9.61
OF,115,361196.758203869,4771312.46112663,-70.7051799357477,43.0818256596516,-12.587,9.024,9.86,15.93,9.61
OF,116,361196.798725641,4771312.76322164,-70.7051795135897,43.0818283862151,-12.490,9.024,9.87,15.93,9.61
OF,117,361196.839247414,4771313.06531665,-70.7051790914317,43.0818311127787,-12.393,9.024,9.88,15.94,9.61
OF,118,361196.879769187,4771313.36741167,-70.7051786692737,43.0818338393422,-12.297,9.024,9.90,15.95,9.61
OF,119,361196.92029096,4771313.66950668,-70.7051782471157,43.0818365659057,-12.200,9.024,9.91,15.96,9.61
OF,120,361196.960812733,4771313.9716017,-70.7051778249576,43.0818392924692,-12.103,9.024,9.92,15.97,9.61
OF,121,361197.001334505,4771314.27369671,-70.7051774027995,43.0818420190328,-12.007,9.024,9.94,15.98,9.61
OF,122,361197.041856278,4771314.57579172,-70.7051769806413,43.0818447455963,-11.910,9.024,9.95,15.99,9.61
OF,123,361197.082378051,4771314.87788674,-70.7051765584831,43.0818474721598,-11.813,9.024,9.96,16.00,9.61
OF,124,361197.122899824,4771315.17998175,-70.7051761363249,43.0818501987233,-11.716,9.024,9.98,16.01,9.61
OF,125,361197.163421596,4771315.48207677,-70.7051757141667,43.0818529252868,-11.620,9.024,9.99,16.02,9.61
OF,126,361197.203943369,4771315.78417178,-70.7051752920084,43.0818556518503,-11.523,9.024,10.00,16.03,9.61
OF,127,361197.244465142,4771316.0862668,-70.7051748698501,43.0818583784138,-11.426,9.024,10.02,16.04,9.61
OF,128,361197.284986915,4771316.38836181,-70.7051744476917,43.0818611049773,-11.329,9.024,10.03,16.04,9.61
OF,129,361197.325508687,4771316.69045682,-70.7051740255334,43.0818638315408,-11.232,9.024,10.04,16.05,9.61
OF,130,361197.36603046,4771316.99255184,-70.7051736033749,43.0818665581044,-11.134,9.024,10.06,16.06,9.61
OF,131,361197.406552233,4771317.29464685,-70.7051731812165,43.0818692846678,-11.035,9.024,10.07,16.07,9.61
OF,132,361197.447074006,4771317.59674187,-70.705172759058,43.0818720112313,-10.936,9.024,10.09,16.08,9.61
OF,133,361197.487595779,4771317.89883688,-70.7051723368995,43.0818747377948,-10.837,9.024,10.10,16.09,9.61
OF,134,361197.528117551,4771318.20093189,-70.7051719147409,43.0818774643583,-10.738,9.024,10.12,16.11,9.61
OF,135,361197.568639324,4771318.50302691,-70.7051714925824,43.0818801909218,-10.639,9.024,10.13,16.12,9.61
OF,136,361197.609161097,4771318.80512192,-70.7051710704237,43.0818829174853,-10.540,9.024,10.15,16.13,9.61
OF,137,361197.64968287,4771319.10721694,-70.7051706482651,43.0818856440488,-10.441,9.024,10.16,16.14,9.61
OF,138,361197.690204642,4771319.40931195,-70.7051702261064,43.0818883706123,-10.342,9.024,10.18,16.15,9.61
OF,139,361197.730726415,4771319.71140696,-70.7051698039477,43.0818910971757,-10.243,9.024,10.19,16.16,9.61
OF,140,361197.771248188,4771320.01350198,-70.7051693817889,43.0818938237392,-10.144,9.024,10.21,16.17,9.61
OF,141,361197.811769961,4771320.31559699,-70.7051689596301,43.0818965503027,-10.045,9.024,10.22,16.18,9.61
OF,142,361197.852291733,4771320.61769201,-70.7051685374713,43.0818992768662,-9.947,9.024,10.24,16.19,9.61
OF,143,361197.892813506,4771320.91978702,-70.7051681153125,43.0819020034296,-9.848,9.024,10.26,16.20,9.61
OF,144,361197.933335279,4771321.22188204,-70.7051676931536,43.0819047299931,-9.749,9.024,10.27,16.21,9.61
OF,145,361197.973857052,4771321.52397705,-70.7051672709947,43.0819074565566,-9.650,9.024,10.29,16.23,9.61
OF,146,361198.014378825,4771321.82607206,-70.7051668488357,43.08191018312,-9.551,9.024,10.30,16.24,9.61
OF,147,361198.054900597,4771322.12816708,-70.7051664266767,43.0819129096835,-9.452,9.024,10.32,16.25,9.61
OF,148,361198.09542237,4771322.43026209,-70.7051660045177,43.081915636247,-9.353,9.024,10.34,16.26,9.61
OF,149,361198.135944143,4771322.73235711,-70.7051655823586,43.0819183628104,-9.254,9.024,10.35,16.27,9.61
OF,150,361198.176465916,4771323.03445212,-70.7051651601995,43.0819210893739,-9.156,9.024,10.37,16.28,9.61
OF,151,361198.216987688,4771323.33654713,-70.7051647380404,43.0819238159373,-9.057,9.024,10.39,16.30,9.61
OF,152,361198.257509461,4771323.63864215,-70.7051643158813,43.0819265425008,-8.958,9.024,10.41,16.31,9.61
OF,153,361198.298031234,4771323.94073716,-70.7051638937221,43.0819292690643,-8.859,9.024,10.42,16.32,9.61
OF,154,361198.338553007,4771324.24283218,-70.7051634715628,43.0819319956277,-8.760,9.024,10.44,16.33,9.61
OF,155,361198.37907478,4771324.54492719,-70.7051630494036,43.0819347221911,-8.661,9.024,10.46,16.35,9.61
OF,156,361198.419596552,4771324.8470222,-70.7051626272443,43.0819374487546,-8.562,9.024,10.48,16.36,9.61
OF,157,361198.460118325,4771325.14911722,-70.705162205085,43.081940175318,-8.463,9.024,10.47,16.35,9.61
OF,158,361198.500640098,4771325.45121223,-70.7051617829256,43.0819429018815,-8.364,9.023,10.45,16.34,9.61
OF,159,361198.541161871,4771325.75330725,-70.7051613607662,43.0819456284449,-8.265,9.023,10.44,16.33,9.61
OF,160,361198.581683643,4771326.05540226,-70.7051609386068,43.0819483550083,-8.166,9.023,10.43,16.32,9.61
OF,161,361198.622205416,4771326.35749728,-70.7051605164473,43.0819510815718,-8.067,9.023,10.42,16.32,9.61
OF,162,361198.662727189,4771326.65959229,-70.7051600942878,43.0819538081352,-7.968,9.023,10.41,16.31,9.61
OF,163,361198.703248962,4771326.9616873,-70.7051596721283,43.0819565346986,-7.870,9.023,10.40,16.30,9.61
OF,164,361198.743770734,4771327.26378232,-70.7051592499687,43.081959261262,-7.771,9.023,10.38,16.29,9.61
OF,165,361198.784292507,4771327.56587733,-70.7051588278092,43.0819619878255,-7.672,9.023,10.37,16.28,9.61
OF,166,361198.82481428,4771327.86797235,-70.7051584056495,43.0819647143889,-7.573,9.023,10.36,16.27,9.61
OF,167,361198.865336053,4771328.17006736,-70.7051579834899,43.0819674409523,-7.474,9.023,10.35,16.27,9.61
OF,168,361198.905857826,4771328.47216237,-70.7051575613302,43.0819701675157,-7.375,9.023,10.33,16.26,9.61
OF,169,361198.946379598,4771328.77425739,-70.7051571391704,43.0819728940791,-7.276,9.023,10.32,16.25,9.61
OF,170,361198.986901371,4771329.0763524,-70.7051567170107,43.0819756206426,-7.177,9.023,10.31,16.24,9.61
OF,171,361199.027423144,4771329.37844742,-70.7051562948509,43.081978347206,-7.078,9.023,10.29,16.23,9.61
OF,172,361199.067944917,4771329.68054243,-70.7051558726911,43.0819810737694,-6.979,9.023,10.28,16.22,9.61
OF,173,361199.108466689,4771329.98263745,-70.7051554505312,43.0819838003328,-6.880,9.023,10.27,16.21,9.61
OF,174,361199.148988462,4771330.28473246,-70.7051550283713,43.0819865268962,-6.781,9.023,10.25,16.20,9.61
OF,175,361199.189510235,4771330.58682747,-70.7051546062114,43.0819892534596,-6.682,9.023,10.24,16.19,9.61
OF,176,361199.230032008,4771330.88892249,-70.7051541840514,43.081991980023,-6.583,9.023,10.23,16.18,9.61
OF,177,361199.27055378,4771331.1910175,-70.7051537618914,43.0819947065864,-6.485,9.023,10.21,16.17,9.61
OF,178,361199.311075553,4771331.49311252,-70.7051533397314,43.0819974331498,-6.437,9.023,10.21,16.17,9.61
OF,179,361199.351597326,4771331.79520753,-70.7051529175713,43.0820001597132,-6.483,9.023,10.22,16.17,9.61
OF,180,361199.392119099,4771332.09730254,-70.7051524954112,43.0820028862766,-6.530,9.023,10.23,16.18,9.61
OF,181,361199.432640872,4771332.39939756,-70.7051520732511,43.08200561284,-6.576,9.023,10.24,16.19,9.61
