type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IE,0,364553.2393,4770947.9307,-70.6638744162265,43.0791513678526,-6.468,9.190,11.92,17.53,14.03
OF,8,364550.808639681,4770948.12488743,-70.6639043102746,43.0791526816818,-6.455,9.193,11.91,17.53,14.03
OF,9,364550.504807141,4770948.14916086,-70.6639080470307,43.0791528459099,-6.453,9.193,11.91,17.53,14.03
OF,20,364547.162649203,4770948.41616859,-70.6639491513486,43.079154652411,-6.435,9.197,11.90,17.53,14.03
OF,21,364546.858816663,4770948.44044201,-70.6639528881049,43.0791548166377,-6.433,9.197,11.90,17.53,14.03
OF,32,364543.516658725,4770948.70744974,-70.663993992425,43.0791566231226,-6.414,9.201,11.89,17.52,14.03
OF,33,364543.212826185,4770948.73172317,-70.6639977291815,43.0791567873478,-6.413,9.202,11.89,17.52,14.03
OF,45,364539.566835707,4770949.02300432,-70.6640425702604,43.0791587580403,-7.258,9.208,12.06,17.65,14.03
OF,49.2,364538.29073904,4770949.12495272,-70.6640582646386,43.0791594477785,-7.150,9.197,12.04,17.62,14.03
OF,52.5,364537.288091659,4770949.20505504,-70.664070595936,43.0791599897141,-7.065,9.203,12.03,17.62,14.03
OF,55.8,364536.285444277,4770949.28515735,-70.6640829272335,43.0791605316485,-6.981,9.210,12.01,17.62,14.03
OF,59.1,364535.282796896,4770949.36525967,-70.6640952585312,43.0791610735814,-6.897,9.216,12.00,17.62,14.03
OF,62.3,364534.310532768,4770949.44293464,-70.6641072161533,43.0791615990909,-6.812,9.222,11.99,17.61,14.03
OF,65.6,364533.307885387,4770949.52303696,-70.6641195474514,43.0791621410213,-6.728,9.229,11.97,17.61,14.03
OF,68.9,364532.305238005,4770949.60313928,-70.6641318787496,43.0791626829503,-6.644,9.235,11.96,17.61,14.03
OF,72.2,364531.302590624,4770949.68324159,-70.664144210048,43.079163224878,-6.559,9.241,11.95,17.60,14.03
OF,75.5,364530.299943242,4770949.76334391,-70.6641565413465,43.0791637668044,-6.475,9.248,11.93,17.60,14.03
OF,78.7,364529.327679115,4770949.84101888,-70.6641684989696,43.0791642923074,-6.391,9.256,11.91,17.60,14.03
OF,82,364528.325031733,4770949.9211212,-70.6641808302685,43.0791648342312,-6.306,9.262,11.85,17.56,14.03
OF,85.3,364527.322384352,4770950.00122352,-70.6641931615676,43.0791653761536,-6.222,9.269,11.80,17.53,14.03
OF,88.6,364526.31973697,4770950.08132583,-70.6642054928668,43.0791659180746,-6.138,9.275,11.74,17.49,14.03
OF,91.9,364525.317089589,4770950.16142815,-70.6642178241663,43.0791664599944,-6.054,9.281,11.68,17.46,14.03
OF,95.1,364524.344825461,4770950.23910312,-70.6642297817901,43.079166985491,-5.969,9.287,11.62,17.42,14.03
OF,98.4,364523.34217808,4770950.31920544,-70.6642421130899,43.0791675274081,-5.885,9.293,11.56,17.39,14.03
OF,101.7,364522.339530698,4770950.39930776,-70.6642544443899,43.0791680693239,-5.801,9.299,11.51,17.35,14.03
OF,105,364521.336883317,4770950.47941007,-70.66426677569,43.0791686112383,-5.716,9.304,11.45,17.32,14.03
OF,108.3,364520.334235936,4770950.55951239,-70.6642791069904,43.0791691531514,-5.632,9.310,11.39,17.28,14.03
OF,111.5,364519.361971808,4770950.63718736,-70.6642910646151,43.0791696786416,-5.548,9.315,11.33,17.25,14.03
OF,114.8,364518.359324427,4770950.71728968,-70.6643033959158,43.0791702205521,-5.464,9.321,11.27,17.21,14.03
OF,118.1,364517.356677045,4770950.797392,-70.6643157272166,43.0791707624613,-5.379,9.326,11.21,17.17,14.03
OF,121.4,364516.354029664,4770950.87749431,-70.6643280585176,43.0791713043691,-5.295,9.331,11.15,17.14,14.03
OF,124.7,364515.351382282,4770950.95759663,-70.6643403898188,43.0791718462756,-5.211,9.336,11.09,17.10,14.03
OF,128,364514.348734901,4770951.03769895,-70.6643527211202,43.0791723881807,-5.126,9.341,11.03,17.07,14.03
OF,131.2,364513.376470773,4770951.11537392,-70.6643646787459,43.0791729136632,-5.042,9.346,10.98,17.03,14.03
OF,134.5,364512.373823392,4770951.19547624,-70.6643770100476,43.0791734555658,-4.958,9.351,10.92,16.99,14.03
OF,137.8,364511.37117601,4770951.27557855,-70.6643893413495,43.0791739974669,-4.873,9.356,10.86,16.96,14.03
OF,141.1,364510.368528629,4770951.35568087,-70.6644016726516,43.0791745393668,-4.789,9.361,10.80,16.92,14.03
OF,144.4,364509.365881247,4770951.43578319,-70.6644140039539,43.0791750812653,-4.705,9.366,10.74,16.88,14.03
OF,147.6,364508.39361712,4770951.51345816,-70.6644259615804,43.0791756067414,-4.620,9.370,10.68,16.84,14.03
OF,150.9,364507.390969738,4770951.59356047,-70.664438292883,43.0791761486373,-4.536,9.375,10.62,16.81,14.03
OF,154.2,364506.388322357,4770951.67366279,-70.6644506241858,43.0791766905319,-4.452,9.380,10.56,16.77,14.03
OF,157.5,364505.385674976,4770951.75376511,-70.6644629554888,43.0791772324251,-4.367,9.384,10.50,16.73,14.03
OF,160.8,364504.383027594,4770951.83386743,-70.6644752867919,43.079177774317,-4.283,9.389,10.44,16.70,14.03
OF,164,364503.410763467,4770951.9115424,-70.6644872444193,43.0791782997867,-4.199,9.394,10.38,16.66,14.03
OF,167.3,364502.408116085,4770951.99164471,-70.6644995757228,43.0791788416759,-4.115,9.399,10.32,16.62,14.03
OF,170.6,364501.405468704,4770952.07174703,-70.6645119070264,43.0791793835639,-4.030,9.403,10.26,16.59,14.03
OF,173.9,364500.402821322,4770952.15184935,-70.6645242383303,43.0791799254505,-3.946,9.408,10.20,16.55,14.03
OF,177.2,364499.400173941,4770952.23195167,-70.6645365696343,43.0791804673358,-3.862,9.413,10.14,16.51,14.03
OF,180.4,364498.427909813,4770952.30962664,-70.6645485272626,43.079180992799,-3.777,9.417,10.08,16.48,14.03
OF,183.7,364497.425262432,4770952.38972895,-70.6645608585669,43.0791815346817,-3.693,9.422,10.02,16.44,14.03
OF,187,364496.42261505,4770952.46983127,-70.6645731898714,43.079182076563,-3.609,9.426,9.96,16.40,14.03
OF,190.3,364495.419967669,4770952.54993359,-70.6645855211761,43.0791826184429,-3.524,9.431,9.90,16.36,14.03
OF,193.6,364494.417320287,4770952.6300359,-70.664597852481,43.0791831603216,-3.440,9.436,9.84,16.33,14.03
OF,196.8,364493.44505616,4770952.70771088,-70.6646098101102,43.0791836857784,-3.356,9.440,9.79,16.29,14.03
OF,200.1,364492.442408778,4770952.7878132,-70.6646221414154,43.0791842276544,-3.272,9.445,9.73,16.25,14.03
OF,203.4,364491.439761397,4770952.86791551,-70.6646344727208,43.0791847695291,-3.187,9.450,9.67,16.22,14.03
OF,206.7,364490.437114016,4770952.94801783,-70.6646468040263,43.0791853114025,-3.103,9.454,9.61,16.18,14.03
OF,210,364489.434466634,4770953.02812014,-70.6646591353321,43.0791858532745,-3.019,9.459,9.55,16.14,14.03
OF,213.3,364488.431819253,4770953.10822246,-70.664671466638,43.0791863951452,-2.934,9.464,9.49,16.10,14.03
OF,216.5,364487.459555125,4770953.18589743,-70.6646834242682,43.0791869205943,-2.850,9.468,9.43,16.07,14.03
OF,219.8,364486.456907744,4770953.26599975,-70.6646957555745,43.0791874624624,-2.766,9.472,9.37,16.03,14.03
OF,223.1,364485.454260362,4770953.34610207,-70.6647080868809,43.0791880043291,-2.681,9.477,9.31,15.99,14.03
OF,226.4,364484.451612981,4770953.42620438,-70.6647204181875,43.0791885461945,-2.597,9.481,9.25,15.95,14.03
OF,229.7,364483.448965599,4770953.5063067,-70.6647327494943,43.0791890880586,-2.513,9.486,9.19,15.92,14.03
OF,232.9,364482.476701472,4770953.58398167,-70.6647447071254,43.0791896135012,-2.428,9.490,9.13,15.88,14.03
OF,236.2,364481.47405409,4770953.66408399,-70.6647570384325,43.0791901553627,-2.344,9.494,9.07,15.84,14.03
OF,239.5,364480.471406709,4770953.74418631,-70.6647693697398,43.0791906972228,-2.260,9.498,9.01,15.80,14.03
OF,242.8,364479.468759327,4770953.82428862,-70.6647817010473,43.0791912390816,-2.176,9.502,8.95,15.76,14.03
OF,246.1,364478.466111946,4770953.90439094,-70.664794032355,43.079191780939,-2.091,9.507,8.89,15.73,14.03
OF,249.3,364477.493847818,4770953.98206591,-70.6648059899869,43.0791923063752,-2.007,9.511,8.83,15.69,14.03
OF,252.6,364476.491200437,4770954.06216823,-70.6648183212949,43.0791928482301,-1.923,9.516,8.77,15.65,14.03
OF,255.9,364475.488553056,4770954.14227055,-70.6648306526031,43.0791933900835,-1.838,9.520,8.70,15.61,14.03
OF,259.2,364474.485905674,4770954.22237286,-70.6648429839115,43.0791939319357,-1.754,9.524,8.64,15.58,14.03
OF,262.5,364473.483258293,4770954.30247518,-70.6648553152201,43.0791944737865,-1.670,9.528,8.58,15.54,14.03
OF,265.7,364472.510994165,4770954.38015015,-70.6648672728528,43.0791949992163,-1.586,9.532,8.52,15.50,14.03
OF,269,364471.508346784,4770954.46025247,-70.6648796041617,43.0791955410645,-1.501,9.537,8.46,15.46,14.03
OF,272.3,364470.505699402,4770954.54035479,-70.6648919354707,43.0791960829114,-1.417,9.541,8.40,15.42,14.03
OF,275.6,364469.503052021,4770954.6204571,-70.66490426678,43.0791966247569,-1.333,9.545,8.34,15.39,14.03
OF,278.9,364468.500404639,4770954.70055942,-70.6649165980894,43.0791971666011,-1.248,9.549,8.28,15.35,14.03
OF,282.2,364467.497757258,4770954.78066174,-70.6649289293991,43.079197708444,-1.164,9.554,8.22,15.31,14.03
OF,285.4,364466.52549313,4770954.85833671,-70.6649408870328,43.0791982338661,-1.080,9.558,8.16,15.27,14.03
OF,288.7,364465.522845749,4770954.93843903,-70.6649532183427,43.0791987757063,-0.995,9.562,8.10,15.23,14.03
OF,292,364464.520198367,4770955.01854134,-70.6649655496529,43.0791993175452,-0.911,9.566,8.04,15.19,14.03
OF,295.3,364463.517550986,4770955.09864366,-70.6649778809632,43.0791998593828,-0.235,9.561,7.53,14.83,14.03
IF,298.6,364462.514903604,4770955.17874598,-70.6649902122737,43.079200401219,0.053,9.564,7.31,14.68,14.03
IF,301.8,364461.542639477,4770955.25642095,-70.6650021699082,43.0792009266347,0.090,9.572,7.29,14.67,14.03
IF,305.1,364460.539992095,4770955.33652327,-70.6650145012191,43.0792014684683,0.041,9.581,7.30,14.69,14.03
IF,308.4,364459.537344714,4770955.41662558,-70.6650268325301,43.0792020103006,0.033,9.588,7.30,14.70,14.03
OF,311.7,364458.534697333,4770955.4967279,-70.6650391638413,43.0792025521315,-0.067,9.597,7.33,14.73,14.03
IF,315,364457.532049951,4770955.57683022,-70.6650514951526,43.0792030939611,0.143,9.600,7.27,14.69,14.03
IF,318.2,364456.559785824,4770955.65450519,-70.6650634527881,43.0792036193704,0.133,9.607,7.27,14.70,14.03
OF,321.5,364455.557138442,4770955.73460751,-70.6650757840998,43.0792041611974,-0.123,9.616,7.33,14.74,14.03
OF,324.8,364454.554491061,4770955.81470982,-70.6650881154116,43.079204703023,-0.036,9.620,7.31,14.74,14.03
IF,328.1,364453.551843679,4770955.89481214,-70.6651004467237,43.0792052448473,0.412,9.619,7.08,14.57,14.03
IF,331.4,364452.549196298,4770955.97491446,-70.665112778036,43.0792057866703,0.569,9.623,6.96,14.50,14.03
IF,334.6,364451.57693217,4770956.05258943,-70.6651247356722,43.0792063120731,0.962,9.623,6.67,14.29,14.03
IF,337.9,364450.574284789,4770956.13269175,-70.6651370669848,43.0792068538935,1.124,9.628,6.55,14.21,14.03
IF,341.2,364449.571637407,4770956.21279406,-70.6651493982976,43.0792073957125,1.138,9.636,6.54,14.22,14.03
IF,344.5,364448.568990026,4770956.29289638,-70.6651617296105,43.0792079375302,1.193,9.643,6.50,14.20,14.03
IF,347.8,364447.566342644,4770956.3729987,-70.6651740609236,43.0792084793466,1.676,9.642,6.14,13.94,14.03
IF,351,364446.594078517,4770956.45067367,-70.6651860185608,43.079209004743,1.831,9.649,6.02,13.87,14.03
IF,354.3,364445.591431135,4770956.53077599,-70.6651983498742,43.0792095465568,2.015,9.656,5.89,13.78,14.03
