X,Y,Z,STA,source
-70.70127799,43.07079179,-64.86847794,-4324,Maine ADCIRC model
-70.70127791,43.07079453,-64.79645625,-4323,Maine ADCIRC model
-70.70127783,43.07079727,-64.72443456,-4322,Maine ADCIRC model
-70.70127775,43.07080002,-64.65215033,-4321,Maine ADCIRC model
-70.70127767,43.07080276,-64.58012865,-4320,Maine ADCIRC model
-70.70127759,43.0708055,-64.50810696,-4319,Maine ADCIRC model
-70.70127751,43.07080825,-64.43582273,-4318,Maine ADCIRC model
-70.70127743,43.07081099,-64.36380104,-4317,Maine ADCIRC model
-70.70127735,43.07081373,-64.29177936,-4316,Maine ADCIRC model
-70.70127728,43.07081648,-64.21950575,-4315,Maine ADCIRC model
-70.7012772,43.07081922,-64.14748406,-4314,Maine ADCIRC model
-70.70127712,43.07082196,-64.07546237,-4313,Maine ADCIRC model
-70.70127704,43.07082471,-64.00317815,-4312,Maine ADCIRC model
-70.70127696,43.07082745,-63.93115646,-4311,Maine ADCIRC model
-70.70127688,43.0708302,-63.85887223,-4310,Maine ADCIRC model
-70.7012768,43.07083294,-63.78685054,-4309,Maine ADCIRC model
-70.70127672,43.07083568,-63.71482886,-4308,Maine ADCIRC model
-70.70127664,43.07083843,-63.64254463,-4307,Maine ADCIRC model
-70.70127656,43.07084117,-63.57052294,-4306,Maine ADCIRC model
-70.70127648,43.07084391,-63.49850125,-4305,Maine ADCIRC model
-70.7012764,43.07084666,-63.42621702,-4304,Maine ADCIRC model
-70.70127632,43.0708494,-63.35419534,-4303,Maine ADCIRC model
-70.70127625,43.07085214,-63.28218427,-4302,Maine ADCIRC model
-70.70127617,43.07085489,-63.20990004,-4301,Maine ADCIRC model
-70.70127609,43.07085763,-63.13787835,-4300,Maine ADCIRC model
-70.70127601,43.07086037,-63.06585667,-4299,Maine ADCIRC model
-70.70127593,43.07086312,-62.99357244,-4298,Maine ADCIRC model
-70.70127585,43.07086586,-62.92155075,-4297,Maine ADCIRC model
-70.70127577,43.0708686,-62.84952906,-4296,Maine ADCIRC model
-70.70127569,43.07087135,-62.77724484,-4295,Maine ADCIRC model
-70.70127561,43.07087409,-62.70522315,-4294,Maine ADCIRC model
-70.70127553,43.07087683,-62.63320146,-4293,Maine ADCIRC model
-70.70127545,43.07087958,-62.56091723,-4292,Maine ADCIRC model
-70.70127537,43.07088232,-62.48889554,-4291,Maine ADCIRC model
-70.70127529,43.07088506,-62.41687386,-4290,Maine ADCIRC model
-70.70127522,43.07088781,-62.34460025,-4289,Maine ADCIRC model
-70.70127514,43.07089055,-62.27257856,-4288,Maine ADCIRC model
-70.70127506,43.07089329,-62.20055688,-4287,Maine ADCIRC model
-70.70127498,43.07089604,-62.12827265,-4286,Maine ADCIRC model
-70.7012749,43.07089878,-62.05625096,-4285,Maine ADCIRC model
-70.70127482,43.07090153,-61.98396673,-4284,Maine ADCIRC model
-70.70127474,43.07090427,-61.91194504,-4283,Maine ADCIRC model
-70.70127466,43.07090701,-61.83992336,-4282,Maine ADCIRC model
-70.70127458,43.07090976,-61.76763913,-4281,Maine ADCIRC model
-70.7012745,43.0709125,-61.69561744,-4280,Maine ADCIRC model
-70.70127442,43.07091524,-61.62359575,-4279,Maine ADCIRC model
-70.70127434,43.07091799,-61.55131152,-4278,Maine ADCIRC model
-70.70127426,43.07092073,-61.47928984,-4277,Maine ADCIRC model
-70.70127419,43.07092347,-61.40727877,-4276,Maine ADCIRC model
-70.70127411,43.07092622,-61.33499454,-4275,Maine ADCIRC model
-70.70127403,43.07092896,-61.26297286,-4274,Maine ADCIRC model
-70.70127395,43.0709317,-61.19095117,-4273,Maine ADCIRC model
-70.70127387,43.07093445,-61.11866694,-4272,Maine ADCIRC model
-70.70127379,43.07093719,-61.04664525,-4271,Maine ADCIRC model
-70.70127371,43.07093993,-60.97462357,-4270,Maine ADCIRC model
-70.70127363,43.07094268,-60.90233934,-4269,Maine ADCIRC model
-70.70127355,43.07094542,-60.83031765,-4268,Maine ADCIRC model
-70.70127347,43.07094816,-60.75829596,-4267,Maine ADCIRC model
-70.70127339,43.07095091,-60.68601173,-4266,Maine ADCIRC model
-70.70127331,43.07095365,-60.61399005,-4265,Maine ADCIRC model
-70.70127323,43.07095639,-60.54196836,-4264,Maine ADCIRC model
-70.70127316,43.07095914,-60.46969475,-4263,Maine ADCIRC model
-70.70127308,43.07096188,-60.39767307,-4262,Maine ADCIRC model
-70.701273,43.07096462,-60.32565138,-4261,Maine ADCIRC model
-70.70127292,43.07096737,-60.25336715,-4260,Maine ADCIRC model
-70.70127284,43.07097011,-60.18134546,-4259,Maine ADCIRC model
-70.70127276,43.07097286,-60.10906123,-4258,Maine ADCIRC model
-70.70127268,43.0709756,-60.03703955,-4257,Maine ADCIRC model
-70.7012726,43.07097834,-59.96501786,-4256,Maine ADCIRC model
-70.70127252,43.07098109,-59.89273363,-4255,Maine ADCIRC model
-70.70127244,43.07098383,-59.82071194,-4254,Maine ADCIRC model
-70.70127236,43.07098657,-59.74869026,-4253,Maine ADCIRC model
-70.70127228,43.07098932,-59.67640603,-4252,Maine ADCIRC model
-70.7012722,43.07099206,-59.60438434,-4251,Maine ADCIRC model
-70.70127213,43.0709948,-59.53237328,-4250,Maine ADCIRC model
-70.70127205,43.07099755,-59.46008905,-4249,Maine ADCIRC model
-70.70127197,43.07100029,-59.38806736,-4248,Maine ADCIRC model
-70.70127189,43.07100303,-59.31604567,-4247,Maine ADCIRC model
-70.70127181,43.07100578,-59.24376144,-4246,Maine ADCIRC model
-70.70127173,43.07100852,-59.17173976,-4245,Maine ADCIRC model
-70.70127165,43.07101126,-59.09971807,-4244,Maine ADCIRC model
-70.70127157,43.07101401,-59.02743384,-4243,Maine ADCIRC model
-70.70127149,43.07101675,-58.95541215,-4242,Maine ADCIRC model
-70.70127141,43.07101949,-58.88339047,-4241,Maine ADCIRC model
-70.70127133,43.07102224,-58.81110624,-4240,Maine ADCIRC model
-70.70127125,43.07102498,-58.73908455,-4239,Maine ADCIRC model
-70.70127117,43.07102772,-58.66706286,-4238,Maine ADCIRC model
-70.70127109,43.07103047,-58.59477863,-4237,Maine ADCIRC model
-70.70127102,43.07103321,-58.52276757,-4236,Maine ADCIRC model
-70.70127094,43.07103595,-58.45074588,-4235,Maine ADCIRC model
-70.70127086,43.0710387,-58.37846165,-4234,Maine ADCIRC model
-70.70127078,43.07104144,-58.30643996,-4233,Maine ADCIRC model
-70.7012707,43.07104419,-58.23415574,-4232,Maine ADCIRC model
-70.70127062,43.07104693,-58.16213405,-4231,Maine ADCIRC model
-70.70127054,43.07104967,-58.09011236,-4230,Maine ADCIRC model
-70.70127046,43.07105242,-58.01782813,-4229,Maine ADCIRC model
-70.70127038,43.07105516,-57.94580645,-4228,Maine ADCIRC model
-70.7012703,43.0710579,-57.87378476,-4227,Maine ADCIRC model
-70.70127022,43.07106065,-57.80150053,-4226,Maine ADCIRC model
-70.70127014,43.07106339,-57.72947884,-4225,Maine ADCIRC model
-70.70127006,43.07106613,-57.65745716,-4224,Maine ADCIRC model
-70.70126999,43.07106888,-57.58518355,-4223,Maine ADCIRC model
-70.70126991,43.07107162,-57.51316186,-4222,Maine ADCIRC model
-70.70126983,43.07107436,-57.44114017,-4221,Maine ADCIRC model
-70.70126975,43.07107711,-57.36885594,-4220,Maine ADCIRC model
-70.70126967,43.07107985,-57.29683426,-4219,Maine ADCIRC model
-70.70126959,43.07108259,-57.22481257,-4218,Maine ADCIRC model
-70.70126951,43.07108534,-57.15252834,-4217,Maine ADCIRC model
-70.70126943,43.07108808,-57.08050665,-4216,Maine ADCIRC model
-70.70126935,43.07109082,-57.00848497,-4215,Maine ADCIRC model
-70.70126927,43.07109357,-56.93620074,-4214,Maine ADCIRC model
-70.70126919,43.07109631,-56.86417905,-4213,Maine ADCIRC model
-70.70126911,43.07109905,-56.79215736,-4212,Maine ADCIRC model
-70.70126903,43.0711018,-56.71987313,-4211,Maine ADCIRC model
-70.70126896,43.07110454,-56.64786207,-4210,Maine ADCIRC model
-70.70126888,43.07110728,-56.57584038,-4209,Maine ADCIRC model
-70.7012688,43.07111003,-56.50355615,-4208,Maine ADCIRC model
-70.70126872,43.07111277,-56.43153447,-4207,Maine ADCIRC model
