X,Y,Z,STA
 -70.6552178180,   43.0787705776, -40.3992, -2615.00
 -70.6552215547,   43.0787707421, -40.3548, -2614.00
 -70.6552252914,   43.0787709066, -40.3105, -2613.00
 -70.6552290244,   43.0787710711, -40.2661, -2612.00
 -70.6552327611,   43.0787712355, -40.2217, -2611.00
 -70.6552364979,   43.0787714000, -40.1773, -2610.00
 -70.6552402346,   43.0787715645, -40.1329, -2609.00
 -70.6552439713,   43.0787717290, -40.0885, -2608.00
 -70.6552477080,   43.0787718935, -40.0441, -2607.00
 -70.6552514410,   43.0787720580, -39.9997, -2606.00
 -70.6552551778,   43.0787722224, -39.9553, -2605.00
 -70.6552589145,   43.0787723869, -39.9109, -2604.00
 -70.6552626512,   43.0787725514, -39.8665, -2603.00
 -70.6552663879,   43.0787727159, -39.8221, -2602.00
 -70.6552701247,   43.0787728804, -39.7777, -2601.00
 -70.6552738577,   43.0787730449, -39.7333, -2600.00
 -70.6552775944,   43.0787732093, -39.6889, -2599.00
 -70.6552813311,   43.0787733738, -39.6445, -2598.00
 -70.6552850678,   43.0787735383, -39.6001, -2597.00
 -70.6552888046,   43.0787737028, -39.5557, -2596.00
 -70.6552925413,   43.0787738673, -39.5113, -2595.00
 -70.6552962743,   43.0787740318, -39.4669, -2594.00
 -70.6553000110,   43.0787741962, -39.4225, -2593.00
 -70.6553037477,   43.0787743607, -39.3781, -2592.00
 -70.6553074845,   43.0787745252, -39.3337, -2591.00
 -70.6553112212,   43.0787746897, -39.2893, -2590.00
 -70.6553149579,   43.0787748542, -39.2449, -2589.00
 -70.6553186909,   43.0787750187, -39.2005, -2588.00
 -70.6553224276,   43.0787751831, -39.1561, -2587.00
 -70.6553261643,   43.0787753476, -39.1117, -2586.00
 -70.6553299011,   43.0787755121, -39.0673, -2585.00
 -70.6553336378,   43.0787756766, -39.0229, -2584.00
 -70.6553373745,   43.0787758411, -38.9785, -2583.00
 -70.6553411075,   43.0787760056, -38.9342, -2582.00
 -70.6553448442,   43.0787761700, -38.8898, -2581.00
 -70.6553485810,   43.0787763345, -38.8454, -2580.00
 -70.6553523177,   43.0787764990, -38.8010, -2579.00
 -70.6553560544,   43.0787766635, -38.7566, -2578.00
 -70.6553597912,   43.0787768279, -38.7122, -2577.00
 -70.6553635241,   43.0787769924, -38.6678, -2576.00
 -70.6553672609,   43.0787771569, -38.6234, -2575.00
 -70.6553709976,   43.0787773214, -38.5790, -2574.00
 -70.6553747343,   43.0787774859, -38.5346, -2573.00
 -70.6553784710,   43.0787776504, -38.4902, -2572.00
 -70.6553822078,   43.0787778148, -38.4458, -2571.00
 -70.6553859408,   43.0787779793, -38.4014, -2570.00
 -70.6553896775,   43.0787781438, -38.3570, -2569.00
 -70.6553934142,   43.0787783083, -38.3126, -2568.00
 -70.6553971509,   43.0787784728, -38.2682, -2567.00
 -70.6554008877,   43.0787786372, -38.2238, -2566.00
 -70.6554046244,   43.0787788017, -38.1794, -2565.00
 -70.6554083574,   43.0787789662, -38.1350, -2564.00
