%
%
% Run:1     Table:curve             SWAN version:41.20A
%
%       Xp            Yp            Hsig          TPsmoo        RTpeak        Tm_10         Dir           Dspr          Depth         Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [m]           [m]      
%
           0.            0.       0.51206        8.0926        8.0345        7.4879         0.000       31.5057        5.0300      0.000000 
           1.            0.       0.51205        8.0926        8.0345        7.4876         0.000       31.3886        5.0100     -0.000006 
           2.            0.       0.51205        8.0926        8.0345        7.4873         0.000       31.2724        4.9900     -0.000013 
           3.            0.       0.51200        8.0927        8.0345        7.4869         0.000       31.1392        4.9700     -0.000019 
           4.            0.       0.51209        8.0927        8.0345        7.4870         0.000       31.0117        4.9400     -0.000028 
           5.            0.       0.51209        8.0928        8.0345        7.4866         0.000       30.9182        4.9200     -0.000034 
           6.            0.       0.51207        8.0928        8.0345        7.4863         0.000       30.8162        4.9000     -0.000040 
           7.            0.       0.51219        8.0929        8.0345        7.4863         0.000       30.7111        4.8700     -0.000050 
           8.            0.       0.51221        8.0929        8.0345        7.4859         0.000       30.6192        4.8499     -0.000056 
           9.            0.       0.51221        8.0930        8.0345        7.4855         0.000       30.5176        4.8299     -0.000062 
          10.            0.       0.51236        8.0931        8.0345        7.4856         0.000       30.4126        4.7999     -0.000072 
          11.            0.       0.51240        8.0931        8.0345        7.4851         0.000       30.3208        4.7799     -0.000079 
          12.            0.       0.51242        8.0932        8.0345        7.4847         0.000       30.2192        4.7599     -0.000086 
          13.            0.       0.51260        8.0932        8.0345        7.4847         0.000       30.1144        4.7299     -0.000096 
          14.            0.       0.51267        8.0933        8.0345        7.4842       360.000       30.0226        4.7099     -0.000104 
          15.            0.       0.51271        8.0933        8.0345        7.4837         0.000       29.9210        4.6899     -0.000111 
          16.            0.       0.51292        8.0934        8.0345        7.4837       360.000       29.8162        4.6599     -0.000122 
          17.            0.       0.51301        8.0935        8.0345        7.4831         0.000       29.7245        4.6399     -0.000129 
          18.            0.       0.51308        8.0935        8.0345        7.4826         0.000       29.6231        4.6199     -0.000137 
          19.            0.       0.51331        8.0936        8.0345        7.4825         0.000       29.5185        4.5899     -0.000149 
          20.            0.       0.51342        8.0936        8.0345        7.4819       360.000       29.4269        4.5698     -0.000157 
          21.            0.       0.51351        8.0937        8.0345        7.4812       360.000       29.3257        4.5498     -0.000165 
          22.            0.       0.51377        8.0938        8.0345        7.4810         0.000       29.2212        4.5198     -0.000177 
          23.            0.       0.51383        8.0938        8.0345        7.4803         0.000       29.1018        4.4998     -0.000186 
          24.            0.       0.51419        8.0940        8.0345        7.4804       360.000       28.9633        4.4598     -0.000203 
          25.            0.       0.51438        8.0940        8.0345        7.4800       360.000       28.8185        4.4298     -0.000216 
          26.            0.       0.51471        8.0942        8.0345        7.4799         0.000       28.6578        4.3898     -0.000234 
          27.            0.       0.51509        8.0943        8.0345        7.4799         0.000       28.5058        4.3497     -0.000252 
          28.            0.       0.51531        8.0944        8.0345        7.4792       360.000       28.3572        4.3197     -0.000267 
          29.            0.       0.51571        8.0945        8.0345        7.4790       360.000       28.2045        4.2797     -0.000286 
          30.            0.       0.51614        8.0946        8.0345        7.4787         0.000       28.0705        4.2397     -0.000305 
          31.            0.       0.51641        8.0947        8.0345        7.4778         0.000       27.9415        4.2097     -0.000320 
          32.            0.       0.51679        8.0949        8.0345        7.4772         0.000       27.7780        4.1697     -0.000340 
          33.            0.       0.51703        8.0950        8.0345        7.4772         0.000       27.4110        4.1096     -0.000371 
          34.            0.       0.51966        8.0957        8.0345        7.4830         0.000       26.8088        3.9095     -0.000484 
          35.            0.       0.52227        8.0963        8.0345        7.4875       360.000       26.1084        3.7194     -0.000607 
