%
%
% Run:1     Table:curve             SWAN version:41.20A
%
%       Xp            Yp            Hsig          TPsmoo        RTpeak        Tm_10         Dir           Dspr          Depth         Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [m]           [m]      
%
           0.            0.       3.56238       13.8602       13.8874       12.7503         0.000       31.5056        6.0800      0.000000 
           1.            0.       3.56630       13.8647       13.8874       12.4971         0.000       31.4602        6.0706      0.000624 
           2.            0.       3.56888       13.8689       13.8874       12.2723         0.000       31.4235        6.0613      0.001264 
           3.            0.       3.56857       13.8726       13.8874       12.0790         0.000       31.3839        6.0620      0.002042 
           4.            0.       3.56741       13.8758       13.8874       11.9141         0.000       31.3220        6.0527      0.002720 
           5.            0.       3.56506       13.8786       13.8874       11.7720         0.000       31.2675        6.0434      0.003414 
           6.            0.       3.56126       13.8810       13.8874       11.6456         0.000       31.2336        6.0442      0.004235 
           7.            0.       3.55645       13.8830       13.8874       11.5343         0.000       31.1867        6.0451      0.005062 
           8.            0.       3.55187       13.8848       13.8874       11.4362         0.000       31.1344        6.0358      0.005779 
           9.            0.       3.54591       13.8864       13.8874       11.3484         0.000       31.0978        6.0366      0.006614 
          10.            0.       3.53921       13.8877       13.8874       11.2700         0.000       31.0482        6.0374      0.007449 
          11.            0.       3.53301       13.8889       13.8874       11.2001         0.000       30.9938        6.0282      0.008169 
          12.            0.       3.52571       13.8899       13.8874       11.1364         0.000       30.9555        6.0290      0.009000 
          13.            0.       3.51824       13.8907       13.8874       11.0786         0.000       30.9221        6.0298      0.009824 
          14.            0.       3.51024       13.8915       13.8874       11.0260         0.000       30.8734        6.0306      0.010643 
          15.            0.       3.50293       13.8921       13.8874       10.9787         0.000       30.8194        6.0213      0.011345 
          16.            0.       3.49475       13.8926       13.8874       10.9345         0.000       30.7812        6.0222      0.012152 
          17.            0.       3.48624       13.8931       13.8874       10.8940         0.000       30.7316        6.0230      0.012952 
          18.            0.       3.48067       13.8935       13.8874       10.8426         0.000       30.6874        6.0136      0.013643 
          19.            0.       3.47484       13.8937       13.8874       10.7891         0.000       30.6606        6.0144      0.014445 
          20.            0.       3.46874       13.8938       13.8874       10.7375         0.000       30.6223        6.0152      0.015245 
          21.            0.       3.46326       13.8939       13.8874       10.6894         0.000       30.5803        6.0059      0.015936 
          22.            0.       3.45685       13.8938       13.8874       10.6433         0.000       30.5514        6.0067      0.016733 
          23.            0.       3.45001       13.8937       13.8874       10.5999         0.000       30.5113        6.0075      0.017526 
          24.            0.       3.44378       13.8935       13.8874       10.5599         0.000       30.4677        5.9982      0.018209 
          25.            0.       3.43643       13.8932       13.8874       10.5223       359.999       30.4395        5.9990      0.019008 
          26.            0.       3.42826       13.8929       13.8874       10.4900       359.989       30.4201        5.9998      0.019834 
          27.            0.       3.41946       13.8926       13.8874       10.4607       359.973       30.3863        6.0007      0.020661 
          28.            0.       3.41132       13.8922       13.8874       10.4342       359.956       30.3478        5.9914      0.021377 
          29.            0.       3.40241       13.8918       13.8874       10.4086       359.935       30.3212        5.9922      0.022192 
          30.            0.       3.39325       13.8913       13.8874       10.3845       359.913       30.2840        5.9930      0.022998 
          31.            0.       3.38489       13.8908       13.8874       10.3626       359.891       30.2444        5.9837      0.023691 
          32.            0.       3.37688       13.8903       13.8874       10.3370       359.884       30.2146        5.9844      0.024437 
          33.            0.       3.36901       13.8898       13.8874       10.3113       359.882       30.1741        5.9852      0.025160 
          34.            0.       3.36201       13.8892       13.8874       10.2873       359.881       30.1310        5.9758      0.025769 
          35.            0.       3.35439       13.8886       13.8874       10.2632       359.881       30.1001        5.9765      0.026472 
          36.            0.       3.34685       13.8881       13.8874       10.2402       359.882       30.0732        5.9772      0.027164 
          37.            0.       3.33910       13.8875       13.8874       10.2182       359.882       30.0337        5.9778      0.027847 
          38.            0.       3.33209       13.8869       13.8874       10.1981       359.882       29.9913        5.9684      0.028424 
          39.            0.       3.32502       13.8862       13.8874       10.1734       359.868       29.9666        5.9691      0.029116 
          40.            0.       3.31913       13.8857       13.8874       10.1411       359.872       29.9355        5.9698      0.029803 
          41.            0.       3.31461       13.8851       13.8874       10.1071       359.874       29.9021        5.9604      0.030379 
          42.            0.       3.30946       13.8846       13.8874       10.0724       359.875       29.8800        5.9610      0.031049 
          43.            0.       3.30405       13.8841       13.8874       10.0388       359.877       29.8476        5.9617      0.031713 
          44.            0.       3.29917       13.8837       13.8874       10.0078       359.878       29.8123        5.9523      0.032279 
