header
IE0.0    -20.376       1       1 8.9341  5.6312  4.7       56.14   56.14
OF1.0    -20.290    0.00 8.9342     0.00    0.00    0.00    0.00    0.00
OF2.0    -20.204    0.00 8.9342     0.00    0.00    0.00    0.00    0.00
OF3.0    -20.118    0.00 8.9343     0.00    0.00    0.00    0.00    0.00
OF4.0    -20.032    0.00 8.9344     0.00    0.00    0.00    0.00    0.00
OF5.0    -19.946    0.00 8.9345     0.00    0.00    0.00    0.00    0.00
OF6.0    -19.859    0.00 8.9345     0.00    0.00    0.00    0.00    0.00
OF7.0    -19.773    0.00 8.9346     0.00    0.00    0.00    0.00    0.00
OF8.0    -19.687    0.00 8.9347     0.00    0.00    0.00    0.00    0.00
OF9.0    -19.601    0.00 8.9347     0.00    0.00    0.00    0.00    0.00
OF10.0   -19.514    0.00 8.9348     0.00    0.00    0.00    0.00    0.00
OF11.0   -19.428    0.00 8.9349     0.00    0.00    0.00    0.00    0.00
OF12.0   -19.342    0.00 8.9349     0.00    0.00    0.00    0.00    0.00
OF13.0   -19.255    0.00 8.935      0.00    0.00    0.00    0.00    0.00
OF14.0   -19.169    0.00 8.9351     0.00    0.00    0.00    0.00    0.00
OF15.0   -19.083    0.00 8.9351     0.00    0.00    0.00    0.00    0.00
OF16.0   -18.997    0.00 8.9352     0.00    0.00    0.00    0.00    0.00
OF17.0   -18.911    0.00 8.9353     0.00    0.00    0.00    0.00    0.00
OF18.0   -18.824    0.00 8.9353     0.00    0.00    0.00    0.00    0.00
OF19.0   -18.738    0.00 8.9354     0.00    0.00    0.00    0.00    0.00
OF20.0   -18.652    0.00 8.9355     0.00    0.00    0.00    0.00    0.00
OF21.0   -18.566    0.00 8.9355     0.00    0.00    0.00    0.00    0.00
OF22.0   -18.480    0.00 8.9356     0.00    0.00    0.00    0.00    0.00
OF23.0   -18.393    0.00 8.9357     0.00    0.00    0.00    0.00    0.00
OF24.0   -18.307    0.00 8.9357     0.00    0.00    0.00    0.00    0.00
OF25.0   -18.221    0.00 8.9358     0.00    0.00    0.00    0.00    0.00
OF26.0   -18.135    0.00 8.9359     0.00    0.00    0.00    0.00    0.00
OF27.0   -18.048    0.00 8.9359     0.00    0.00    0.00    0.00    0.00
OF28.0   -17.962    0.00 8.936      0.00    0.00    0.00    0.00    0.00
OF29.0   -17.876    0.00 8.9361     0.00    0.00    0.00    0.00    0.00
OF30.0   -17.790    0.00 8.9361     0.00    0.00    0.00    0.00    0.00
OF31.0   -17.703    0.00 8.9362     0.00    0.00    0.00    0.00    0.00
OF32.0   -17.617    0.00 8.9363     0.00    0.00    0.00    0.00    0.00
OF33.0   -17.531    0.00 8.9363     0.00    0.00    0.00    0.00    0.00
OF34.0   -17.445    0.00 8.9364     0.00    0.00    0.00    0.00    0.00
OF35.0   -17.359    0.00 8.9365     0.00    0.00    0.00    0.00    0.00
OF36.0   -17.272    0.00 8.9366     0.00    0.00    0.00    0.00    0.00
OF37.0   -17.186    0.00 8.9366     0.00    0.00    0.00    0.00    0.00
OF38.0   -17.100    0.00 8.9367     0.00    0.00    0.00    0.00    0.00
OF39.0   -17.014    0.00 8.9368     0.00    0.00    0.00    0.00    0.00
OF40.0   -16.928    0.00 8.9368     0.00    0.00    0.00    0.00    0.00
OF41.0   -16.841    0.00 8.9369     0.00    0.00    0.00    0.00    0.00
OF42.0   -16.755    0.00 8.937      0.00    0.00    0.00    0.00    0.00
OF43.0   -16.669    0.00 8.937      0.00    0.00    0.00    0.00    0.00
OF44.0   -16.583    0.00 8.9371     0.00    0.00    0.00    0.00    0.00
OF45.0   -16.496    0.00 8.9372     0.00    0.00    0.00    0.00    0.00
OF46.0   -16.410    0.00 8.9372     0.00    0.00    0.00    0.00    0.00
OF47.0   -16.324    0.00 8.9373     0.00    0.00    0.00    0.00    0.00
OF48.0   -16.238    0.00 8.9374     0.00    0.00    0.00    0.00    0.00
OF49.0   -16.151    0.00 8.9374     0.00    0.00    0.00    0.00    0.00
OF50.0   -16.065    0.00 8.9375     0.00    0.00    0.00    0.00    0.00
OF51.0   -15.979    0.00 8.9376     0.00    0.00    0.00    0.00    0.00
OF52.0   -15.893    0.00 8.9376     0.00    0.00    0.00    0.00    0.00
OF53.0   -15.807    0.00 8.9377     0.00    0.00    0.00    0.00    0.00
OF54.0   -15.720    0.00 8.9378     0.00    0.00    0.00    0.00    0.00
OF55.0   -15.634    0.00 8.9378     0.00    0.00    0.00    0.00    0.00
OF56.0   -15.548    0.00 8.9379     0.00    0.00    0.00    0.00    0.00
OF57.0   -15.462    0.00 8.938      0.00    0.00    0.00    0.00    0.00
OF58.0   -15.376    0.00 8.938      0.00    0.00    0.00    0.00    0.00
OF59.0   -15.289    0.00 8.9381     0.00    0.00    0.00    0.00    0.00
OF60.0   -15.203    0.00 8.9382     0.00    0.00    0.00    0.00    0.00
OF61.0   -15.117    0.00 8.9382     0.00    0.00    0.00    0.00    0.00
OF62.0   -15.030    0.00 8.9383     0.00    0.00    0.00    0.00    0.00
OF63.0   -14.944    0.00 8.9384     0.00    0.00    0.00    0.00    0.00
OF64.0   -14.858    0.00 8.9385     0.00    0.00    0.00    0.00    0.00
OF65.0   -14.772    0.00 8.9385     0.00    0.00    0.00    0.00    0.00
OF66.0   -14.686    0.00 8.9386     0.00    0.00    0.00    0.00    0.00
OF67.0   -14.599    0.00 8.9387     0.00    0.00    0.00    0.00    0.00
OF68.0   -14.513    0.00 8.9387     0.00    0.00    0.00    0.00    0.00
OF69.0   -14.427    0.00 8.9388     0.00    0.00    0.00    0.00    0.00
OF70.0   -14.341    0.00 8.9389     0.00    0.00    0.00    0.00    0.00
OF71.0   -14.255    0.00 8.9389     0.00    0.00    0.00    0.00    0.00
OF72.0   -14.230    0.00 8.9391     0.00    0.00    0.00    0.00    0.00
OF73.0   -14.209    0.00 8.9393     0.00    0.00    0.00    0.00    0.00
OF74.0   -14.187    0.00 8.9394     0.00    0.00    0.00    0.00    0.00
OF75.0   -14.166    0.00 8.9396     0.00    0.00    0.00    0.00    0.00
OF76.0   -14.145    0.00 8.9398     0.00    0.00    0.00    0.00    0.00
OF77.0   -14.123    0.00 8.9399     0.00    0.00    0.00    0.00    0.00
OF78.0   -14.102    0.00 8.9401     0.00    0.00    0.00    0.00    0.00
OF79.0   -14.081    0.00 8.9403     0.00    0.00    0.00    0.00    0.00
OF80.0   -14.059    0.00 8.9404     0.00    0.00    0.00    0.00    0.00
OF81.0   -14.038    0.00 8.9406     0.00    0.00    0.00    0.00    0.00
OF82.0   -14.017    0.00 8.9408     0.00    0.00    0.00    0.00    0.00
OF83.0   -13.996    0.00 8.9409     0.00    0.00    0.00    0.00    0.00
OF84.0   -13.974    0.00 8.9411     0.00    0.00    0.00    0.00    0.00
OF85.0   -13.953    0.00 8.9413     0.00    0.00    0.00    0.00    0.00
OF86.0   -13.932    0.00 8.9415     0.00    0.00    0.00    0.00    0.00
OF87.0   -13.910    0.00 8.9416     0.00    0.00    0.00    0.00    0.00
OF88.0   -13.889    0.00 8.9418     0.00    0.00    0.00    0.00    0.00
OF89.0   -13.868    0.00 8.942      0.00    0.00    0.00    0.00    0.00
OF90.0   -13.846    0.00 8.9421     0.00    0.00    0.00    0.00    0.00
OF91.0   -13.825    0.00 8.9423     0.00    0.00    0.00    0.00    0.00
OF92.0   -13.804    0.00 8.9425     0.00    0.00    0.00    0.00    0.00
OF93.0   -13.782    0.00 8.9426     0.00    0.00    0.00    0.00    0.00
OF94.0   -13.761    0.00 8.9428     0.00    0.00    0.00    0.00    0.00
OF95.0   -13.740    0.00 8.943      0.00    0.00    0.00    0.00    0.00
OF96.0   -13.718    0.00 8.9431     0.00    0.00    0.00    0.00    0.00
OF97.0   -13.697    0.00 8.9433     0.00    0.00    0.00    0.00    0.00
OF98.0   -13.676    0.00 8.9435     0.00    0.00    0.00    0.00    0.00
OF99.0   -13.654    0.00 8.9437     0.00    0.00    0.00    0.00    0.00
OF100.0  -13.633    0.00 8.9438     0.00    0.00    0.00    0.00    0.00
OF101.0  -13.612    0.00 8.944      0.00    0.00    0.00    0.00    0.00
OF102.0  -13.590    0.00 8.9442     0.00    0.00    0.00    0.00    0.00
OF103.0  -13.569    0.00 8.9443     0.00    0.00    0.00    0.00    0.00
OF104.0  -13.548    0.00 8.9445     0.00    0.00    0.00    0.00    0.00
OF105.0  -13.526    0.00 8.9447     0.00    0.00    0.00    0.00    0.00
OF106.0  -13.505    0.00 8.9448     0.00    0.00    0.00    0.00    0.00
OF107.0  -13.484    0.00 8.945      0.00    0.00    0.00    0.00    0.00
OF108.0  -13.462    0.00 8.9452     0.00    0.00    0.00    0.00    0.00
OF109.0  -13.441    0.00 8.9453     0.00    0.00    0.00    0.00    0.00
OF110.0  -13.420    0.00 8.9455     0.00    0.00    0.00    0.00    0.00
OF111.0  -13.398    0.00 8.9457     0.00    0.00    0.00    0.00    0.00
OF112.0  -13.377    0.00 8.9459     0.00    0.00    0.00    0.00    0.00
OF113.0  -13.356    0.00 8.946      0.00    0.00    0.00    0.00    0.00
OF114.0  -13.335    0.00 8.9462     0.00    0.00    0.00    0.00    0.00
OF115.0  -13.313    0.00 8.9464     0.00    0.00    0.00    0.00    0.00
OF116.0  -13.292    0.00 8.9465     0.00    0.00    0.00    0.00    0.00
OF117.0  -13.270    0.00 8.9467     0.00    0.00    0.00    0.00    0.00
OF118.0  -13.249    0.00 8.9469     0.00    0.00    0.00    0.00    0.00
OF119.0  -13.228    0.00 8.947      0.00    0.00    0.00    0.00    0.00
OF120.0  -13.207    0.00 8.9472     0.00    0.00    0.00    0.00    0.00
OF121.0  -13.185    0.00 8.9474     0.00    0.00    0.00    0.00    0.00
OF122.0  -13.164    0.00 8.9475     0.00    0.00    0.00    0.00    0.00
OF123.0  -13.143    0.00 8.9477     0.00    0.00    0.00    0.00    0.00
OF124.0  -13.121    0.00 8.9479     0.00    0.00    0.00    0.00    0.00
OF125.0  -13.100    0.00 8.9481     0.00    0.00    0.00    0.00    0.00
OF126.0  -13.079    0.00 8.9482     0.00    0.00    0.00    0.00    0.00
OF127.0  -13.057    0.00 8.9484     0.00    0.00    0.00    0.00    0.00
