header
IE0.0    -8.7747       1       1 8.8815  4.1315  4.7953    56.14   56.14
OF1.0    -8.7576    0.00 8.8815     0.00    0.00    0.00    0.00    0.00
OF2.0    -8.7404    0.00 8.8816     0.00    0.00    0.00    0.00    0.00
OF3.0    -8.7232    0.00 8.8816     0.00    0.00    0.00    0.00    0.00
OF4.0    -8.7061    0.00 8.8817     0.00    0.00    0.00    0.00    0.00
OF5.0    -8.6889    0.00 8.8817     0.00    0.00    0.00    0.00    0.00
OF6.0    -8.6717    0.00 8.8818     0.00    0.00    0.00    0.00    0.00
OF7.0    -8.6546    0.00 8.8818     0.00    0.00    0.00    0.00    0.00
OF8.0    -8.6374    0.00 8.8819     0.00    0.00    0.00    0.00    0.00
OF9.0    -8.6202    0.00 8.8819     0.00    0.00    0.00    0.00    0.00
OF10.0   -8.6031    0.00 8.882      0.00    0.00    0.00    0.00    0.00
OF11.0   -8.5859    0.00 8.882      0.00    0.00    0.00    0.00    0.00
OF12.0   -8.5687    0.00 8.8821     0.00    0.00    0.00    0.00    0.00
OF13.0   -8.5516    0.00 8.8821     0.00    0.00    0.00    0.00    0.00
OF14.0   -8.5344    0.00 8.8822     0.00    0.00    0.00    0.00    0.00
OF15.0   -8.5172    0.00 8.8822     0.00    0.00    0.00    0.00    0.00
OF16.0   -8.5001    0.00 8.8822     0.00    0.00    0.00    0.00    0.00
OF17.0   -8.4829    0.00 8.8823     0.00    0.00    0.00    0.00    0.00
OF18.0   -8.4657    0.00 8.8823     0.00    0.00    0.00    0.00    0.00
OF19.0   -8.4486    0.00 8.8824     0.00    0.00    0.00    0.00    0.00
OF20.0   -8.4314    0.00 8.8824     0.00    0.00    0.00    0.00    0.00
OF21.0   -8.4142    0.00 8.8825     0.00    0.00    0.00    0.00    0.00
OF22.0   -8.3971    0.00 8.8825     0.00    0.00    0.00    0.00    0.00
OF23.0   -8.3799    0.00 8.8826     0.00    0.00    0.00    0.00    0.00
OF24.0   -8.3627    0.00 8.8826     0.00    0.00    0.00    0.00    0.00
OF25.0   -8.3456    0.00 8.8827     0.00    0.00    0.00    0.00    0.00
OF26.0   -8.3284    0.00 8.8827     0.00    0.00    0.00    0.00    0.00
OF27.0   -8.3112    0.00 8.8828     0.00    0.00    0.00    0.00    0.00
OF28.0   -8.2941    0.00 8.8828     0.00    0.00    0.00    0.00    0.00
OF29.0   -8.2769    0.00 8.8829     0.00    0.00    0.00    0.00    0.00
OF30.0   -8.2597    0.00 8.8829     0.00    0.00    0.00    0.00    0.00
OF31.0   -8.2425    0.00 8.883      0.00    0.00    0.00    0.00    0.00
OF32.0   -8.2254    0.00 8.883      0.00    0.00    0.00    0.00    0.00
OF33.0   -8.2082    0.00 8.883      0.00    0.00    0.00    0.00    0.00
OF34.0   -8.191     0.00 8.8831     0.00    0.00    0.00    0.00    0.00
OF35.0   -8.1739    0.00 8.8831     0.00    0.00    0.00    0.00    0.00
OF36.0   -8.1567    0.00 8.8832     0.00    0.00    0.00    0.00    0.00
OF37.0   -8.1395    0.00 8.8832     0.00    0.00    0.00    0.00    0.00
OF38.0   -8.1224    0.00 8.8833     0.00    0.00    0.00    0.00    0.00
OF39.0   -8.1052    0.00 8.8833     0.00    0.00    0.00    0.00    0.00
OF40.0   -8.0881    0.00 8.8834     0.00    0.00    0.00    0.00    0.00
OF41.0   -8.0709    0.00 8.8834     0.00    0.00    0.00    0.00    0.00
OF42.0   -8.0537    0.00 8.8835     0.00    0.00    0.00    0.00    0.00
OF43.0   -8.0366    0.00 8.8835     0.00    0.00    0.00    0.00    0.00
OF44.0   -8.0194    0.00 8.8836     0.00    0.00    0.00    0.00    0.00
OF45.0   -8.0022    0.00 8.8836     0.00    0.00    0.00    0.00    0.00
OF46.0   -7.9851    0.00 8.8837     0.00    0.00    0.00    0.00    0.00
OF47.0   -7.9679    0.00 8.8837     0.00    0.00    0.00    0.00    0.00
OF48.0   -7.9507    0.00 8.8838     0.00    0.00    0.00    0.00    0.00
OF49.0   -7.9336    0.00 8.8838     0.00    0.00    0.00    0.00    0.00
OF50.0   -7.9164    0.00 8.8838     0.00    0.00    0.00    0.00    0.00
OF51.0   -7.8992    0.00 8.8839     0.00    0.00    0.00    0.00    0.00
OF52.0   -7.8821    0.00 8.8839     0.00    0.00    0.00    0.00    0.00
OF53.0   -7.8649    0.00 8.884      0.00    0.00    0.00    0.00    0.00
OF54.0   -7.8478    0.00 8.884      0.00    0.00    0.00    0.00    0.00
OF55.0   -7.8306    0.00 8.8841     0.00    0.00    0.00    0.00    0.00
OF56.0   -7.8134    0.00 8.8841     0.00    0.00    0.00    0.00    0.00
OF57.0   -7.7963    0.00 8.8842     0.00    0.00    0.00    0.00    0.00
OF58.0   -7.7791    0.00 8.8842     0.00    0.00    0.00    0.00    0.00
OF59.0   -7.7619    0.00 8.8843     0.00    0.00    0.00    0.00    0.00
OF60.0   -7.7448    0.00 8.8843     0.00    0.00    0.00    0.00    0.00
OF61.0   -7.7276    0.00 8.8844     0.00    0.00    0.00    0.00    0.00
OF62.0   -7.7104    0.00 8.8844     0.00    0.00    0.00    0.00    0.00
OF63.0   -7.6933    0.00 8.8845     0.00    0.00    0.00    0.00    0.00
OF64.0   -7.6761    0.00 8.8845     0.00    0.00    0.00    0.00    0.00
OF65.0   -7.6589    0.00 8.8846     0.00    0.00    0.00    0.00    0.00
OF66.0   -7.6418    0.00 8.8846     0.00    0.00    0.00    0.00    0.00
OF67.0   -7.6246    0.00 8.8846     0.00    0.00    0.00    0.00    0.00
OF68.0   -7.6075    0.00 8.8847     0.00    0.00    0.00    0.00    0.00
OF69.0   -7.5903    0.00 8.8847     0.00    0.00    0.00    0.00    0.00
OF70.0   -7.5731    0.00 8.8848     0.00    0.00    0.00    0.00    0.00
OF71.0   -7.556     0.00 8.8848     0.00    0.00    0.00    0.00    0.00
OF72.0   -7.5388    0.00 8.8849     0.00    0.00    0.00    0.00    0.00
OF73.0   -7.5216    0.00 8.8849     0.00    0.00    0.00    0.00    0.00
OF74.0   -7.5045    0.00 8.885      0.00    0.00    0.00    0.00    0.00
OF75.0   -7.4873    0.00 8.885      0.00    0.00    0.00    0.00    0.00
OF76.0   -7.4701    0.00 8.8851     0.00    0.00    0.00    0.00    0.00
OF77.0   -7.453     0.00 8.8851     0.00    0.00    0.00    0.00    0.00
OF78.0   -7.4358    0.00 8.8852     0.00    0.00    0.00    0.00    0.00
OF79.0   -7.4186    0.00 8.8852     0.00    0.00    0.00    0.00    0.00
OF80.0   -7.4015    0.00 8.8853     0.00    0.00    0.00    0.00    0.00
OF81.0   -7.3843    0.00 8.8853     0.00    0.00    0.00    0.00    0.00
OF82.0   -7.3671    0.00 8.8853     0.00    0.00    0.00    0.00    0.00
OF83.0   -7.35      0.00 8.8854     0.00    0.00    0.00    0.00    0.00
OF84.0   -7.3328    0.00 8.8854     0.00    0.00    0.00    0.00    0.00
OF85.0   -7.3156    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF86.0   -7.2985    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF87.0   -7.2563    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF88.0   -7.1114    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF89.0   -6.966     0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF90.0   -6.8207    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF91.0   -6.6757    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF92.0   -6.5301    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF93.0   -6.3848    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF94.0   -6.2398    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF95.0   -6.0944    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF96.0   -5.9491    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF97.0   -5.8041    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF98.0   -5.6588    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF99.0   -5.5138    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF100.0  -5.3684    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF101.0  -5.2231    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF102.0  -5.0781    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF103.0  -4.9328    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF104.0  -4.7874    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF105.0  -4.6424    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF106.0  -4.4971    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF107.0  -4.3517    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF108.0  -4.2068    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF109.0  -4.0614    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF110.0  -3.9161    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF111.0  -3.7711    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF112.0  -3.6257    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF113.0  -3.4805    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF114.0  -3.3352    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF115.0  -3.1898    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF116.0  -3.0449    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF117.0  -2.8995    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF118.0  -2.7542    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF119.0  -2.6092    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF120.0  -2.4638    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF121.0  -2.3185    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF122.0  -2.1735    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
OF123.0  -2.0282    0.00 8.8855     0.00    0.00    0.00    0.00    0.00
IF127.0  1.5289     0.00 8.8855     0.00    0.00    0.00    0.00    0.00
IF132.0  1.8537     0.00 8.8855     0.00    0.00    0.00    0.00    0.00
IF135.0  3.7205     0.00 8.8855     0.00    0.00    0.00    0.00    0.00
IF145.0  3.8845     0.00 8.8855     0.00    0.00    0.00    0.00    0.00
IF154.0  3.6909     0.00 8.8855     0.00    0.00    0.00    0.00    0.00
IF164.5  7.6608     0.00 8.8855     0.00    0.00    0.00    0.00    0.00
IF167.3  7.8557     0.00 8.9973     0.00    0.00    0.00    0.00    0.00
IF170.6  8.0823     0.00 9.1209     0.00    0.00    0.00    0.00    0.00
IF173.9  8.3089     0.00 9.1654     0.00    0.00    0.00    0.00    0.00
IF176.7  9.1654     0.00 9.1654     0.00    0.00    0.00    0.00    0.00
PS START(411229.4612,4838905.7099)
PS END(411114.2713,4838917.814)
ET
 
 
 
