type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IE,0,404019.8044,4833822.5918,-70.1901925373345,43.6512077151166,-10.950,8.987,15.09,19.55,14.12
OF,1,404019.726366554,4833822.88644248,-70.1901935571602,43.6512103574483,-10.943,8.988,15.08,19.55,14.12
OF,2,404019.648333109,4833823.18108497,-70.190194576986,43.6512129997799,-10.936,8.988,15.08,19.54,14.12
OF,3.3,404019.546889629,4833823.56412019,-70.1901959027597,43.6512164348111,-10.927,8.990,15.07,19.54,14.12
OF,6.6,404019.289379258,4833824.53644039,-70.1901992681859,43.6512251545054,-10.904,8.992,15.06,19.53,14.12
OF,9.8,404019.039672232,4833825.47929634,-70.1902025316305,43.6512336099664,-10.881,8.994,15.04,19.52,14.12
OF,13.1,404018.782161861,4833826.45161653,-70.1902058970586,43.6512423296605,-10.858,8.996,15.03,19.51,14.12
OF,16.4,404018.52465149,4833827.42393673,-70.1902092624878,43.6512510493545,-10.838,8.999,15.01,19.51,14.12
OF,19.7,404018.26714112,4833828.39625692,-70.1902126279179,43.6512597690483,-10.828,9.001,15.01,19.51,14.12
OF,23,404018.009630749,4833829.36857712,-70.1902159933491,43.651268488742,-10.818,9.004,15.00,19.51,14.12
OF,26.2,404017.759923722,4833830.31143306,-70.1902192567985,43.6512769442025,-10.808,9.006,15.00,19.50,14.12
OF,29.5,404017.502413352,4833831.28375326,-70.1902226222316,43.6512856638959,-10.798,9.009,14.99,19.50,14.12
OF,32.8,404017.244902981,4833832.25607345,-70.1902259876657,43.6512943835893,-10.788,9.012,14.99,19.50,14.12
OF,36.1,404016.98739261,4833833.22839365,-70.1902293531009,43.6513031032825,-10.777,9.014,14.98,19.50,14.12
OF,39.4,404016.729882239,4833834.20071384,-70.190232718537,43.6513118229756,-10.767,9.017,14.97,19.50,14.12
OF,42.7,404016.472371868,4833835.17303404,-70.1902360839741,43.6513205426686,-10.757,9.020,14.97,19.50,14.12
OF,45.9,404016.222664842,4833836.11588998,-70.1902393474293,43.6513289981283,-10.747,9.022,14.96,19.50,14.12
OF,49.2,404015.965154471,4833837.08821018,-70.1902427128684,43.6513377178211,-10.737,9.025,14.96,19.50,14.12
OF,52.5,404015.7076441,4833838.06053037,-70.1902460783084,43.6513464375137,-10.727,9.027,14.95,19.49,14.12
OF,55.8,404015.45013373,4833839.03285057,-70.1902494437495,43.6513551572061,-10.717,9.030,14.95,19.49,14.12
OF,59.1,404015.192623359,4833840.00517076,-70.1902528091916,43.6513638768985,-10.707,9.032,14.94,19.49,14.12
OF,62.3,404014.942916332,4833840.94802671,-70.1902560726516,43.6513723323577,-10.697,9.035,14.94,19.49,14.12
OF,65.6,404014.685405962,4833841.92034691,-70.1902594380957,43.6513810520498,-10.687,9.037,14.93,19.49,14.12
OF,68.9,404014.427895591,4833842.8926671,-70.1902628035407,43.6513897717418,-10.677,9.040,14.92,19.49,14.12
OF,72.2,404014.17038522,4833843.8649873,-70.1902661689868,43.6513984914337,-10.667,9.042,14.92,19.49,14.12
OF,75.5,404013.912874849,4833844.83730749,-70.1902695344338,43.6514072111254,-10.657,9.045,14.91,19.48,14.12
OF,78.7,404013.663167823,4833845.78016344,-70.1902727978986,43.651415666584,-10.647,9.047,14.91,19.48,14.12
OF,82,404013.405657452,4833846.75248363,-70.1902761633476,43.6514243862754,-10.637,9.050,14.90,19.48,14.12
OF,85.3,404013.148147081,4833847.72480383,-70.1902795287977,43.6514331059668,-10.627,9.052,14.90,19.48,14.12
OF,88.6,404012.89063671,4833848.69712402,-70.1902828942487,43.6514418256581,-10.617,9.055,14.89,19.48,14.12
OF,91.9,404012.63312634,4833849.66944422,-70.1902862597007,43.6514505453492,-10.607,9.058,14.89,19.48,14.12
OF,95.1,404012.383419313,4833850.61230016,-70.1902895231703,43.6514590008072,-10.597,9.060,14.88,19.48,14.12
OF,98.4,404012.125908942,4833851.58462036,-70.1902928886243,43.6514677204981,-10.587,9.063,14.88,19.48,14.12
OF,101.7,404011.868398572,4833852.55694055,-70.1902962540793,43.6514764401888,-10.577,9.065,14.87,19.47,14.12
OF,105,404011.610888201,4833853.52926075,-70.1902996195353,43.6514851598795,-10.567,9.068,14.86,19.47,14.12
OF,108.3,404011.35337783,4833854.50158094,-70.1903029849923,43.65149387957,-10.557,9.070,14.86,19.47,14.12
OF,111.5,404011.103670804,4833855.44443689,-70.1903062484667,43.6515023350274,-10.547,9.072,14.85,19.47,14.12
OF,114.8,404010.846160433,4833856.41675709,-70.1903096139257,43.6515110547177,-10.537,9.074,14.85,19.47,14.12
OF,118.1,404010.588650062,4833857.38907728,-70.1903129793856,43.6515197744078,-10.527,9.076,14.84,19.46,14.12
OF,121.4,404010.331139691,4833858.36139748,-70.1903163448466,43.6515284940979,-10.517,9.079,14.84,19.46,14.12
OF,124.7,404010.07362932,4833859.33371767,-70.1903197103085,43.6515372137878,-10.507,9.081,14.83,19.46,14.12
OF,128,404009.81611895,4833860.30603787,-70.1903230757715,43.6515459334775,-10.497,9.083,14.82,19.46,14.12
OF,131.2,404009.566411923,4833861.24889381,-70.1903263392517,43.6515543889342,-10.487,9.085,14.82,19.46,14.12
OF,134.5,404009.308901552,4833862.22121401,-70.1903297047166,43.6515631086237,-10.477,9.087,14.81,19.46,14.12
OF,137.8,404009.051391182,4833863.1935342,-70.1903330701825,43.6515718283132,-10.467,9.089,14.81,19.45,14.12
