type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IE,0,411230.068,4838905.6463,-70.1016362086169,43.6978630750777,-8.809,8.881,4.12,11.77,4.72
OF,1,411229.764868297,4838905.67815251,-70.1016399750507,43.6978633255713,-8.792,8.881,4.12,11.77,4.72
OF,2,411229.461736595,4838905.71000502,-70.1016437414846,43.6978635760647,-8.775,8.882,4.12,11.77,4.72
OF,3,411229.158604892,4838905.74185753,-70.1016475079184,43.6978638265581,-8.758,8.882,4.13,11.77,4.72
OF,4,411228.855473189,4838905.77371004,-70.1016512743523,43.6978640770513,-8.740,8.882,4.13,11.77,4.72
OF,5,411228.552341486,4838905.80556255,-70.1016550407862,43.6978643275444,-8.723,8.882,4.13,11.77,4.72
OF,6,411228.249209784,4838905.83741506,-70.1016588072202,43.6978645780373,-8.706,8.882,4.13,11.77,4.72
OF,7,411227.946078081,4838905.86926757,-70.1016625736542,43.6978648285301,-8.689,8.882,4.13,11.77,4.72
OF,8,411227.642946378,4838905.90112009,-70.1016663400882,43.6978650790229,-8.672,8.882,4.13,11.77,4.72
OF,9,411227.339814676,4838905.9329726,-70.1016701065222,43.6978653295155,-8.655,8.882,4.13,11.77,4.72
OF,10,411227.036682973,4838905.96482511,-70.1016738729563,43.6978655800079,-8.637,8.882,4.13,11.77,4.72
OF,11,411226.73355127,4838905.99667762,-70.1016776393903,43.6978658305002,-8.620,8.882,4.13,11.77,4.72
OF,12,411226.430419567,4838906.02853013,-70.1016814058245,43.6978660809925,-8.603,8.882,4.13,11.77,4.72
OF,13,411226.127287865,4838906.06038264,-70.1016851722586,43.6978663314845,-8.586,8.882,4.13,11.77,4.72
OF,14,411225.824156162,4838906.09223515,-70.1016889386928,43.6978665819765,-8.569,8.882,4.13,11.77,4.72
OF,15,411225.521024459,4838906.12408766,-70.101692705127,43.6978668324684,-8.552,8.882,4.13,11.77,4.72
OF,16,411225.217892756,4838906.15594017,-70.1016964715613,43.6978670829601,-8.534,8.882,4.13,11.77,4.72
OF,17,411224.914761054,4838906.18779268,-70.1017002379955,43.6978673334517,-8.517,8.882,4.13,11.77,4.72
OF,18,411224.611629351,4838906.21964519,-70.1017040044298,43.6978675839431,-8.500,8.882,4.13,11.77,4.72
OF,19,411224.308497648,4838906.2514977,-70.1017077708641,43.6978678344345,-8.483,8.882,4.13,11.77,4.72
OF,20,411224.005365946,4838906.28335021,-70.1017115372985,43.6978680849257,-8.466,8.882,4.13,11.77,4.72
OF,21,411223.702234243,4838906.31520272,-70.1017153037329,43.6978683354168,-8.449,8.882,4.13,11.78,4.72
OF,22,411223.39910254,4838906.34705523,-70.1017190701673,43.6978685859077,-8.431,8.882,4.13,11.78,4.72
OF,23,411223.095970837,4838906.37890774,-70.1017228366017,43.6978688363986,-8.414,8.882,4.13,11.78,4.72
OF,24,411222.792839135,4838906.41076026,-70.1017266030362,43.6978690868893,-8.397,8.882,4.13,11.78,4.72
OF,25,411222.489707432,4838906.44261277,-70.1017303694707,43.6978693373799,-8.380,8.883,4.14,11.78,4.72
OF,26,411222.186575729,4838906.47446528,-70.1017341359052,43.6978695878704,-8.363,8.883,4.14,11.78,4.72
OF,27,411221.883444026,4838906.50631779,-70.1017379023397,43.6978698383607,-8.346,8.883,4.14,11.78,4.72
OF,28,411221.580312324,4838906.5381703,-70.1017416687743,43.6978700888509,-8.328,8.883,4.14,11.78,4.72
OF,29,411221.277180621,4838906.57002281,-70.101745435209,43.697870339341,-8.311,8.883,4.14,11.78,4.72
OF,30,411220.974048918,4838906.60187532,-70.1017492016436,43.697870589831,-8.294,8.883,4.14,11.78,4.72
OF,31,411220.670917216,4838906.63372783,-70.1017529680783,43.6978708403209,-8.277,8.883,4.14,11.78,4.72
OF,32,411220.367785513,4838906.66558034,-70.101756734513,43.6978710908106,-8.260,8.883,4.14,11.78,4.72
OF,33,411220.06465381,4838906.69743285,-70.1017605009477,43.6978713413002,-8.243,8.883,4.14,11.78,4.72
