X,Y,Z,STA,Zadcirc,HSadcirc,TWLadcirc,PERadcirc,TransHeading,PerHeading
-70.1889351700,43.6479497100,-47.4774804484,-1684.00,-47.4774804484477,12.2444186956061,8.83802899059125,-99999,111.104299150108,90
-70.1889361900,43.6479523500,-47.4570471924,-1683.00,-47.4570471924455,12.2432571664549,8.83801451857877,-99999,111.104299150108,90
-70.1889372100,43.6479549900,-47.4366139364,-1682.00,-47.4366139364202,12.2420956373209,8.83800004656618,-99999,111.104299150108,90
-70.1889382300,43.6479576300,-47.4161806804,-1681.00,-47.4161806804447,12.2409341081867,8.83798557455364,-99999,111.104299150108,90
-70.1889392500,43.6479602800,-47.3956772804,-1680.00,-47.3956772803881,12.2397727814452,8.83797103181443,-99999,111.104299150108,90
-70.1889402700,43.6479629200,-47.3752440244,-1679.00,-47.3752440244126,12.238611252311,8.83795655980189,-99999,111.104299150108,90
-70.1889412900,43.6479655600,-47.3548107684,-1678.00,-47.3548107683873,12.2374497231769,8.8379420877893,-99999,111.104299150108,90
-70.1889423100,43.6479682000,-47.3343692937,-1677.00,-47.3343692936699,12.2362637342109,8.83792767994175,-99999,111.104299150108,90
-70.1889433300,43.6479708500,-47.3134878672,-1676.00,-47.3134878672298,12.2339773615823,8.83791608851283,-99999,111.104299150108,90
-70.1889443500,43.6479734900,-47.2926770977,-1675.00,-47.2926770977042,12.2316923128063,8.83790456380682,-99999,111.104299150108,90
-70.1889453700,43.6479761300,-47.2718663281,-1674.00,-47.2718663281283,12.2294072640293,8.83789303910076,-99999,111.104299150108,90
-70.1889463900,43.6479787700,-47.2510555586,-1673.00,-47.2510555586027,12.2271222152533,8.83788151439475,-99999,111.104299150108,90
-70.1889474100,43.6479814100,-47.2302447891,-1672.00,-47.2302447890771,12.2248371664773,8.83786998968874,-99999,111.104299150108,90
-70.1889484300,43.6479840600,-47.2093633626,-1671.00,-47.209363362637,12.2225507938487,8.83785839825982,-99999,111.104299150108,90
-70.1889494500,43.6479867000,-47.1885525931,-1670.00,-47.1885525931114,12.2202657450727,8.83784687355381,-99999,111.104299150108,90
-70.1889504700,43.6479893400,-47.1677418235,-1669.00,-47.1677418235355,12.2179806962957,8.83783534884775,-99999,111.104299150108,90
-70.1889514900,43.6479919800,-47.1469310540,-1668.00,-47.1469310540099,12.2156956475197,8.83782382414173,-99999,111.104299150108,90
-70.1889525100,43.6479946300,-47.1260496276,-1667.00,-47.1260496275699,12.2134092748911,8.83781223271282,-99999,111.104299150108,90
-70.1889535300,43.6479972700,-47.1052388580,-1666.00,-47.1052388580142,12.2111242260882,8.83780070800689,-99999,111.104299150108,90
-70.1889545500,43.6479999100,-47.0844280884,-1665.00,-47.0844280884383,12.2088391773112,8.83778918330083,-99999,111.104299150108,90
-70.1889555700,43.6480025500,-47.0636173189,-1664.00,-47.0636173189127,12.2065541285352,8.83777765859482,-99999,111.104299150108,90
-70.1889565900,43.6480052000,-47.0427358925,-1663.00,-47.0427358924726,12.2042677559066,8.8377660671659,-99999,111.104299150108,90
-70.1889576100,43.6480078400,-47.0219251229,-1662.00,-47.021925122947,12.2019827071306,8.83775454245989,-99999,111.104299150108,90
-70.1889586300,43.6480104800,-47.0011143534,-1661.00,-47.0011143533711,12.1996976583536,8.83774301775383,-99999,111.104299150108,90
